"","again","party1","party2"
"1","Šoler Jiøí","NDS","NS"
"2","Kukelková Alena","NDS","NS"
"3","Jachan Karel","NDS","NS"
"4","Pátek Kvìtoslav","NDS","NS"
"5","Kopal Jan","NDS","NS"
"6","Holeèek Ludìk","NDS","NS"
"7","Pour Bohumil","NDS","NS"
"8","Øimnáè František","NDS","NS"
"9","Rùièka Miroslav","NDS","NS"
"10","Kaše Karel","NDS","NS"
"11","Tvrdík František","NDS","NS"
"12","ampach Jan","NDS","NS"
"13","Dub Blaej","NDS","NS"
"14","Schroll Tomáš","NDS","NS"
"15","Dáòa Petr","NDS","NS"
"16","Schmidtová Hana","NDS","NS"
"17","Šafránek Radek","NDS","NS"
"18","Kopalová Maruša","NDS","NS"
"19","Kafka Milan","NDS","NS"
"20","Dobrovolnı Milan","NDS","NS"
"21","Bartoò Stanislav","NDS","SZR"
"22","Vápeník Václav","DL","SNK ED"
"23","Votrubová Dagmar","DL","NEZ/DEM"
"24","Koštejn Dušan","DL","SNK ED"
"25","Tobiasz David","DL","HOB"
"26","Køeèek Stanislav","ÈSSD","ÈSSD"
"27","Svoboda Miroslav","ÈSSD","ÈSSD"
"28","Šplíchal Karel","ÈSSD","ÈSSD"
"29","Ibl Petr","ÈSSD","ÈSSD"
"30","Nováková Eva","ÈSSD","ÈSSD"
"31","Máša Miloš","ÈSSD","ÈSSD"
"32","Koskuba Jiøí","ÈSSD","ÈSSD"
"33","Metelec Jiøí","ÈSSD","ÈSSD"
"34","Halová Hana","ÈSSD","ÈSSD"
"35","Novotnı Tomáš","ÈSSD","ÈSSD"
"36","Urban Milan","ÈSSD","ÈSSD"
"37","Øihák Josef","ÈSSD","ÈSSD"
"38","Tøešòák Jiøí","ÈSSD","ÈSSD"
"39","Èurdová Anna","ÈSSD","ÈSSD"
"40","Vnouèek František","ÈSSD","ÈSSD"
"41","Mocová Dagmar","ÈSSD","ÈSSD"
"42","Vomáèko Ladislav","ÈSSD","ÈSSD"
"43","Koníèek František","ÈSSD","ÈSSD"
"44","Mazuchová Lenka","ÈSSD","ÈSSD"
"45","Hamáèek Jan","ÈSSD","ÈSSD"
"46","Zeman Eduard","ÈSSD","ÈSSD"
"47","Kratochvíle Karel","ÈSSD","ÈSSD"
"48","Novotná Vlasta","ÈSSD","ÈSSD"
"49","Proisl Milan","ÈSSD","ÈSSD"
"50","Loskotová Marie","ÈSSD","ÈSSD"
"51","Boška Radek","ÈSSD","ÈSSD"
"52","Emmerová Milada","ÈSSD","ÈSSD"
"53","Votava Václav","ÈSSD","ÈSSD"
"54","Grüner Václav","ÈSSD","ÈSSD"
"55","Látka Jan","ÈSSD","ÈSSD"
"56","Novotnı Stanislav","ÈSSD","ÈSSD"
"57","Bauer Jaroslav","ÈSSD","ÈSSD"
"58","Poc Pavel","ÈSSD","ÈSSD"
"59","Vanoušek Pavel","ÈSSD","ÈSSD"
"60","Lebeda Antonín","ÈSSD","ÈSSD"
