"","again","party1","party2"
"1","Kužílek Oldøich","ODA","ODA"
"2","Odehnal Martin","ODA","ODA"
"3","Mirka Vladimír","ODA","ODA"
"4","Topinka Petr","ODA","ODA"
"5","Kratochvíl Miloslav","ODA","ODA"
"6","Cirnfus Slavomír","ODA","ODA"
"7","Mizerová Ivana","ODA","ODA"
"8","Dobal Viktor","ODA","ODA"
"9","Knob Vilibald","ODA","ODA"
"10","Èeška Roman","ODA","ODA"
"11","Bláhovec Jiøí","ODA","ODA"
"12","Èerbák Miroslav","ODA","ODA"
"13","Kafka Jan","ODA","ODA"
"14","Cháb Milan","ODA","ODA"
"15","Ledvinka Karel","ODA","ODA"
"16","Kulka Dušan","ODA","ODA"
"17","Doskoèil Jan","ODA","ODA"
"18","Nýèová Vítìzslava","ODA","ODA"
"19","Roudnická Jiøina","ODA","ODA"
"20","Kynèl Milan","ODA","ODA"
"21","Kamaryt Josef","ODA","ODA"
"22","Lojdová Kateøina","ODA","ODA"
"23","Menšík Karel","ODA","ODA"
"24","Trojan Zdenìk","ÈSSD","ÈSSD"
"25","Gross Stanislav","ÈSSD","ÈSSD"
"26","Havlíèek Ivan","ÈSSD","ÈSSD"
"27","Volfová Jana","ÈSSD","ÈSSD"
"28","Tomèík Jan","ÈSSD","ÈSSD"
"29","Gubín Oleg","ÈSSD","ÈSSD"
"30","Výrut Karel","ÈSSD","ÈSSD"
"31","Maòásek Jaroslav","ÈSSD","ÈSSD"
"32","Pácha Oldøich","ÈSSD","ÈSSD"
"33","Valecký Miroslav","ÈSSD","ÈSSD"
"34","Zeman Eduard","ÈSSD","ÈSSD"
"35","Prùša Jiøí","ÈSSD","ÈSSD"
"36","Brožík František","ÈSSD","ÈSSD"
"37","Prùša Josef","ÈSSD","ÈSSD"
"38","Straka Jaroslav","ÈSSD","ÈSSD"
"39","Matìcha Miroslav","ÈSSD","ÈSSD"
"40","Foldyna Jaroslav","ÈSSD","ÈSSD"
"41","Farmaèka Jaroslav","ÈSSD","ÈSSD"
"42","Èevela Rostislav","ÈSSD","ÈSSD"
"43","Novotný Milan","ÈSSD","ÈSSD"
"44","Bøezina Jiøí","ÈSSD","ÈSSD"
"45","Grulich Václav","ÈSSD","ÈSSD"
"46","Škromach Zdenìk","ÈSSD","ÈSSD"
"47","Jašek Pavel","ÈSSD","ÈSSD"
"48","Vymìtal Vojtìch","ÈSSD","ÈSSD"
"49","Kinzel Ivan","ÈSSD","ÈSSD"
"50","Václavek Jiøí","ÈSSD","ÈSSD"
"51","Prášek Jiøí","ÈSSD","ÈSSD"
"52","Vetchý Vladimír","ÈSSD","ÈSSD"
"53","Fischerová Eva","ÈSSD","ÈSSD"
"54","Košík Lubomír","ÈSSD","ÈSSD"
"55","Køeèek Stanislav","HSD-SMS","ÈSSD"
"56","Kmenta Josef","HSD-SMS","CAO"
"57","Brech Petr","HSD-SMS","LB"
"58","Kraus Michal","HSD-SMS","ÈSSD"
"59","Polách Jan","HSD-SMS","SDL"
"60","Skoèovský Miloš","HSD-SMS","ÈMUS"
"61","Jegla Jan","HSD-SMS","ÈMUS"
"62","Kavan Petr","HSD-SMS","HSMSMNSJ"
"63","Štambera Dalibor","HSD-SMS","ÈMUS"
"64","Doèkal Vítìzslav","HSD-SMS","HSMSMNSJ"
"65","Katròák Josef","HSD-SMS","MNS-HSS"
"66","Dresler Rudolf","HSD-SMS","HSMSMNSJ"
"67","Žemla Jaroslav","HSD-SMS","ÈMUS"
"68","Rudinský František","HSD-SMS","HSMSMNSJ"
"69","Opatøil Rudolf","HSD-SMS","ÈMUS"
"70","Kaèenka František","HSD-SMS","ÈMUS"
"71","Broulík Jaroslav","HSD-SMS","ÈMUS"
"72","Hubová Marta","HSD-SMS","ODA"
"73","Kolomazník Karel","HSD-SMS","ÈMUS"
"74","Alt Vladimír","HSD-SMS","ÈMUS"
"75","Koníèek Josef","HDŽJ","DŽJ"
"76","Malkovská Zdeòka","HDŽJ","DŽJ"
"77","Pauer Jaroslav","NSS-ÈSNS","SD-LSNS"
"78","Sušický Jiøí","NSS-ÈSNS","PB"
"79","Kylián Josef","NSS-ÈSNS","ODA"
"80","Ruprich Vít","D92","ODA"
"81","Zemánek Richard","SRNDJ","DEU"
"82","Decker Jan","KDU-ÈSL","KDU-ÈSL"
"83","Janeèek Josef","KDU-ÈSL","KDU-ÈSL"
"84","Strnadel Tomáš","KDU-ÈSL","KDU-ÈSL"
"85","Sova Karel","KDU-ÈSL","KDU-ÈSL"
"86","Blažek Jiøí","KDU-ÈSL","KDU-ÈSL"
"87","Bøicháèek Petr","KDU-ÈSL","KDU-ÈSL"
"88","Volenec Václav","KDU-ÈSL","KDU-ÈSL"
"89","Hájek Milan","KDU-ÈSL","KDU-ÈSL"
"90","Plánièka Pavel","KDU-ÈSL","KDU-ÈSL"
"91","Málek Jiøí","KDU-ÈSL","KDU-ÈSL"
"92","Bureš Jan","KDU-ÈSL","KDU-ÈSL"
"93","Výborný Miloslav","KDU-ÈSL","KDU-ÈSL"
"94","Severa Pavel","KDU-ÈSL","KDU-ÈSL"
"95","Málek Jan","KDU-ÈSL","KDU-ÈSL"
"96","Bednáø Josef","KDU-ÈSL","KDU-ÈSL"
"97","Filip Zdenìk","KDU-ÈSL","KDU-ÈSL"
"98","Kasal Jan","KDU-ÈSL","KDU-ÈSL"
"99","Karas Jiøí","KDU-ÈSL","KDU-ÈSL"
"100","Bìlehrádek Stanislav","KDU-ÈSL","KDU-ÈSL"
"101","Uøièáø Jiøí","KDU-ÈSL","KDU-ÈSL"
"102","Havíø František","KDU-ÈSL","KDU-ÈSL"
"103","Kubát Miloslav","KDU-ÈSL","KDU-ÈSL"
"104","Nedomanský Leopold","KDU-ÈSL","KDU-ÈSL"
"105","Ambrozek Libor","KDU-ÈSL","KDU-ÈSL"
"106","Krákora Jiøí","KDU-ÈSL","KDU-ÈSL"
"107","Mach Bedøich","KDU-ÈSL","KDU-ÈSL"
"108","Kubiš Josef","KDU-ÈSL","KDU-ÈSL"
"109","Breník Jan","KDU-ÈSL","KDU-ÈSL"
"110","Procházka Vladimír","KDU-ÈSL","KDU-ÈSL"
"111","Mádr Rostislav","KDU-ÈSL","KDU-ÈSL"
"112","Janèar Jiøí","KDU-ÈSL","KDU-ÈSL"
"113","Vysloužil Karel","KDU-ÈSL","ODA"
"114","Hanzlík Tomáš","KDU-ÈSL","KDU-ÈSL"
"115","Hutaø Jan","HSS","ÈMUS"
"116","Kadlec Zdenìk","HSS","LB"
"117","Kozmon Aladár","HSS","CAO"
"118","Skøebský Miloslav","HSS","MNS-HSS"
"119","Válek Karel","HSS","ÈMUS"
"120","Spáèil Jaroslav","HSS","MNS-HSS"
"121","Hirš Pavel","LSU","ODS"
"122","Bodenlos Vavøinec","LSU","SD-LSNS"
"123","Maøík Miroslav","LSU","SZ"
"124","Vyvadil Jiøí","LSU","ÈSSD"
"125","Sýkora Jaroslav","LSU","ÈMUS"
"126","Dvoøák Miroslav","LSU","ÈMUS"
"127","Vydra Josef","LSU","ÈSSD"
"128","Holubièka Jaroslav","LSU","ÈMUS"
"129","Vaèkáø Jiøí","LSU","KDU-ÈSL"
"130","Tichava Vlastimil","LSU","SD-LSNS"
"131","Kadlec Milan","LSU","SZ"
"132","Bezdìkovský Vladimír","LSU","ÈMUS"
"133","Langová Milena","LSU","ÈMUS"
"134","Kadubec Jiøí","LSU","SZ"
"135","Rùžièka Jiøí","LSU","SZ"
"136","Pospíšil Rudolf","LSU","SD-LSNS"
"137","Tomášek Jan","LSU","ÈMUS"
"138","Pohlová Marta","LSU","SZ"
"139","Víšek Josef","LSU","ÈMUS"
"140","Sommer Jaroslav","LSU","ÈMUS"
"141","Bachr Jiøí","LSU","SZ"
"142","Hejátko Jaroslav","LSU","ÈMUS"
"143","Nekvapil Josef","LSU","SZ"
"144","Havelka František","LSU","ÈMUS"
"145","Radil Václav","LSU","SD-LSNS"
"146","Hronová Marie","LSU","SZ"
"147","Melichar Vladimír","LSU","SD-LSNS"
"148","Kalík Jindøich","LSU","ODA"
"149","Vainar Rostislav","LSU","ÈMUS"
"150","Dienstbier Ondøej","OH","SD-LSNS"
"151","Hanuš Miloslav","OH","SD-LSNS"
"152","Forman Petr","OH","ODA"
"153","Kasalický Ivan","OH","SD-LSNS"
"154","Schovánek Pavel","OH","SD-LSNS"
"155","Bubák Jiøí","OH","SD-LSNS"
"156","Lasovský Petr","OH","SD-LSNS"
"157","Hudeèek Karel","OH","SD-LSNS"
"158","Líbal Vladimír","OH","SD-LSNS"
"159","Lerch Jan","OH","SD-LSNS"
"160","Hájek Josef","OH","SD-LSNS"
"161","Ulahel František","OH","SD-LSNS"
"162","Nožièka Václav","OH","SD-LSNS"
"163","Kozánek Petr","OH","SD-LSNS"
"164","Holomek Karel","OH","SD-LSNS"
"165","Štìrba Miloslav","OH","SD-LSNS"
"166","Svobodová Eva","OH","SD-LSNS"
"167","Neèas Josef","OH","SD-LSNS"
"168","Straka Miloslav","OH","ODA"
"169","Bílek František","OH","SD-LSNS"
"170","Pokorný Ivan","OH","SD-LSNS"
"171","Zlatuška Jiøí","OH","SD-LSNS"
"172","Trnka František","OH","SD-LSNS"
"173","Siuda Antonín","OH","ÈSSD"
"174","Sýkora Milan","OH","SD-LSNS"
"175","Hornišer Ivan","OH","SD-LSNS"
"176","Šafáø František","OH","DEU"
"177","Zaorálek Lubomír","OH","ÈSSD"
"178","Krampera Zdenìk","SPR-RSÈ","SPR-RSÈ"
"179","Šoler Jiøí","SPR-RSÈ","CAO"
"180","Ciplová Marcela","SPR-RSÈ","SPR-RSÈ"
"181","Valach Vítìzslav","SPR-RSÈ","ÈMUS"
"182","Vik Jan","SPR-RSÈ","SPR-RSÈ"
"183","Kašpárek Miroslav","SPR-RSÈ","NEZ"
"184","Talášek František","SPR-RSÈ","SPR-RSÈ"
"185","Kraus Pavel","KAN","DEU"
"186","Pokorná Ivanka","KAN","DEU"
"187","Gajdorus Miloslav","KAN","DEU"
"188","Orság František","KAN","DEU"
"189","Pavelka Jiøí","KAN","ODS"
"190","Zboøil Zdenìk","KAN","DEU"
"191","Stiborová Marie","LB (KSÈM)","LB"
"192","Exner Václav","LB (KSÈM)","KSÈM"
"193","Vorlíèek Zdenìk","LB (KSÈM)","LB"
"194","Papež Václav","LB (KSÈM)","SÈK"
"195","Jùn Jiøí","LB (KSÈM)","KSÈM"
"196","Vìrteláø Václav","LB (KSÈM)","KSÈM"
"197","Franzlová Olga","LB (KSÈM)","LB"
"198","Dolejš Jiøí","LB (KSÈM)","KSÈM"
"199","Èapka Cyril","LB (KSÈM)","KSÈM"
"200","Silber Radomír","LB (KSÈM)","KSÈM"
"201","Zeman Jan","LB (KSÈM)","KSÈM"
"202","Ortman Jaroslav","LB (KSÈM)","LB"
"203","Frank Václav","LB (KSÈM)","KSÈM"
"204","Grospiè Stanislav","LB (KSÈM)","KSÈM"
"205","Duras Jaroslav","LB (KSÈM)","LB"
"206","Jirák Jaroslav","LB (KSÈM)","KSÈM"
"207","Skála Karel","LB (KSÈM)","KSÈM"
"208","Bumbová Stanislava","LB (KSÈM)","LB"
"209","Pacourková Vlasta","LB (KSÈM)","SDL"
"210","Klíma Josef","LB (KSÈM)","SDL"
"211","Ryzka Jiøí","LB (KSÈM)","SDL"
"212","Hrbková Olga","LB (KSÈM)","KSÈM"
"213","Maryt Jiøí","LB (KSÈM)","LB"
"214","Lagová Hana","LB (KSÈM)","LB"
"215","Váchalová Anna","LB (KSÈM)","LB"
"216","Podlipský František","LB (KSÈM)","KSÈM"
"217","Václav Josef","LB (KSÈM)","KSÈM"
