"","again","party1","party2"
"1","Svoboda Cyril","KDU-ÈSL","KDU-ÈSL"
"2","Orel Jaroslav","KDU-ÈSL","KDU-ÈSL"
"3","Chodìra Oldøich","KDU-ÈSL","KDU-ÈSL"
"4","Kloud Karel","KDU-ÈSL","KDU-ÈSL"
"5","Slavíèek Václav","KDU-ÈSL","KDU-ÈSL"
"6","Parkanová Vlasta","KDU-ÈSL","KDU-ÈSL"
"7","Vondrášková Marie","KDU-ÈSL","KDU-ÈSL"
"8","Vácha František","KDU-ÈSL","KDU-ÈSL"
"9","Králík Jiøí","KDU-ÈSL","KDU-ÈSL"
"10","Talíø Jaromír","KDU-ÈSL","KDU-ÈSL"
"11","Kalousek Miroslav","KDU-ÈSL","KDU-ÈSL"
"12","Vlasák Miroslav","KDU-ÈSL","KDU-ÈSL"
"13","Malík Stanislav","KDU-ÈSL","KDU-ÈSL"
"14","Talíøová Štìpánka","KDU-ÈSL","KDU-ÈSL"
"15","Lobkowicz Jaroslav","KDU-ÈSL","KDU-ÈSL"
"16","Bílek Miloš","KDU-ÈSL","KDU-ÈSL"
"17","Volf Miroslav","KDU-ÈSL","KDU-ÈSL"
"18","Boèek Pavel","KDU-ÈSL","KDU-ÈSL"
"19","Pištìková Dagmar","KDU-ÈSL","KDU-ÈSL"
"20","Veselka Jiøí","KDU-ÈSL","KDU-ÈSL"
"21","Chaloupek Tomáš","KDU-ÈSL","KDU-ÈSL"
"22","Henke Bøenìk","KDU-ÈSL","KDU-ÈSL"
"23","Vıbornı Miloslav","KDU-ÈSL","KDU-ÈSL"
"24","Severa Pavel","KDU-ÈSL","KDU-ÈSL"
"25","Málek Jan","KDU-ÈSL","KDU-ÈSL"
"26","Nosek Václav","KDU-ÈSL","KDU-ÈSL"
"27","Semerák Jan","KDU-ÈSL","KDU-ÈSL"
"28","Kasal Jan","KDU-ÈSL","KDU-ÈSL"
"29","Karas Jiøí","KDU-ÈSL","KDU-ÈSL"
"30","Šustr Ladislav","KDU-ÈSL","KDU-ÈSL"
"31","Šojdrová Michaela","KDU-ÈSL","KDU-ÈSL"
"32","Ambrozek Libor","KDU-ÈSL","KDU-ÈSL"
"33","Grùza Jan","KDU-ÈSL","KDU-ÈSL"
"34","Škopík Jan","KDU-ÈSL","KDU-ÈSL"
"35","Navrátil Augustin","KDU-ÈSL","PB"
"36","Gabriel Petr","KDU-ÈSL","KDU-ÈSL"
