"","again","party1","party2"
"1","Øíha Martin","SD-LSNS","NEZ"
"2","Trkal Viktor","SD-LSNS","ÈSNS"
"3","Pauer Jaroslav","SD-LSNS","NEZ"
"4","Dousek Josef","SD-LSNS","ÈSNS"
"5","Pondìlíèek Jiøí","SD-LSNS","ÈSNS"
"6","Dvoøák Ivan","SD-LSNS","ÈSNS"
"7","Tosek Lubomír","SD-LSNS","ODA"
"8","Svoboda František","SD-LSNS","ÈSNS"
"9","Klézl Zdenìk","SD-LSNS","ÈSNS"
"10","Babáèek Jan","SD-LSNS","ÈSNS"
"11","Svìtlík Marek","SD-LSNS","ÈSNS"
"12","Lhotskı Jiøí","SD-LSNS","ÈSNS"
"13","Marek Pavel","SD-LSNS","KDU-ÈSL"
"14","Døevíkovskı Jan","SD-LSNS","ÈSNS"
"15","Spìváèková Anna","SD-LSNS","ÈSNS"
"16","Marek Jaroslav","SD-LSNS","ÈSNS"
"17","Novotnı Ladislav","SD-LSNS","ÈSNS"
"18","Lískovcová Vìra","SD-LSNS","ÈSNS"
"19","Pecháèek Karel","SD-LSNS","ÈSNS"
"20","Chlaò Miloslav","SD-LSNS","ÈSNS"
"21","Jiránek Miroslav","SD-LSNS","ÈSNS"
"22","Køivka Karel","SD-LSNS","ÈSNS"
"23","Martan Jan","SD-LSNS","ÈSNS"
"24","Vágnerová Irena","SD-LSNS","ÈSNS"
"25","Havlíèek Josef","SD-LSNS","ÈSNS"
"26","Friedrich Václav","SD-LSNS","ÈSNS"
"27","Zámostná Olga","SD-LSNS","ODA"
"28","Špaèek Karel","SD-LSNS","ÈSNS"
"29","Pospíšil Rudolf","SD-LSNS","ÈSNS"
"30","Vlk Ivan","SD-LSNS","NEZ"
"31","Hudec Miroslav","SD-LSNS","ÈSNS"
"32","Volek Jindøich","SD-LSNS","ÈSNS"
"33","Kratochvíl Vladimír","SD-LSNS","ÈSNS"
"34","Koèka Petr","SD-LSNS","ÈSNS"
"35","Mašek Jiøí","SD-LSNS","ÈSNS"
"36","Krejèí Jiøí","SD-LSNS","ÈSNS"
"37","Fousek Jiøí","SD-LSNS","ÈSNS"
"38","Krauskopf Karel","SD-LSNS","ÈSNS"
"39","Cejnarová Soòa","SD-LSNS","US"
"40","Dobiáš Jaroslav","SD-LSNS","ÈSNS"
"41","Ondráèek Antonín","SD-LSNS","ÈSNS"
"42","Rak Václav","SD-LSNS","ÈSNS"
"43","Vlašín Mojmír","SD-LSNS","SZ"
"44","Kašparovskı Petr","SD-LSNS","ÈSNS"
"45","Pøikryl Ivan","SD-LSNS","ÈSNS"
"46","Radil Václav","SD-LSNS","ÈSNS"
"47","Merlíèek Libor","SD-LSNS","ÈSNS"
"48","Cabejšek Vlastimil","SD-LSNS","ÈSNS"
"49","Veèerková Helena","SD-LSNS","ÈSNS"
"50","Konšel Vlastimil","SD-LSNS","ÈSNS"
"51","Matoušek Jaroslav","SD-LSNS","ÈSNS"
"52","Navrátilová Jana","SD-LSNS","ÈSNS"
"53","Mazùrek Rudolf","SD-LSNS","ÈSNS"
"54","Chaloupek Jan","SD-LSNS","ÈSNS"
"55","Gruna Jiøí","SD-LSNS","ÈSNS"
"56","Kolínská Hana","SD-LSNS","ÈSNS"
"57","Doubek Josef","SD-LSNS","ÈSNS"
"58","Skopal Jaroslav","SD-LSNS","ÈSNS"
"59","Pluháèek Marek","SD-LSNS","ÈSNS"
"60","Grygar Pavel","SD-LSNS","ÈSNS"
"61","Zubek Vladislav","SD-LSNS","ÈSNS"
"62","Ruschka Even","SD-LSNS","ÈSNS"
"63","Pavlík Jan","SD-LSNS","ÈSNS"
"64","Bøezina Milan","SD-LSNS","ÈSNS"
"65","Laník Aleš","SD-LSNS","ÈSNS"
"66","Bøeèková Jarmila","SD-LSNS","ÈSNS"
"67","Domácí Petr","SD-LSNS","ÈSNS"
"68","Buzková Petra","ÈSSD","ÈSSD"
"69","Bašta Jaroslav","ÈSSD","ÈSSD"
"70","Koøínková Kvìtoslava","ÈSSD","ÈSSD"
