"","again","party1","party2"
"71","Køeèek Stanislav","ÈSSD","ÈSSD"
"72","Trojan Zdenìk","ÈSSD","ÈSSD"
"73","Kalivoda Jan","ÈSSD","ÈSSD"
"74","David Ivan","ÈSSD","ÈSSD"
"75","Vırut Karel","ÈSSD","ÈSSD"
"76","Tomèík Jan","ÈSSD","ÈSSD"
"77","Petrílek Petr","ÈSSD","ÈSSD"
"78","Koskuba Jiøí","ÈSSD","ÈSSD"
"79","Kuvart Miloš","ÈSSD","ÈSSD"
"80","Kechner Otto","ÈSSD","ÈSSD"
"81","Peltrám Antonín","ÈSSD","ÈSSD"
"82","Metelec Jiøí","ÈSSD","ÈSSD"
"83","Šafr Jan","ÈSSD","ÈSSD"
"84","Gubín Oleg","ÈSSD","ÈSSD"
"85","Gross Stanislav","ÈSSD","ÈSSD"
"86","Bláha Jan","ÈSSD","ÈSSD"
"87","ika Jan","ÈSSD","ÈSSD"
"88","Teplík Tomáš","ÈSSD","ODS"
"89","Maòásek Jaroslav","ÈSSD","ÈSSD"
"90","Èurdová Anna","ÈSSD","ÈSSD"
"91","Boháèková Jarmila","ÈSSD","ÈSSD"
"92","Urban Milan","ÈSSD","ÈSSD"
"93","Vnouèek František","ÈSSD","ÈSSD"
"94","Vondráèek Aleš","ÈSSD","ÈSSD"
"95","Rod Jiøí","ÈSSD","ÈSSD"
"96","Èíek Aleš","ÈSSD","ÈSSD"
"97","Šnajdr Josef","ÈSSD","ÈSSD"
"98","Novák Jaromír","ÈSSD","ÈSSD"
"99","Valeckı Miroslav","ÈSSD","ÈSSD"
"100","Zeman Eduard","ÈSSD","ÈSSD"
"101","Špidla Vladimír","ÈSSD","ÈSSD"
"102","Kupèová Jitka","ÈSSD","ÈSSD"
"103","Jièínskı Zdenìk","ÈSSD","ÈSSD"
"104","Svoboda Václav","ÈSSD","ÈSSD"
"105","Máèe Miroslav","ÈSSD","ÈSSD"
"106","Voborskı Ivan","ÈSSD","ÈSSD"
"107","Jelínek Vnislav","ÈSSD","ÈSSD"
"108","Janèúch Marian","ÈSSD","ÈSSD"
"109","Novák Václav","ÈSSD","ÈSSD"
"110","Dvoøák Antonín","ÈSSD","ÈSSD"
"111","Broík František","ÈSSD","ÈSSD"
"112","Kuneš Michael","ÈSSD","ÈSSD"
"113","Ekert Milan","ÈSSD","ÈSSD"
"114","Emmerová Milada","ÈSSD","ÈSSD"
"115","Tomíèek Rudolf","ÈSSD","ÈSSD"
"116","Kouba Jan","ÈSSD","ÈSSD"
"117","Nechanickı Lubomír","ÈSSD","ÈSSD"
"118","Rohan Jiøí","ÈSSD","ÈSSD"
"119","Wagner Jozef","ÈSSD","OK-PK"
"120","Grégr Miroslav","ÈSSD","ÈSSD"
"121","Hojdar Josef","ÈSSD","ÈSSD"
"122","Kopeckı Robert","ÈSSD","ÈSSD"
"123","Volfová Jana","ÈSSD","ÈSSD"
"124","Vejvoda Josef","ÈSSD","ÈSSD"
"125","Kovaliková Naïa","ÈSSD","ÈSSD"
"126","Bílek Vladimír","ÈSSD","ÈSSD"
"127","Foldyna Jaroslav","ÈSSD","ÈSSD"
"128","Nìmec Oldøich","ÈSSD","ÈSSD"
"129","Fejfar Josef","ÈSSD","ÈSSD"
"130","Cipro Miroslav","ÈSSD","ÈSSD"
"131","Kraus Michal","ÈSSD","ÈSSD"
"132","Orgoníková Hana","ÈSSD","ÈSSD"
"133","Snítilı Even","ÈSSD","ÈSSD"
"134","Titz Miloš","ÈSSD","ÈSSD"
"135","Èevela Rostislav","ÈSSD","ÈSSD"
"136","Tejkl Miroslav","ÈSSD","ÈSSD"
"137","Staòková Sylva","ÈSSD","ÈSSD"
"138","Fialová Marie","ÈSSD","ÈSSD"
"139","Bezdíèek Jan","ÈSSD","ÈSSD"
"140","Øeháèek Jaroslav","ÈSSD","ÈSSD"
"141","Trávníèek Jaroslav","ÈSSD","ÈSSD"
"142","Ješina Josef","ÈSSD","ÈSSD"
"143","Grulich Václav","ÈSSD","ÈSSD"
"144","Skopal Ladislav","ÈSSD","ÈSSD"
"145","Cisár Vladimír","ÈSSD","ÈSSD"
"146","Kostrhun Jan","ÈSSD","ÈSSD"
"147","Schling Jaromír","ÈSSD","ÈSSD"
"148","Sobotka Bohuslav","ÈSSD","ÈSSD"
"149","Sehnalová Olga","ÈSSD","ÈSSD"
"150","Škromach Zdenìk","ÈSSD","ÈSSD"
"151","Václavek Jiøí","ÈSSD","ÈSSD"
"152","Vlèek Miloslav","ÈSSD","ÈSSD"
"153","Melèák Miloš","ÈSSD","ÈSSD"
"154","Èernohorskı Jan","ÈSSD","ÈSSD"
"155","Brtnickı Jiøí","ÈSSD","ÈSSD"
"156","Malovanı Josef","ÈSSD","ÈSSD"
"157","Krejèiøík Tomáš","ÈSSD","ÈSSD"
"158","Šáva Vladimír","ÈSSD","ÈSSD"
"159","Cenek Jiøí","ÈSSD","ÈSSD"
"160","Vymìtal Vojtìch","ÈSSD","ÈSSD"
"161","Fiala Stanislav","ÈSSD","ÈSSD"
"162","Vetchı Vladimír","ÈSSD","ÈSSD"
"163","Tesaø Jan","ÈSSD","ÈSSD"
"164","Králíèek Jiøí","ÈSSD","ÈSSD"
"165","Bagara Svatopluk","ÈSSD","ÈSSD"
"166","Šedivá Jarmila","ÈSSD","ÈSSD"
"167","Zeman Miloš","ÈSSD","ÈSSD"
"168","Zaorálek Lubomír","ÈSSD","ÈSSD"
"169","Fischerová Eva","ÈSSD","ÈSSD"
"170","Chobot František","ÈSSD","ÈSSD"
"171","Dostál Pavel","ÈSSD","ÈSSD"
"172","Hofman Jiøí","ÈSSD","ÈSSD"
"173","Šulák Petr","ÈSSD","ÈSSD"
"174","Palas Jaroslav","ÈSSD","ÈSSD"
"175","Kapoun Miroslav","ÈSSD","ÈSSD"
"176","Polášek Ludìk","ÈSSD","ÈSSD"
"177","Tešnar Dušan","ÈSSD","ÈSSD"
"178","Turek Radim","ÈSSD","ÈSSD"
"179","Kala Jaroslav","ÈSSD","ÈSSD"
"180","Petroš Zdenìk","ÈSSD","ÈSSD"
"181","Hönig Pavel","ÈSSD","ÈSSD"
"182","Horák Jaroslav","ÈSSD","ÈSSD"
"183","Vomáèka Jaroslav","ÈSSD","ÈSSD"
"184","Plaèek Vladimír","ÈSSD","ÈSSD"
"185","Hušek Václav","ÈSSD","ÈSSD"
"186","Lachnit Petr","ÈSSD","ÈSSD"
"187","Hercík Marcel","ÈSSD","ÈSSD"
"188","Píšala Jan","ÈSSD","ÈSSD"
"189","Heinz Ivo","ÈSSD","ÈSSD"
"190","Svozil Antonín","ÈSSD","ÈSSD"
"191","Jungová Yvona","ÈSSD","ÈSSD"
"192","Košík Lubomír","ÈSSD","ÈSSD"
"193","Tyl Miroslav","ODS","ODS"
"194","Koháèek Petr","ODS","ODS"
"195","Páv Tomáš","ODS","ODS"
"196","Koláøová Milena","ODS","US"
"197","Bureš Eduard","ODS","US"
"198","Payne Jiøí","ODS","ODS"
"199","Kladívko Tomáš","ODS","ODS"
"200","Nìmec Igor","ODS","ODS"
"201","Gjuriè Andrej","ODS","US"
"202","Musílek Václav","ODS","ODS"
"203","Zahradil Jan","ODS","ODS"
"204","Doleal Vladimír","ODS","ODS"
"205","Krejèí Petr","ODS","ODS"
"206","Kocourek Martin","ODS","ODS"
"207","Polecha Jan","ODS","US"
"208","Šorfová Marta","ODS","ODS"
"209","Rozehnal Aleš","ODS","ODS"
"210","Klas Jan","ODS","ODS"
"211","Lobkowicz Michal","ODS","US"
"212","Krása Václav","ODS","US"
"213","Èernı Jan","ODS","US"
"214","Tlustı Vlastimil","ODS","ODS"
"215","Vidím Jan","ODS","ODS"
"216","Kolskı Jaroslav","ODS","ODS"
"217","Fajmon Hynek","ODS","ODS"
"218","Landa Jiøí","ODS","ODS"
"219","Vlach Jiøí","ODS","US"
"220","Zvìøina Jaroslav","ODS","ODS"
"221","Zajíèek Tom","ODS","ODS"
"222","Karlovská Dáša","ODS","ODS"
"223","Volák Stanislav","ODS","US"
"224","Vrzal Ivan","ODS","ODS"
"225","Pape Jiøí","ODS","ODS"
"226","Šnajdauf František","ODS","US"
"227","Vilímec Vladislav","ODS","ODS"
"228","Bílı Jiøí","ODS","ODS"
"229","Jakobec Karel","ODS","ODS"
"230","Šefl Kamil","ODS","ODS"
"231","Pokorná Jaroslava","ODS","ODS"
"232","Holub Josef","ODS","ODS"
"233","Melichar Jaroslav","ODS","ODS"
"234","Vojíø Oldøich","ODS","ODS"
"235","Kadlecová Milada","ODS","US"
"236","Ouzkı Miroslav","ODS","ODS"
"237","Pohl Václav","ODS","ODS"
"238","Kerner Jan","ODS","ODS"
"239","Suchomel Ludìk","ODS","US"
"240","Vacek Radomír","ODS","ODS"
"241","Jansa Milan","ODS","ODS"
"242","Pilip Ivan","ODS","US"
"243","Horníková Zdeòka","ODS","ODS"
"244","Zima Anton","ODS","US"
"245","Nájemník Václav","ODS","ODS"
"246","Bartošková Drahoslava","ODS","US"
"247","Kozel František","ODS","NEZ"
"248","Pištora Ivan","ODS","ODS"
"249","Rubáèek Jan","ODS","ODS"
"250","Páralová Alena","ODS","ODS"
"251","Nedvìdová Veronika","ODS","ODS"
"252","Honajzer Jiøí","ODS","US"
"253","Kvìták Tomáš","ODS","ODS"
"254","Plachı Jaroslav","ODS","ODS"
"255","Pešán Jaroslav","ODS","ODS"
"256","Molín Josef","ODS","ODS"
"257","Pejøil František","ODS","ODS"
"258","Klimeš Dušan","ODS","ODS"
"259","Hollan David","ODS","ODS"
"260","Šverdík Jan","ODS","US"
"261","Novák Rostislav","ODS","ODS"
"262","Veselı Vladislav","ODS","ODS"
"263","Záruba Bohuslav","ODS","ODS"
"264","Rohovskı Ivo","ODS","ODS"
"265","Neèas Petr","ODS","ODS"
"266","Benda Marek","ODS","ODS"
"267","Langer Ivan","ODS","ODS"
"268","Švrèek Zdenìk","ODS","ODS"
"269","Sehoø Karel","ODS","ODS"
"270","Fójcik Vavøinec","ODS","KDU-ÈSL"
"271","Èernota Jiøí","ODS","US"
"272","Pavlíková Jiøina","ODS","ODS"
"273","Koøistka Zdenìk","ODS","US"
"274","Pavelka Jiøí","ODS","ODS"
"275","Kubíèek Jan","ODS","ODS"
"276","Procházka Bohumil","ODS","ODS"
"277","Chytka Radim","ODS","ODS"
"278","Franc Jiøí","PB","PB"
"279","Porcal Jan","PB","PB"
"280","Rychetníková Zdeòka","PB","PB"
"281","Chyskı Jan","PB","PB"
"282","Franc Pavel","PB","PB"
"283","Strejc Josef","PB","PB"
"284","Pospíšil Miroslav","PB","PB"
"285","Šesták Jaroslav","PB","NEZ"
"286","Sušickı Jiøí","PB","PB"
"287","Kopp Jan","PB","PB"
"288","Mach Libor","PB","NEZ"
"289","Konfršt František","PB","PB"
"290","Kobylka Václav","PB","PB"
"291","Venclík Vlastimil","NEZ","NEZ"
"292","Pajas Petr","NEZ","NEZ"
"293","Berka Karel","NEZ","ÈSSD"
"294","Mrázek Jiøí","NEZ","NEZ"
"295","Novák Otto","NEZ","NEZ"
"296","Novák Jiøí","NEZ","NEZ"
"297","Moravec František","NEZ","NEZ"
"298","Mirarchi Dagmar","NEZ","NEZ"
"299","Novák Martin","NEZ","NEZ"
"300","Tichı Oldøich","NEZ","NEZ"
"301","Píša Zdenìk","NEZ","NEZ"
"302","Petrák Boøivoj","NEZ","NEZ"
"303","Janoch Petr","NEZ","NEZ"
"304","Nesvadba Bøetislav","NEZ","NEZ"
"305","Hubáèková Nadìda","NEZ","NEZ"
"306","Kašpárek Miroslav","NEZ","ÈSNS"
"307","Švestková Blaena","NEZ","NEZ"
"308","Klesnil František","NEZ","NEZ"
"309","Kašík Jaroslav","NEZ","NEZ"
"310","Štika Jaroslav","NEZ","NEZ"
"311","Tilcerová Drahomíra","NEZ","NEZ"
"312","Soldán Vojtìch","NEZ","NEZ"
"313","Vaculík Miroslav","NEZ","NEZ"
"314","Frydrych Josef","NEZ","NEZ"
"315","Døímal Ivan","MNS-HSS","MoDS"
"316","Skøebskı Miloslav","MNS-HSS","MoDS"
"317","Karásek Jaromír","MNS-HSS","MoDS"
"318","aludek Jindøich","MNS-HSS","MoDS"
"319","Honner Jan","MNS-HSS","US"
"320","Skála Stanislav","MNS-HSS","MoDS"
"321","Komárek Milan","MNS-HSS","MoDS"
"322","Katròák Josef","MNS-HSS","MoDS"
"323","Stehlík František","MNS-HSS","NEZ"
"324","Hrùza Pavel","MNS-HSS","MoDS"
"325","Bunïálek Pavel","MNS-HSS","MoDS"
"326","Gronych Jindøich","MNS-HSS","MoDS"
"327","Grabec Josef","MNS-HSS","MoDS"
"328","Seèkáø Josef","MNS-HSS","MoDS"
"329","Sehnal Petr","MNS-HSS","MoDS"
"330","Martišek Karel","MNS-HSS","MoDS"
"331","Ambroz Jiøí","MNS-HSS","MoDS"
"332","Kozák Jiøí","MNS-HSS","MoDS"
"333","Hanzlík Petr","MNS-HSS","US"
"334","Stránickı Petr","MNS-HSS","MoDS"
"335","Krısová Hana","MNS-HSS","MoDS"
"336","Ševèík Zdenìk","MNS-HSS","MoDS"
"337","Fišer Jaromír","MNS-HSS","MoDS"
"338","Kraus Pavel","DEU","DEU"
"339","Grohman Jiøí","DEU","DEU"
"340","Mrzílek Karel","DEU","DEU"
"341","Abraham Jiøí","DEU","DEU"
"342","Haralík Ferdinand","DEU","DEU"
"343","Exner Pavel","DEU","DEU"
"344","Hartman Miloslav","DEU","DEU"
"345","Sobotka Vladimír","DEU","DEU"
"346","Kluzová Darja","DEU","DEU"
"347","Kudláèková Eva","DEU","DEU"
"348","Murová Boena","DEU","ODA"
"349","Dosedla Rudolf","DEU","DEU"
"350","Králíèek Karel","DEU","DEU"
"351","Wilda Tomáš","DEU","DEU"
"352","Stibral Jiøí","DEU","DEU"
"353","Dvoøák Jan","DEU","DEU"
"354","Martínek Jaroslav","DEU","DEU"
"355","Beran Jaroslav","DEU","DEU"
"356","Resl Miroslav","DEU","DEU"
"357","Parsch Vladimír","DEU","DEU"
"358","Marxt Jan","DEU","DEU"
"359","Kopta Jindøich","DEU","DEU"
"360","Novotná Jana","DEU","DEU"
"361","Halama Vladimír","DEU","DEU"
"362","Skotnica Vladimír","DEU","DEU"
"363","Bernot Ondøej","DEU","DEU"
"364","Hájek Jiøí","DEU","DEU"
"365","Novotnı Josef","DEU","DEU"
"366","Krejbich Miloslav","DEU","DEU"
"367","Puèejdl Bohumil","DEU","DEU"
"368","Majzlík Ratibor","DEU","DEU"
"369","Lukáš Oldøich","DEU","DEU"
"370","Klinkovská Alena","DEU","DEU"
"371","Fikrle Miroslav","DEU","DEU"
"372","Bambas Miroslav","DEU","DEU"
"373","Koranda Ivan","DEU","DEU"
"374","Boèková Marie","DEU","DEU"
"375","Vítek Jiøí","DEU","DEU"
"376","Kielbus Zdenìk","DEU","DEU"
"377","Mosinger Josef","DEU","DEU"
"378","Regnerová Marie","DEU","DEU"
"379","Dolanskı Petr","DEU","DEU"
"380","Stehlík Jan","DEU","DEU"
"381","Tausch Josef","DEU","DEU"
"382","Hromas Josef","DEU","DEU"
"383","Marek Josef","DEU","DEU"
"384","Frydrych Jan","DEU","DEU"
"385","Tschammerhöhl Milan","DEU","DEU"
"386","Dorant Jan","DEU","DEU"
"387","Rosenbaum František","DEU","DEU"
"388","Hrstka Vladimír","DEU","DEU"
"389","Kny Richard","DEU","DEU"
"390","Sobíšek Petr","DEU","DEU"
"391","Prùcha Oldøich","DEU","DEU"
"392","Bulínová Marie","DEU","DEU"
"393","Kokta Marcell","DEU","DEU"
"394","Karel Jan","DEU","DEU"
"395","Slabı Julius","DEU","DEU"
"396","Matyáš Josef","DEU","DEU"
"397","Jùzek Jaroslav","DEU","DEU"
"398","Draan Tomáš","DEU","DEU"
"399","Šamánek Radko","DEU","DEU"
"400","Boèek Jan","DEU","DEU"
"401","Tomsa Josef","DEU","OK-PK"
"402","Tluka Jindøich","DEU","DEU"
"403","Volaøík Jiøí","DEU","DEU"
"404","Holz Rudolf","DEU","DEU"
"405","Dolealová Kvìtoslava","DEU","DEU"
"406","Janèálek Petr","DEU","DEU"
"407","Jurèíková Vìra","DEU","DEU"
"408","Kuba Pavel","DEU","DEU"
"409","Malèík Antonín","DEU","DEU"
"410","Burget Miloslav","DEU","DEU"
"411","Adamcová Marie","DEU","DEU"
"412","Filipù Dana","DEU","DEU"
"413","Špic Emil","DEU","DEU"
"414","Kaèal Jaroslav","DEU","DEU"
"415","Šudøichová Ilona","DEU","DEU"
"416","Kopeèek Jaroslav","DEU","DEU"
"417","Malíková Drahomíra","DEU","DEU"
"418","Køí Václav","DEU","DEU"
"419","Kilián Oldøich","DEU","DEU"
"420","Mrázek Kvìtoslav","DEU","DEU"
"421","Hromádková Alena","DEU","DEU"
"422","Heglas Jan","DEU","DEU"
"423","Orság František","DEU","DEU"
"424","Pešl Ivan","DEU","DEU"
"425","Laryš Milan","DEU","DEU"
"426","Unucková Marie","DEU","DEU"
"427","Singer Josef","DEU","DEU"
"428","Švrèinová Miloslava","DEU","DEU"
"429","Mattis Jan","DEU","DEU"
"430","Kachel Ladislav","DEU","DEU"
"431","Indra Dalibor","DEU","DEU"
"432","Zatloukal Jiøí","DEU","DEU"
"433","Kohl Ivo","DEU","DEU"
"434","Pulchart Miroslav","DEU","DEU"
"435","Punèocháø Jaromír","DEU","DEU"
"436","Branová Jaruška","DEU","DEU"
"437","Aclar Milan","DEU","DEU"
"438","Procházka Pavel","DEU","DEU"
"439","Švardala Pavel","DEU","DEU"
"440","Strıèek Jan","DEU","DEU"
"441","Havlenová Eva","DEU","DEU"
"442","Kocman Vladimír","DEU","DEU"
"443","Morávek Josef","DEU","DEU"
"444","Klevarová Ludmila","DEU","DEU"
"445","Nováková Jiøina","ODA","ODA"
"446","Sporková Jaroslava","ODA","ODA"
"447","Heller Josef","ODA","ODA"
"448","Pavelka Zdenìk","ODA","ODA"
"449","Nacu Roman","ODA","ODA"
"450","Ladin Valerij","ODA","ODA"
"451","Mirka Vladimír","ODA","ODA"
"452","Šula Jan","ODA","ÈSNS"
"453","Povolnı František","ODA","ODA"
"454","Gruša Zdenìk","ODA","ODA"
"455","Menoušek Ivan","ODA","US"
"456","Richter Vladimír","ODA","ODA"
"457","Drnec Petr","ODA","ODA"
"458","Lexa Michal","ODA","ODA"
"459","Friebert Pavel","ODA","ODA"
"460","Parkanová Vlasta","ODA","KDU-ÈSL"
"461","Kotek Jiøí","ODA","ODA"
"462","Horník Jan","ODA","ODA"
"463","Kylián Josef","ODA","ODA"
"464","Fojtíèek Ctibor","ODA","ODA"
"465","Bláhovec Jiøí","ODA","ODA"
"466","Valvoda Boøek","ODA","ODA"
"467","Kuèerová Marie","ODA","ODA"
"468","Hofman Jan","ODA","ODA"
"469","Holíková Stanislava","ODA","ODA"
"470","Nádvorník Petr","ODA","ODA"
"471","Èihula Ervín","ODA","ODA"
"472","Rybák Milan","ODA","ODA"
"473","Øezáè Václav","ODA","ODA"
"474","Hoza Václav","ODA","ODA"
"475","Barek Stanislav","ODA","ODA"
"476","Suska Miroslav","ODA","ODA"
"477","Led Miroslav","ODA","ODA"
"478","Kulka Dušan","ODA","US"
"479","Hadaè Pavel","ODA","ODA"
"480","Mikala Jiøí","ODA","ODA"
"481","Veleba Lubor","ODA","ODA"
"482","Joch Jan","ODA","ODA"
"483","Weigl Zdenìk","ODA","ODA"
"484","Muselíková Miroslava","ODA","ODA"
"485","Puk Jaromír","ODA","ODA"
"486","Jäger Jaroslav","ODA","ODA"
"487","Vévoda Radomil","ODA","ODA"
"488","Hlaváèek Miloslav","ODA","ODA"
"489","Kamaryt Josef","ODA","ODA"
"490","Jakubec Arnošt","ODA","ODA"
"491","Èunát Libor","ODA","ODA"
"492","Straka Miloslav","ODA","ODA"
"493","Kotrbová Eva","ODA","ODA"
"494","Andreas Zdenìk","ODA","ODA"
"495","Kroupa Daniel","ODA","ODA"
"496","Vanìk Oldøich","SÈK","SZ"
"497","Vıbornı Miloslav","KDU-ÈSL","KDU-ÈSL"
"498","Orel Jaroslav","KDU-ÈSL","KDU-ÈSL"
"499","Svoboda Cyril","KDU-ÈSL","KDU-ÈSL"
"500","Decker Jan","KDU-ÈSL","KDU-ÈSL"
"501","Øíha Vladimír","KDU-ÈSL","KDU-ÈSL"
"502","Doleal Aleš","KDU-ÈSL","KDU-ÈSL"
"503","Chodìra Oldøich","KDU-ÈSL","KDU-ÈSL"
"504","Makovièková Alexandra","KDU-ÈSL","KDU-ÈSL"
"505","Šmrha Václav","KDU-ÈSL","KDU-ÈSL"
"506","Duchek Karel","KDU-ÈSL","KDU-ÈSL"
"507","Bruthans Jan","KDU-ÈSL","KDU-ÈSL"
"508","Kloud Karel","KDU-ÈSL","KDU-ÈSL"
"509","Janeèek Josef","KDU-ÈSL","KDU-ÈSL"
"510","Slavíèek Václav","KDU-ÈSL","KDU-ÈSL"
"511","Vacek Josef","KDU-ÈSL","KDU-ÈSL"
"512","Blecha Karel","KDU-ÈSL","KDU-ÈSL"
"513","Strnadel Tomáš","KDU-ÈSL","KDU-ÈSL"
"514","Rousek František","KDU-ÈSL","KDU-ÈSL"
"515","Vondrášková Marie","KDU-ÈSL","KDU-ÈSL"
"516","Andìl Václav","KDU-ÈSL","KDU-ÈSL"
"517","Hloek Josef","KDU-ÈSL","KDU-ÈSL"
"518","Štáf Jiøí","KDU-ÈSL","KDU-ÈSL"
"519","Sedláèek Tomáš","KDU-ÈSL","KDU-ÈSL"
"520","Èíek Luboš","KDU-ÈSL","KDU-ÈSL"
"521","Štorková Marie","KDU-ÈSL","KDU-ÈSL"
"522","Talíø Jaromír","KDU-ÈSL","KDU-ÈSL"
"523","Vlasák Miroslav","KDU-ÈSL","KDU-ÈSL"
"524","Blaek Jiøí","KDU-ÈSL","KDU-ÈSL"
"525","Talíøová Štìpánka","KDU-ÈSL","KDU-ÈSL"
"526","Bøicháèek Petr","KDU-ÈSL","KDU-ÈSL"
"527","Malík Stanislav","KDU-ÈSL","KDU-ÈSL"
"528","Mazancová Jana","KDU-ÈSL","KDU-ÈSL"
"529","Vodièka Rudolf","KDU-ÈSL","KDU-ÈSL"
"530","Pípal Pavel","KDU-ÈSL","KDU-ÈSL"
"531","Petr Petr","KDU-ÈSL","KDU-ÈSL"
"532","Lobkowicz Jaroslav","KDU-ÈSL","KDU-ÈSL"
"533","Jukl Jiøí","KDU-ÈSL","KDU-ÈSL"
"534","Volf Miroslav","KDU-ÈSL","KDU-ÈSL"
"535","Boèek Pavel","KDU-ÈSL","KDU-ÈSL"
"536","Lašek Alois","KDU-ÈSL","KDU-ÈSL"
"537","Hájek Milan","KDU-ÈSL","KDU-ÈSL"
"538","Kubica Jaroslav","KDU-ÈSL","KDU-ÈSL"
"539","Tøesohlavı Jiøí","KDU-ÈSL","KDU-ÈSL"
"540","Tollner Pavel","KDU-ÈSL","KDU-ÈSL"
"541","Hrdı Karel","KDU-ÈSL","KDU-ÈSL"
"542","Haringer Jiøí","KDU-ÈSL","KDU-ÈSL"
"543","Šourek Petr","KDU-ÈSL","KDU-ÈSL"
"544","Veselka Jiøí","KDU-ÈSL","KDU-ÈSL"
"545","Müller Miloslav","KDU-ÈSL","KDU-ÈSL"
"546","Pištìková Dagmar","KDU-ÈSL","KDU-ÈSL"
"547","Málek Jiøí","KDU-ÈSL","KDU-ÈSL"
"548","Plánièka Pavel","KDU-ÈSL","KDU-ÈSL"
"549","Háp František","KDU-ÈSL","KDU-ÈSL"
"550","Kubišta Alois","KDU-ÈSL","KDU-ÈSL"
"551","Barák František","KDU-ÈSL","KDU-ÈSL"
"552","Kušnír Anton","KDU-ÈSL","KDU-ÈSL"
"553","Chaloupek Tomáš","KDU-ÈSL","KDU-ÈSL"
