"","again","party1","party2"
"58","Dvoøák Luboš","KSÈM","KSÈM"
"59","Šidlo Karel","KSÈM","KSÈM"
"60","Valenta Jiøí","KSÈM","KSÈM"
"61","Švarcbek Josef","KSÈM","KSÈM"
"62","Rejfek Jan","KSÈM","KSÈM"
"63","Hlásek František","KSÈM","KSÈM"
"64","Hojda Pavel","KSÈM","KSÈM"
"65","Honcù Radomír","KSÈM","KSÈM"
"66","Stránská Eliška","KSÈM","KSÈM"
"67","Šenfeld Josef","KSÈM","KSÈM"
"68","Hubáèková Gabriela","KSÈM","KSÈM"
"69","Sedláèková Erika","KSÈM","KSÈM"
"70","Šenkıø Václav","KSÈM","KSÈM"
"71","Minárik František","KSÈM","KSÈM"
"72","Lhoták Vlastimil","KSÈM","KSÈM"
"73","Buldra Miloslav","KSÈM","KSÈM"
"74","Nétek Josef","KSÈM","KSÈM"
"75","Zíka Tomáš","KSÈM","KSÈM"
"76","Mackovík Stanislav","KSÈM","KSÈM"
"77","Klikarová Kateøina","KSÈM","KSÈM"
"78","Tita Miloš","KSÈM","KSÈM"
"79","Èíek Lukáš","KSÈM","KSÈM"
"80","Nováková Tajana","KSÈM","KSÈM"
"81","Marková Soòa","KSÈM","KSÈM"
"82","Lukášek Josef","KSÈM","KSÈM"
"83","iková Vìra","KSÈM","KSÈM"
"84","Fišer Jaroslav","KSÈM","KSÈM"
"85","Fülle Radim","KSÈM","KSÈM"
"86","ítková Jana","KSÈM","KSÈM"
"87","Kubù Pavel","KSÈM","KSÈM"
"88","Nìmec Petr","KSÈM","KSÈM"
"89","Vejmìlek Ladislav","KSÈM","KSÈM"
"90","Hodáè Pavel","KSÈM","KSÈM"
"91","Zahradníèek Josef","KSÈM","KSÈM"
"92","Oulehla Drahoslav","KSÈM","KSÈM"
"93","Vacek Petr","KSÈM","KSÈM"
"94","Hrdlièka Jindøich","KSÈM","KSÈM"
"95","Grebeníèek Miroslav","KSÈM","KSÈM"
"96","Pojeznı Ivo","KSÈM","KSÈM"
"97","Bouda Josef","KSÈM","KSÈM"
"98","Lahvièka Ján","KSÈM","KSÈM"
"99","Tesaøík Zdenìk","KSÈM","KSÈM"
"100","Fazor Jiøí","KSÈM","KSÈM"
"101","Nikolai Petr","KSÈM","SPOZ"
"102","Haller Ladislav","KSÈM","KSÈM"
"103","Hamala Milan","KSÈM","KSÈM"
"104","Hrozková Jaroslava","KSÈM","KSÈM"
"105","Èernı Alexander","KSÈM","KSÈM"
"106","Nekl Josef","KSÈM","KSÈM"
"107","Šlambor Jaroslav","KSÈM","KSÈM"
"108","Švec Zdenìk","KSÈM","KSÈM"
"109","Sumara Ivan","KSÈM","KSÈM"
"110","Raindl Miroslav","KSÈM","KSÈM"
"111","Veselı Kamil","KSÈM","KSÈM"
"112","Koníèek Vladimír","KSÈM","KSÈM"
"113","Lapèík Vítìzslav","KSÈM","KSÈM"
"114","Opravilová Esma","KSÈM","KSÈM"
"115","Èejka Josef","KSÈM","KSÈM"
"116","Blaek Antonín","KSÈM","KSÈM"
"117","Pìnèíková Marie","KSÈM","KSÈM"
"118","Procházka Jaroslav","KSÈM","KSÈM"
"119","Koneèná Kateøina","KSÈM","KSÈM"
"120","Halíková Milada","KSÈM","KSÈM"
"121","Recman Svatomír","KSÈM","KSÈM"
"122","Hanusová Jitka","KSÈM","KSÈM"
"123","Hyvnar Radim","KSÈM","KSÈM"
"124","Kupka Vlastimil","KSÈM","KSÈM"
"125","Luzar Leo","KSÈM","KSÈM"
"126","Heczko Eduard","KSÈM","KSÈM"
"127","Dener Tomáš","KSÈM","KSÈM"
"128","árskı Ivan","KSÈM","KSÈM"
"129","Michálková Ivana","KSÈM","KSÈM"
"130","Srb Václav","""KÈ""","KÈ"
"131","Rathuská Svìtlana","""KÈ""","KÈ"
"132","Zıková Dana","""KÈ""","KÈ"
"133","Pejøimovskı Josef","""KÈ""","KÈ"
"134","Drvota Jaromír","""KÈ""","KÈ"
"135","Štogrová Jarmila","""KÈ""","KÈ"
"136","Mácha Slavomír","""KÈ""","KÈ"
"137","Èadil Matìj","""KÈ""","KÈ"
"138","Smolík Petr","""KÈ""","KÈ"
"139","Kodeda Oldøich","""KÈ""","KÈ"
"140","Drnek Jan","""KÈ""","KÈ"
"141","Drábeèek Karel","""KÈ""","KÈ"
"142","Smolík Stanislav","""KÈ""","KÈ"
"143","Vondrovskı Václav","""KÈ""","KÈ"
"144","Štorek Zdenìk","""KÈ""","KÈ"
"145","Veleckı Luboš","""KÈ""","KÈ"
"146","Èíek Jiøí","""KÈ""","KÈ"
"147","Janás Antonín","""KÈ""","KÈ"
"148","Mrkvová Ludmila","""KÈ""","KÈ"
"149","Koneèná Eva","""KÈ""","KÈ"
"150","Formánek Dušan","""KÈ""","KÈ"
"151","Velecká Pavla","""KÈ""","KÈ"
"152","Horinka Pavel","""KÈ""","KÈ"
"153","Andrš Pavel","""KÈ""","KÈ"
"154","Makovı Pavel","""KÈ""","KÈ"
"155","Krchòáková Jitka","""KÈ""","KÈ"
"156","Jirotka Ivo","""KÈ""","KÈ"
"157","Svoboda Miroslav","ÈSSD","ÈSSD"
"158","Koskuba Jiøí","ÈSSD","ÈSSD"
"159","Šplíchal Karel","ÈSSD","ÈSSD"
"160","Mandovcová Kateøina","ÈSSD","ÈSSD"
"161","Beòák David","ÈSSD","ÈSSD"
"162","Matonoha Drahoslav","ÈSSD","ÈSSD"
"163","Vaicová Marie","ÈSSD","ÈSSD"
"164","Hamáèek Jan","ÈSSD","ÈSSD"
"165","Vandas Jaroslav","ÈSSD","ÈSSD"
"166","Zemek Václav","ÈSSD","ÈSSD"
"167","Sunkovskı Petr","ÈSSD","ÈSSD"
"168","Koníèek František","ÈSSD","SPOZ"
"169","Petrílek Petr","ÈSSD","ÈSSD"
"170","Havlíèek Jiøí","ÈSSD","ÈSSD"
"171","Králová Irena","ÈSSD","ÈSSD"
"172","Taraba Bohumil","ÈSSD","ÈSSD"
"173","Seidel Antonín","ÈSSD","ÈSSD"
"174","Poláèek Radek","ÈSSD","ÈSSD"
"175","Hron Karel","ÈSSD","ÈSSD"
"176","Kratochvíle Karel","ÈSSD","ÈSSD"
"177","Skláø František","ÈSSD","ÈSSD"
"178","Šulc Ivan","ÈSSD","ÈSSD"
"179","Glotzová Pavlína","ÈSSD","ÈSSD"
"180","Jakubèík Igor","ÈSSD","ÈSSD"
"181","Vicari Pavel","ÈSSD","ÈSSD"
"182","Fiala Jaroslav","ÈSSD","ÈSSD"
"183","Hartmann Vladimír","ÈSSD","ÈSSD"
"184","Kaiserová Vlasta","ÈSSD","ÈSSD"
"185","Novotnı Josef","ÈSSD","ÈSSD"
"186","Bradáè Jaroslav","ÈSSD","SPOZ"
"187","Tancoš Josef","ÈSSD","ÈSSD"
"188","Benda Petr","ÈSSD","LEV 21"
"189","Køtìnová Alena","ÈSSD","ÈSSD"
"190","Køeèek Václav","ÈSSD","ÈSSD"
"191","Štejnar Radek","ÈSSD","ÈSSD"
"192","Knézel Štìpán","ÈSSD","LEV 21"
"193","Hájek Jan","ÈSSD","ÈSSD"
"194","Šímová Renata","ÈSSD","ÈSSD"
"195","Orgoníková Hana","ÈSSD","ÈSSD"
"196","Böhnisch Robin","ÈSSD","ÈSSD"
"197","Sobìslav Vladimír","ÈSSD","ÈSSD"
"198","Tøešòáková Jana","ÈSSD","ÈSSD"
"199","Šolc Jaroslav","ÈSSD","ÈSSD"
"200","Tomková Ivana","ÈSSD","ÈSSD"
"201","Šlaj Jan","ÈSSD","ÈSSD"
"202","Váòa Miroslav","ÈSSD","ÈSSD"
"203","Zelenková Ladislava","ÈSSD","ÈSSD"
"204","Dostálová Jitka","ÈSSD","ÈSSD"
"205","Havíø Pavel","ÈSSD","ÈSSD"
"206","Nováková Radoslava","ÈSSD","ÈSSD"
"207","Chvojka Jan","ÈSSD","ÈSSD"
"208","Èernı Karel","ÈSSD","ÈSSD"
"209","Zelníèek František","ÈSSD","ÈSSD"
"210","Musil Michal","ÈSSD","ÈSSD"
"211","Doleal Jaroslav","ÈSSD","ÈSSD"
"212","Ohlídal Ivan","ÈSSD","ÈSSD"
"213","Schneider Jan","ÈSSD","ÈSSD"
"214","Hašek Michal","ÈSSD","ÈSSD"
"215","Brtníèek Miloslav","ÈSSD","ÈSSD"
"216","Branèík Jaromír","ÈSSD","ÈSSD"
"217","Pavlík Zdenìk","ÈSSD","ÈSSD"
"218","Gabrhel Vlastimil","ÈSSD","ÈSSD"
"219","Váòa Roman","ÈSSD","ÈSSD"
"220","Zemánek Jiøí","ÈSSD","ÈSSD"
"221","Holík Pavel","ÈSSD","ÈSSD"
"222","Pøichystal Jan","ÈSSD","ÈSSD"
"223","Šoltys Pavel","ÈSSD","ÈSSD"
"224","Smetana Pavel","ÈSSD","ÈSSD"
"225","Weberová Hedvika","ÈSSD","ÈSSD"
"226","Smıkal Josef","ÈSSD","ÈSSD"
"227","Seïa Antonín","ÈSSD","ÈSSD"
"228","Strnadlová Miroslava","ÈSSD","ÈSSD"
"229","Rumplík Zdenìk","ÈSSD","ÈSSD"
"230","Fuksová Vìra","ÈSSD","ÈSSD"
"231","Uherka Jan","ÈSSD","ÈSSD"
"232","Sedláèek Dalibor","ÈSSD","ÈSSD"
"233","Petrù Pavel","ÈSSD","ÈSSD"
"234","Váhalová Dana","ÈSSD","ÈSSD"
"235","Velebnı Ladislav","ÈSSD","ÈSSD"
"236","Kala Jaroslav","ÈSSD","ÈSSD"
"237","Štekbauer Jaroslav","ÈSSD","ÈSSD"
"238","Rudol David","ÈSSD","ÈSSD"
"239","Pohludka Antonín","ÈSSD","ÈSSD"
"240","Strnad Pavel","M","SPOZ"
"241","Ingr Tomáš","M","Úsvit"
"242","Èervenı František","M","LEV 21"
"243","Kroh Michael","SPOZ","SPOZ"
"244","Brettl Vojtìch","SPOZ","SPOZ"
"245","Abt Jaroslav","SPOZ","SPOZ"
"246","Moudrá Irena","SPOZ","SPOZ"
"247","Koukolová Kvítková Dana","SPOZ","SPOZ"
"248","Zeman Eduard","SPOZ","SPOZ"
"249","Martan Petr","SPOZ","SPOZ"
"250","Kozlerová Vlasta","SPOZ","SPOZ"
"251","Lébr Josef","SPOZ","SPOZ"
"252","Pokornı Ivan","SPOZ","SPOZ"
"253","Doubková Petra","SPOZ","SPOZ"
"254","Masopust Jaroslav","SPOZ","SPOZ"
"255","Stru Jan","SPOZ","SPOZ"
"256","Patzelt Jan","SPOZ","ANO 2011"
"257","Honegrová Jaroslava","SPOZ","SPOZ"
"258","Florian Roman","SPOZ","SPOZ"
"259","Vagenknecht Tomáš","SPOZ","SPOZ"
"260","Rejda Tomáš","SPOZ","SPOZ"
"261","Dejdar Daniel","SPOZ","SPOZ"
"262","Trávník Bohumil","SPOZ","SPOZ"
"263","Kodys Josef","SPOZ","SPOZ"
"264","Najda Vladimír","SPOZ","SPOZ"
"265","Foltın Milan","SPOZ","SPOZ"
"266","Bauer Rudolf","SPOZ","SPOZ"
"267","Longaver Karel","SPOZ","SPOZ"
"268","Augustin Radek","SPOZ","SPOZ"
"269","Pospíšilík Radek","SPOZ","SPOZ"
"270","Petrelková Hana","SPOZ","SPOZ"
"271","Kruliš Vladimír","SPOZ","SPOZ"
"272","Zachveja Matej","SPOZ","SPOZ"
"273","Feber Ondøej","SPOZ","SPOZ"
"274","Schwarzenberg Karel","TOP 09","TOP 09"
"275","Polèák Stanislav","TOP 09","TOP 09"
"276","Korte Daniel","TOP 09","TOP 09"
"277","Laudát František","TOP 09","TOP 09"
"278","Pecková Gabriela","TOP 09","TOP 09"
"279","Dlouhı Martin","TOP 09","TOP 09"
"280","Kalousek Miroslav","TOP 09","TOP 09"
"281","Smutnı Jan","TOP 09","TOP 09"
"282","Holeèek Petr","TOP 09","TOP 09"
"283","Nechanickı Pavel","TOP 09","TOP 09"
"284","Tureèek Karel","TOP 09","TOP 09"
"285","Bezecnı Zdenìk","TOP 09","TOP 09"
"286","Houba Jaroslav","TOP 09","TOP 09"
"287","Matìjù Václav","TOP 09","TOP 09"
"288","Gregora Martin","TOP 09","TOP 09"
"289","Koøínek Jiøí","TOP 09","DSSS"
"290","eníšek Marek","TOP 09","TOP 09"
"291","Janek Michal","TOP 09","TOP 09"
"292","Èíek Pavel","TOP 09","TOP 09"
"293","Janoušek Aleš","TOP 09","TOP 09"
"294","Zahradníèek Petr","TOP 09","TOP 09"
"295","Chlad Rudolf","TOP 09","TOP 09"
"296","Dvoøák Jaromír","TOP 09","ÈSSD"
"297","Brantl Zdenìk","TOP 09","KDU-ÈSL"
"298","Boèek Pavel","TOP 09","Svobodní"
"299","Liška Petr","TOP 09","TOP 09"
"300","Šoral Zdenìk","TOP 09","TOP 09"
"301","Kopeckı Karel","TOP 09","TOP 09"
"302","Mìsíc Petr","TOP 09","TOP 09"
"303","Marušiak Jan","TOP 09","TOP 09"
"304","Støíbrnı Vladimír","TOP 09","TOP 09"
"305","Heger Leoš","TOP 09","TOP 09"
"306","Oliva Jiøí","TOP 09","TOP 09"
"307","Zedník Jaroslav","TOP 09","TOP 09"
"308","Štìpánová Hana","TOP 09","TOP 09"
"309","Cempírek Václav","TOP 09","TOP 09"
"310","Bäuchel Luboš","TOP 09","TOP 09"
"311","Mlateèek Ladislav","TOP 09","TOP 09"
"312","Netolickı Luboš","TOP 09","TOP 09"
"313","Honzárek Libor","TOP 09","TOP 09"
"314","Schejbalová Jaroslava","TOP 09","TOP 09"
"315","Kostøica Rom","TOP 09","TOP 09"
"316","Vašíèek Vojtìch","TOP 09","TOP 09"
"317","Boek Dominik","TOP 09","TOP 09"
"318","Tøetina Tomáš","TOP 09","TOP 09"
"319","Chalánková Jitka","TOP 09","TOP 09"
"320","Brázda Radek","TOP 09","TOP 09"
"321","Vlach Ivo","TOP 09","TOP 09"
"322","Koleèkáøová Blanka","TOP 09","TOP 09"
"323","Klein Jiøí","TOP 09","TOP 09"
"324","Machová Eva","TOP 09","TOP 09"
"325","Koèí Vlasta","TOP 09","TOP 09"
"326","Èíhalová Jarmila","TOP 09","TOP 09"
"327","Mergenthalová Lenka","TOP 09","TOP 09"
"328","Špendlík Michal","TOP 09","TOP 09"
"329","Fila Tomáš","TOP 09","HLVZHÙRU"
"330","Jungmann Pavel","TOP 09","TOP 09"
"331","Bubeníková Ludmila","TOP 09","TOP 09"
"332","Mores Václav","TOP 09","TOP 09"
"333","Papuga Tomáš","TOP 09","TOP 09"
"334","Špetla Martin","TOP 09","TOP 09"
"335","Hošek Marián","KDU-ÈSL","KDU-ÈSL"
"336","Philipp Tom","KDU-ÈSL","KDU-ÈSL"
"337","Mareš Pavel","KDU-ÈSL","KDU-ÈSL"
"338","Rázková Daniela","KDU-ÈSL","KDU-ÈSL"
"339","Tùmová Pavla","KDU-ÈSL","KDU-ÈSL"
"340","Müller Miloslav","KDU-ÈSL","KDU-ÈSL"
"341","Burgr Petr","KDU-ÈSL","KDU-ÈSL"
"342","Èiinskı Jan","KDU-ÈSL","KDU-ÈSL"
"343","Král Jiøí","KDU-ÈSL","KDU-ÈSL"
"344","Kroupa Karel","KDU-ÈSL","KDU-ÈSL"
"345","Roubíková Vlasta","KDU-ÈSL","KDU-ÈSL"
"346","Koubskı Karel","KDU-ÈSL","KDU-ÈSL"
"347","Polák Jaroslav","KDU-ÈSL","KDU-ÈSL"
"348","Sova Karel","KDU-ÈSL","KDU-ÈSL"
"349","Prùša Daniel","KDU-ÈSL","KDU-ÈSL"
"350","Šeligová Alena","KDU-ÈSL","KDU-ÈSL"
"351","Vodièka Rudolf","KDU-ÈSL","KDU-ÈSL"
"352","Kalbáè Josef","KDU-ÈSL","KDU-ÈSL"
"353","Bartošek Jan","KDU-ÈSL","KDU-ÈSL"
"354","Hrdinová Marie","KDU-ÈSL","KDU-ÈSL"
"355","Dvoøák Zdenìk","KDU-ÈSL","KDU-ÈSL"
"356","Štemberková Rùena","KDU-ÈSL","KDU-ÈSL"
"357","Malík Stanislav","KDU-ÈSL","KDU-ÈSL"
"358","Huneš Robert","KDU-ÈSL","KDU-ÈSL"
"359","Hejl Jaroslav","KDU-ÈSL","KDU-ÈSL"
"360","Antoš Stanislav","KDU-ÈSL","KDU-ÈSL"
"361","Lorenzová Markéta","KDU-ÈSL","KDU-ÈSL"
"362","Kadlec Jan","KDU-ÈSL","KDU-ÈSL"
"363","Koderová Marie","KDU-ÈSL","KDU-ÈSL"
"364","Vokatı Václav","KDU-ÈSL","KDU-ÈSL"
"365","Šindeláø Vlastimil","KDU-ÈSL","KDU-ÈSL"
"366","Rùièka František","KDU-ÈSL","KDU-ÈSL"
"367","Jára Václav","KDU-ÈSL","KDU-ÈSL"
"368","Zelenková Václava","KDU-ÈSL","KDU-ÈSL"
"369","Landa Jiøí","KDU-ÈSL","KDU-ÈSL"
"370","Zvalová Hana","KDU-ÈSL","KDU-ÈSL"
"371","Svobodová Vilemína","KDU-ÈSL","KDU-ÈSL"
"372","Svoboda Kamil Jan","KDU-ÈSL","KDU-ÈSL"
"373","Rákosová Zdeòka","KDU-ÈSL","KDU-ÈSL"
"374","Jiran Pavel","KDU-ÈSL","KDU-ÈSL"
"375","Vranı Michael","KDU-ÈSL","KDU-ÈSL"
"376","Gut Josef","KDU-ÈSL","KDU-ÈSL"
"377","Veselı Jiøí","KDU-ÈSL","KDU-ÈSL"
"378","Maclová Anna","KDU-ÈSL","KDU-ÈSL"
"379","Bìlobrádek Pavel","KDU-ÈSL","KDU-ÈSL"
"380","Kubínová Marie","KDU-ÈSL","KDU-ÈSL"
"381","Starı Pavel","KDU-ÈSL","KDU-ÈSL"
"382","Petr Pavel","KDU-ÈSL","KDU-ÈSL"
"383","Rothschein Karel","KDU-ÈSL","KDU-ÈSL"
"384","Preininger Tomáš","KDU-ÈSL","KDU-ÈSL"
"385","Houška Miroslav","KDU-ÈSL","KDU-ÈSL"
"386","Tourek Jan","KDU-ÈSL","KDU-ÈSL"
"387","Køišan Tomáš","KDU-ÈSL","KDU-ÈSL"
"388","Nìmec Jiøí","KDU-ÈSL","KDU-ÈSL"
"389","Ivièièová Jitka","KDU-ÈSL","KDU-ÈSL"
"390","Jureèka Marian","KDU-ÈSL","KDU-ÈSL"
"391","John František","KDU-ÈSL","KDU-ÈSL"
"392","Fidrmuc Jaroslav","KDU-ÈSL","KDU-ÈSL"
"393","Šnevajs Ladislav","KDU-ÈSL","KDU-ÈSL"
"394","Hanuška Petr","KDU-ÈSL","KDU-ÈSL"
"395","Odstrèilová Zdislava","KDU-ÈSL","KDU-ÈSL"
"396","Kašnı Miroslav","KDU-ÈSL","KDU-ÈSL"
"397","Jelínková Šárka","KDU-ÈSL","KDU-ÈSL"
"398","Forišková Dana","KDU-ÈSL","KDU-ÈSL"
"399","Pøádka Miroslav","KDU-ÈSL","KDU-ÈSL"
"400","Praáková Vìra","KDU-ÈSL","KDU-ÈSL"
"401","Drábek Ivan","KDU-ÈSL","KDU-ÈSL"
"402","Chamráth Rudolf","KDU-ÈSL","KDU-ÈSL"
"403","Šujan Vojtìch","KDU-ÈSL","KDU-ÈSL"
"404","Jedelskı Marcel","KDU-ÈSL","KDU-ÈSL"
"405","Golasowská Pavla","KDU-ÈSL","KDU-ÈSL"
"406","Cibulka Petr","PB","PB"
"407","Durdil Miroslav","PB","PB"
"408","Kutina František","PB","PB"
"409","Fronìk Roman","PB","PB"
"410","Kyprı Daniel","PB","PB"
"411","Macek Pavel","PB","PB"
"412","Prokop Zdenìk","PB","PB"
"413","Èernota Miroslav","PB","PB"
"414","Beèka Jan","PB","PB"
"415","Lukáèek Petr","PB","PB"
"416","Nosek Zdenìk","PB","PB"
"417","Hlaváèek Jiøí","PB","Piráti"
"418","Hejl Petr","PB","PB"
"419","Hauserová Eva","PB","PB"
"420","Foltis Karel","PB","PB"
"421","Jirsáková Jarmila","ÈSNS2005","LEV 21"
"422","Dvoøák Ivan","ÈSNS2005","LEV 21"
"423","Nedvìd Karel","ÈSNS2005","LEV 21"
"424","Kynclová Václava","ÈSNS2005","LEV 21"
"425","Fejfar Jiøí","ÈSNS2005","LEV 21"
"426","Kraft Pavel","ÈSNS2005","LEV 21"
"427","Janoušek Jiøí","ÈSNS2005","LEV 21"
"428","Polívka Karel","ÈSNS2005","LEV 21"
"429","Zídek Miloš","ÈSNS2005","LEV 21"
"430","Sprungová Vlasta","ÈSNS2005","LEV 21"
"431","Mirovskı Ondøej","SZ","SZ"
"432","Hrabal Ladislav","SZ","SZ"
"433","Rut Ondøej","SZ","SZ"
"434","Budín Lukáš","SZ","SZ"
"435","Picková Ilona","SZ","SZ"
"436","Kolmanová Dagmar","SZ","SZ"
"437","Rejchrtová Albìta","SZ","SZ"
"438","Kratochvílová Silvie","SZ","SZ"
"439","Kofroòová Iva","SZ","SZ"
"440","Brabec Petr","SZ","SZ"
"441","Vedral Vladimír","SZ","SZ"
"442","Lev Libor","SZ","SZ"
"443","Sequens Edvard","SZ","SZ"
"444","Marek Martin","SZ","Zmìna"
"445","Èerník Roman","SZ","SZ"
"446","Kubát Tomáš","SZ","SZ"
"447","Mudrová Marie","SZ","SZ"
"448","Pála Lumír","SZ","SZ"
"449","Moudrá Wünschová Irena","SZ","SZ"
"450","Buøt Vladimír","SZ","SZ"
"451","Krejèová Hana","SZ","SZ"
"452","Neprašová Radka","SZ","SZ"
"453","Hudec Miroslav","SZ","SZ"
"454","Kulich Jiøí","SZ","SZ"
"455","Vìchet Martin","SZ","SZ"
"456","Hanousek Martin","SZ","SZ"
"457","Karel Tomáš","SZ","SZ"
"458","Malík Jiøí","SZ","SZ"
"459","Kvapil Pavel","SZ","SZ"
"460","Pavlosek Jiøí","SZ","SZ"
"461","Kodymová Eva","SZ","SZ"
"462","Jakeš Michal","SZ","SZ"
"463","Houzarová Hana","SZ","SZ"
"464","Pykal Jiøí","SZ","SZ"
"465","Vitnerová Jana","SZ","SZ"
"466","Koláø Matìj","SZ","SZ"
"467","Drápalová Jana","SZ","SZ"
"468","Vlašín Mojmír","SZ","SZ"
"469","Blatná Milada","SZ","SZ"
"470","Medek Michal","SZ","SZ"
"471","Fajnorová Ivana","SZ","SZ"
"472","Hollan Jan","SZ","SZ"
"473","Spurná Pavla","SZ","SZ"
"474","Hradil Tomáš","SZ","SZ"
"475","Kolaøík Martin","SZ","SZ"
"476","Mátl Milan","SZ","SZ"
"477","Jurek Vilém","SZ","SZ"
"478","Pajurková Bohuslava","SZ","SZ"
"479","Jelínek Petr","SZ","SZ"
"480","Talafant Jan","SZ","SZ"
"481","Brady Pavla","SZ","SZ"
"482","Novotnı Jiøí","SZ","KDU-ÈSL"
"483","Vernerová Kateøina","SZ","SZ"
"484","Klega Jiøí","SZ","SZ"
"485","Pavel Libor","SZ","Úsvit"
"486","Krist Jiøí","SZ","SZ"
"487","Mitura Pavel","SZ","SZ"
"488","Šmotek René","SZ","SZ"
"489","Morávková Eva","Suveren.","HLVZHÙRU"
"490","Babinec Bohdan","Suveren.","LEV 21"
"491","Èíla Ivan","Suveren.","Suveren."
"492","Jakubùv Michaela","Suveren.","HLVZHÙRU"
"493","Vávra Vítìzslav","Suveren.","Suveren."
"494","Nìmec Vladimír","Suveren.","Suveren."
"495","Chovancová Marta","Suveren.","Suveren."
"496","Málek Roman","Suveren.","Suveren."
"497","Semeckı Marcel","Suveren.","Suveren."
"498","Vojtíšková Andrea","Suveren.","Suveren."
"499","Volfová Jana","Suveren.","HLVZHÙRU"
"500","Hannig Petr","Suveren.","Suveren."
"501","Somberg Jiøí","Suveren.","Suveren."
"502","Pomma Václav","Suveren.","Suveren."
"503","Pivoòka Václav","Suveren.","Suveren."
"504","Barešová Miroslava","Suveren.","Suveren."
"505","Jandová Lenka","Suveren.","Suveren."
"506","Paukejová Marie","Suveren.","HLVZHÙRU"
"507","Paldinus ¼uboš","Suveren.","HLVZHÙRU"
"508","Dolívková Jitka","Suveren.","Suveren."
"509","Kleèková Libuše","Suveren.","Suveren."
"510","Kocman Petr","Suveren.","Suveren."
"511","Podskalská Zdeòka","Suveren.","Suveren."
"512","Èarnogurskı Jaroslav","Suveren.","Suveren."
"513","Opplová Alena","Suveren.","Suveren."
"514","Horová Jitka","Suveren.","Suveren."
"515","Hradecká Ilona","Suveren.","Suveren."
"516","Ambrozková Jaroslava","Suveren.","HLVZHÙRU"
"517","Štrasser Miroslav","Suveren.","Suveren."
"518","Fišer Petr","Suveren.","Suveren."
"519","Vozka Vlastimil","Suveren.","ANO 2011"
"520","Beširevièová Eva","Suveren.","HLVZHÙRU"
"521","Burianová Dagmar","Suveren.","Suveren."
"522","Hegrová Kvìta","Suveren.","Suveren."
"523","Langhammer Lubomír","Suveren.","Suveren."
"524","Voda Miroslav","Suveren.","Suveren."
"525","Kuelka Miloš","Suveren.","Suveren."
"526","Hodovalová Renata","Suveren.","Suveren."
"527","Pajkrt Stanislav","Suveren.","Suveren."
"528","Neveèeøalová Vìra","Suveren.","Suveren."
