"","again","party1","party2"
"1","Kábrt Tomáš","Obèané","KDU-ÈSL"
"2","Støechovskı Jan","Obèané","ANO 2011"
"3","Robenek Bronislav","Obèané","Zmìna"
"4","Bárta Vít","VV","Úsvit"
"5","Kukrle Marek","VV","HLVZHÙRU"
"6","Hora Jan","VV","Úsvit"
"7","Lexa Jiøí","VV","HLVZHÙRU"
"8","Peèmanová Zuzana","VV","SsÈR"
"9","Bayerová Lydie","VV","Úsvit"
"10","Èernı Petr","VV","SsÈR"
"11","Bakovskı Zdenìk","VV","Úsvit"
"12","Baudyš Jiøí","VV","KSÈM"
"13","Bakovskı Martin","VV","Úsvit"
"14","Vojtìch Jan","VV","Zmìna"
"15","Paulík Vladimír","VV","SPOZ"
"16","Foretník Pavel","VV","Úsvit"
"17","Dostál Martin","VV","TOP 09"
"18","Svetlik George","KONS","SsÈR"
"19","Rejman Martin","KONS","SsÈR"
"20","Bureš Tomáš","KONS","SsÈR"
"21","Belza Marek","KONS","SsÈR"
"22","Jarolímek Otto","KONS","SsÈR"
"23","Lukavec Josef","KONS","SsÈR"
"24","Cabal Jaroslav","KONS","SsÈR"
"25","Henek Pavel","KONS","SsÈR"
"26","Drápal Dan","KONS","KDU-ÈSL"
"27","Pøeslièka František","KONS","KAN"
"28","Koláø Jaromír","KONS","KAN"
"29","Hibsch David","KONS","HLVZHÙRU"
"30","Dolejš Jiøí","KSÈM","KSÈM"
"31","Semelová Marta","KSÈM","KSÈM"
"32","Gušlbauerová Dagmar","KSÈM","KSÈM"
"33","Petelík Jaromír","KSÈM","KSÈM"
"34","Briardová Helena","KSÈM","KSÈM"
"35","Èunátová Jana","KSÈM","KSÈM"
"36","Hudeèek Jiøí","KSÈM","KSÈM"
"37","Janouch Roman","KSÈM","KSÈM"
"38","Mouèková Miroslava","KSÈM","KSÈM"
"39","Skoupil Karel","KSÈM","KSÈM"
"40","Vostrá Miloslava","KSÈM","KSÈM"
"41","Klán Jan","KSÈM","KSÈM"
"42","Hubenı Pavel","KSÈM","KSÈM"
"43","Kudrna Luboš","KSÈM","KSÈM"
"44","Nekováøová Zuzana","KSÈM","KSÈM"
"45","Štefek Zdenìk","KSÈM","KSÈM"
"46","Peltan Rudolf","KSÈM","KSÈM"
"47","Švarc František","KSÈM","ODS"
"48","Hála Josef","KSÈM","KSÈM"
"49","Pavlíková Kateøina","KSÈM","KSÈM"
"50","Krajdl Martin","KSÈM","KSÈM"
"51","Hejduk Stanislav","KSÈM","KSÈM"
"52","Filip Vojtìch","KSÈM","KSÈM"
"53","Branı Petr","KSÈM","KSÈM"
"54","Nohavová Alena","KSÈM","KSÈM"
"55","Sedláèek Stanislav","KSÈM","KSÈM"
"56","Klapsia Vilém","KSÈM","KSÈM"
"57","Vytiska Tomeš","KSÈM","KSÈM"
