districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
1;Hl. m. Praha;1;Havlík Peter;51;Obèané;Obèané;162;13;1
1;Hl. m. Praha;2;Pilnı Ivan;65;Obèané;Obèané;100;8,02;1
1;Hl. m. Praha;3;Bílek Petr;63;Obèané;Obèané;77;6,17;1
1;Hl. m. Praha;4;Havlena Petr;59;Obèané;Obèané;43;3,45;1
1;Hl. m. Praha;5;Holba Pavel;69;Obèané;KAN;43;3,45;1
1;Hl. m. Praha;6;Utìšilová Ivana;44;Obèané;Obèané;71;5,69;1
1;Hl. m. Praha;7;Hazmuková Jana;50;Obèané;Obèané;28;2,24;1
1;Hl. m. Praha;8;Machaè Jiøí;61;Obèané;KAN;23;1,84;1
1;Hl. m. Praha;9;Matzner Jiøí;35;Obèané;BEZPP;44;3,53;1
1;Hl. m. Praha;10;Herold Martin;49;Obèané;Obèané;37;2,96;1
1;Hl. m. Praha;11;Domlátil Jiøí;64;Obèané;KAN;17;1,36;1
1;Hl. m. Praha;12;Valigurskı Leoš;39;Obèané;Obèané;22;1,76;1
1;Hl. m. Praha;13;Mandysová Eva;59;Obèané;BEZPP;50;4,01;1
1;Hl. m. Praha;14;Øíha Petr;57;Obèané;BEZPP;14;1,12;1
1;Hl. m. Praha;15;Halmanová Mariana;26;Obèané;BEZPP;29;2,32;1
1;Hl. m. Praha;16;Chalupská Svatava;78;Obèané;BEZPP;6;0,48;1
1;Hl. m. Praha;17;Zemek Josef;36;Obèané;BEZPP;18;1,44;1
1;Hl. m. Praha;18;Balík Michael;67;Obèané;BEZPP;28;2,24;1
1;Hl. m. Praha;19;Vaòásek František;57;Obèané;BEZPP;11;0,88;1
1;Hl. m. Praha;20;Paleèková Jana;50;Obèané;BEZPP;28;2,24;1
1;Hl. m. Praha;21;Vycpálková Blanka;39;Obèané;BEZPP;42;3,37;1
1;Hl. m. Praha;22;Pacholík Rudolf;64;Obèané;BEZPP;4;0,32;1
1;Hl. m. Praha;23;Høeben Josef;45;Obèané;Obèané;9;0,72;1
1;Hl. m. Praha;24;Hons Robert;42;Obèané;BEZPP;14;1,12;1
1;Hl. m. Praha;25;Hálová Kamila;42;Obèané;BEZPP;7;0,56;1
1;Hl. m. Praha;26;Prùšová Marta;40;Obèané;BEZPP;30;2,4;1
1;Hl. m. Praha;27;Karlík Vladimír;65;Obèané;BEZPP;4;0,32;1
