districtNumber;districtName;orderList;name;age;votes;nomParty;;
36;Vıchodoèeskı;1;Rath David;30;1 476;SD-LSNS;;
36;Vıchodoèeskı;2;Humpál Václav;55;844;SD-LSNS;;
36;Vıchodoèeskı;3;Horèíková Gita;49;702;SD-LSNS;;
36;Vıchodoèeskı;4;Urban Arnošt;40;919;SD-LSNS;;
36;Vıchodoèeskı;5;Švec Václav;56;454;SD-LSNS;;
36;Vıchodoèeskı;6;Štìchovskı Jaroslav;53;238;SD-LSNS;;
36;Vıchodoèeskı;7;Øezníèek Petr;45;568;SD-LSNS;;
36;Vıchodoèeskı;8;Cejnarová Soòa;50;352;SD-LSNS;;
36;Vıchodoèeskı;9;Štìpánková Renata;56;527;SD-LSNS;;
36;Vıchodoèeskı;10;Bureš Jiøí;31;624;SD-LSNS;;
36;Vıchodoèeskı;11;Šmíd Libor;37;237;SD-LSNS;;
36;Vıchodoèeskı;12;Noièka Václav;45;345;SD-LSNS;;
36;Vıchodoèeskı;13;Málek Boøek;30;226;SD-LSNS;;
36;Vıchodoèeskı;14;Pösl Milan;34;302;SD-LSNS;;
36;Vıchodoèeskı;15;Wirth Jarmil;41;220;SD-LSNS;;
36;Vıchodoèeskı;16;Vévoda Bøetislav;40;249;SD-LSNS;;
36;Vıchodoèeskı;17;Hrnèíø Zdenìk;61;120;SD-LSNS;;
36;Vıchodoèeskı;18;Vávra Jaroslav;49;334;SD-LSNS;;
36;Vıchodoèeskı;19;Dobiáš Jaroslav;52;99;SD-LSNS;;
36;Vıchodoèeskı;20;Novák František;51;102;SD-LSNS;;
36;Vıchodoèeskı;21;Míšek Jaroslav;58;127;SD-LSNS;;
36;Vıchodoèeskı;22;Kunetka Ivan;34;170;SD-LSNS;;
36;Vıchodoèeskı;23;Ondráèek Antonín;49;87;SD-LSNS;;
36;Vıchodoèeskı;24;Sova Jiøí;35;280;SD-LSNS;;
36;Vıchodoèeskı;25;Novotnı Vojtìch;53;55;SD-LSNS;;
36;Vıchodoèeskı;26;Henzl Jaroslav;37;266;SD-LSNS;;
36;Vıchodoèeskı;27;Harapát Milan;46;37;SD-LSNS;;
36;Vıchodoèeskı;28;Wolf Vladimír;54;326;SD-LSNS;;
36;Vıchodoèeskı;29;Vejr Antonín;58;117;SD-LSNS;;
36;Vıchodoèeskı;30;Plecháè Ivo;27;279;SD-LSNS;;
36;Vıchodoèeskı;31;Štìpánová Blanka;53;128;SD-LSNS;;
36;Vıchodoèeskı;32;Kuchyòka Jiøí;51;103;SD-LSNS;;
36;Vıchodoèeskı;33;Hovorková Ludmila;48;188;SD-LSNS;;
36;Vıchodoèeskı;34;Stuchlík Mojmír;65;189;SD-LSNS;;
36;Vıchodoèeskı;35;Rak Václav;53;104;SD-LSNS;;
36;Vıchodoèeskı;36;Halberštát Miroslav;57;70;SD-LSNS;;
37;Jihomoravskı;1;Mikyska Vladimír;39;879;SD-LSNS;;
37;Jihomoravskı;2;Zlatuška Jiøí;38;1 199;SD-LSNS;;
37;Jihomoravskı;3;Fránek Vilém;29;460;SD-LSNS;;
37;Jihomoravskı;4;Holomek Karel;59;468;SD-LSNS;;
37;Jihomoravskı;5;Baránek Rudolf;45;2 219;SD-LSNS;;
37;Jihomoravskı;6;Holcnerová Hana;35;727;SD-LSNS;;
37;Jihomoravskı;7;Kunc Lubor;43;353;SD-LSNS;;
37;Jihomoravskı;8;Koreš Ivan;43;118;SD-LSNS;;
37;Jihomoravskı;9;Vlašín Mojmír;41;1 004;SD-LSNS;;
37;Jihomoravskı;10;Štìrba Miloslav;49;390;SD-LSNS;;
37;Jihomoravskı;11;Trefulka Jan;67;966;SD-LSNS;;
37;Jihomoravskı;12;Maca Erik;33;152;SD-LSNS;;
37;Jihomoravskı;13;Kašparovskı Petr;39;119;SD-LSNS;;
37;Jihomoravskı;14;Kremla Jiøí;50;149;SD-LSNS;;
37;Jihomoravskı;15;Svobodová Eva;45;168;SD-LSNS;;
37;Jihomoravskı;16;Pøikryl Ivan;60;479;SD-LSNS;;
37;Jihomoravskı;17;Burda Josef;47;323;SD-LSNS;;
37;Jihomoravskı;18;Radil Václav;62;248;SD-LSNS;;
37;Jihomoravskı;19;Merlíèek Libor;34;416;SD-LSNS;;
37;Jihomoravskı;20;Klimovièová Eva;36;540;SD-LSNS;;
37;Jihomoravskı;21;Cabejšek Vlastimil;58;115;SD-LSNS;;
37;Jihomoravskı;22;Krejèíø Tomáš;53;49;SD-LSNS;;
37;Jihomoravskı;23;Hübek Pavel;43;32;SD-LSNS;;
37;Jihomoravskı;24;Kubíèek Jiøí;60;103;SD-LSNS;;
37;Jihomoravskı;25;Košaø Svatopluk;45;287;SD-LSNS;;
37;Jihomoravskı;26;Veèerková Helena;60;114;SD-LSNS;;
37;Jihomoravskı;27;Heinisch Jaroslav;61;207;SD-LSNS;;
37;Jihomoravskı;28;Lukáè Jiøí;29;78;SD-LSNS;;
37;Jihomoravskı;29;Neèas Josef;43;57;SD-LSNS;;
37;Jihomoravskı;30;Bialas Milan;60;87;SD-LSNS;;
37;Jihomoravskı;31;Bílek František;55;30;SD-LSNS;;
37;Jihomoravskı;32;Konšel Vlastimil;40;64;SD-LSNS;;
37;Jihomoravskı;33;Kubálek Jiøí;29;48;SD-LSNS;;
37;Jihomoravskı;34;Obr Tomáš;42;74;SD-LSNS;;
37;Jihomoravskı;35;Matoušek Jaroslav;51;76;SD-LSNS;;
37;Jihomoravskı;36;Pokornı Ivan;53;75;SD-LSNS;;
37;Jihomoravskı;37;Skála Petr;50;44;SD-LSNS;;
37;Jihomoravskı;38;Svìtlíková Alenka;58;46;SD-LSNS;;
37;Jihomoravskı;39;Navrátilová Jana;34;31;SD-LSNS;;
37;Jihomoravskı;40;Dufka František;37;79;SD-LSNS;;
37;Jihomoravskı;41;Mazùrek Rudolf;49;87;SD-LSNS;;
37;Jihomoravskı;42;Boèek Roman;26;71;SD-LSNS;;
37;Jihomoravskı;43;Chaloupek Jan;52;44;SD-LSNS;;
37;Jihomoravskı;44;Sedláøová Jitka;54;87;SD-LSNS;;
37;Jihomoravskı;45;Nìmec Jaroslav;30;34;SD-LSNS;;
37;Jihomoravskı;46;Bøezina Vojtìch;66;34;SD-LSNS;;
37;Jihomoravskı;47;Trnka František;62;47;SD-LSNS;;
37;Jihomoravskı;48;Gruna Jiøí;50;43;SD-LSNS;;
37;Jihomoravskı;49;Koláø Jiøí;55;92;SD-LSNS;;
37;Jihomoravskı;50;Brabec Petr;39;82;SD-LSNS;;
37;Jihomoravskı;51;Goldová Blanka;56;47;SD-LSNS;;
37;Jihomoravskı;52;Kolínská Hana;31;101;SD-LSNS;;
37;Jihomoravskı;53;Neubauerová Albìta;51;65;SD-LSNS;;
37;Jihomoravskı;54;Doubek Josef;47;13;SD-LSNS;;
37;Jihomoravskı;55;Koutnı Martin;30;47;SD-LSNS;;
37;Jihomoravskı;56;Zeman Jaroslav;59;65;SD-LSNS;;
37;Jihomoravskı;57;Sušil Horymír;67;69;SD-LSNS;;
37;Jihomoravskı;58;Melichar Vladimír;51;32;SD-LSNS;;
37;Jihomoravskı;59;Kremláèek Josef;59;70;SD-LSNS;;
37;Jihomoravskı;60;Kozánek Petr;47;41;SD-LSNS;;
38;Severomoravskı;1;Nováèek Pavel;35;869;SD-LSNS;;
38;Severomoravskı;2;Fronèek Dalibor;41;495;SD-LSNS;;
38;Severomoravskı;3;Vacek Miroslav;40;385;SD-LSNS;;
38;Severomoravskı;4;Boèková Marta;48;285;SD-LSNS;;
38;Severomoravskı;5;Pilaøová Ludmila;56;265;SD-LSNS;;
38;Severomoravskı;6;Kloc Dalibor;41;173;SD-LSNS;;
38;Severomoravskı;7;Pohl Karel;35;475;SD-LSNS;;
38;Severomoravskı;8;Fojtù Samuel;31;179;SD-LSNS;;
38;Severomoravskı;9;Ètvrtníèek Alois;50;85;SD-LSNS;;
38;Severomoravskı;10;Skopal Jaroslav;59;163;SD-LSNS;;
38;Severomoravskı;11;Èulíková Vìra;45;212;SD-LSNS;;
38;Severomoravskı;12;Dovala Marian;40;139;SD-LSNS;;
38;Severomoravskı;13;Rutová Jana;42;220;SD-LSNS;;
38;Severomoravskı;14;Pluháèek Marek;27;388;SD-LSNS;;
38;Severomoravskı;15;Hoøínek Milan;58;291;SD-LSNS;;
38;Severomoravskı;16;Kalousek Jaroslav;42;96;SD-LSNS;;
38;Severomoravskı;17;Hornišer Ivan;57;82;SD-LSNS;;
38;Severomoravskı;18;Matyášová Kristına;49;123;SD-LSNS;;
38;Severomoravskı;19;Šplháèek Jaroslav;60;106;SD-LSNS;;
38;Severomoravskı;20;Matìjovskı Miroslav;58;41;SD-LSNS;;
38;Severomoravskı;21;Koøínková Anna;55;166;SD-LSNS;;
38;Severomoravskı;22;Eichenbaum Pavel;45;68;SD-LSNS;;
38;Severomoravskı;23;Piòos Pavel;31;94;SD-LSNS;;
38;Severomoravskı;24;Sıkora Milan;62;154;SD-LSNS;;
38;Severomoravskı;25;Riedlová Zdeòka;34;107;SD-LSNS;;
38;Severomoravskı;26;Keøková Edita;68;164;SD-LSNS;;
38;Severomoravskı;27;Grygar Pavel;34;64;SD-LSNS;;
38;Severomoravskı;28;Dutko Petr;36;137;SD-LSNS;;
38;Severomoravskı;29;Pospíšil Jan;68;88;SD-LSNS;;
38;Severomoravskı;30;Šmejkal Zdenìk;47;62;SD-LSNS;;
38;Severomoravskı;31;Macháèek Pavel;49;47;SD-LSNS;;
38;Severomoravskı;32;Bereza Rudolf;54;59;SD-LSNS;;
38;Severomoravskı;33;Poruba Bohumír;52;34;SD-LSNS;;
38;Severomoravskı;34;Tomášek Martin;27;56;SD-LSNS;;
38;Severomoravskı;35;Zubek Vladislav;50;47;SD-LSNS;;
38;Severomoravskı;36;Ohaòka Václav;55;35;SD-LSNS;;
38;Severomoravskı;37;Ruschka Even;64;18;SD-LSNS;;
38;Severomoravskı;38;Moravová Jitka;42;133;SD-LSNS;;
38;Severomoravskı;39;Pavlík Jan;48;41;SD-LSNS;;
38;Severomoravskı;40;Bøezina Milan;60;38;SD-LSNS;;
38;Severomoravskı;41;Schad Ivo;33;34;SD-LSNS;;
38;Severomoravskı;42;Koukal Vladimír;75;15;SD-LSNS;;
38;Severomoravskı;43;Rotrekl Jaroslav;37;62;SD-LSNS;;
38;Severomoravskı;44;Veselı Vítìzslav;42;44;SD-LSNS;;
38;Severomoravskı;45;Hansman František;60;18;SD-LSNS;;
38;Severomoravskı;46;Jakubèík Radovan;32;29;SD-LSNS;;
38;Severomoravskı;47;Laník Aleš;45;26;SD-LSNS;;
38;Severomoravskı;48;Bøeèková Jarmila;44;31;SD-LSNS;;
38;Severomoravskı;49;Krba Jan;50;32;SD-LSNS;;
38;Severomoravskı;50;Šráèková Jena;66;55;SD-LSNS;;
38;Severomoravskı;51;Øeháèek Boøivoj;62;22;SD-LSNS;;
38;Severomoravskı;52;Kadìrka Oldøich;53;30;SD-LSNS;;
38;Severomoravskı;53;Smìšnı Zdenìk;56;31;SD-LSNS;;
38;Severomoravskı;54;Janoušková Nadìda;49;36;SD-LSNS;;
38;Severomoravskı;55;Domácí Petr;53;35;SD-LSNS;;
31;Praha;1;Buzková Petra;30;19 081;ÈSSD;;
31;Praha;2;Èech František;52;7 783;ÈSSD;;
31;Praha;3;Hulinskı Petr;28;2 075;ÈSSD;;
31;Praha;4;Bašta Jaroslav;48;3 131;ÈSSD;;
31;Praha;5;Koøínková Kvìtoslava;55;11 283;ÈSSD;;
31;Praha;6;Kavan Jan;49;4 908;ÈSSD;;
31;Praha;7;Køeèek Stanislav;58;10 125;ÈSSD;;
31;Praha;8;Trojan Zdenìk;60;2 354;ÈSSD;;
31;Praha;9;Kantùrek Jiøí;64;5 181;ÈSSD;;
31;Praha;10;Kalivoda Jan;43;1 703;ÈSSD;;
31;Praha;11;David Ivan;43;2 528;ÈSSD;;
31;Praha;12;Šilhán Vìnìk;69;6 222;ÈSSD;;
31;Praha;13;Vırut Karel;55;547;ÈSSD;;
31;Praha;14;Tomèík Jan;48;341;ÈSSD;;
31;Praha;15;Navarová Svìtlana;39;1 249;ÈSSD;;
31;Praha;16;Petrílek Petr;25;995;ÈSSD;;
31;Praha;17;Lánská Zuzana;44;2 515;ÈSSD;;
31;Praha;18;Koskuba Jiøí;40;1 507;ÈSSD;;
31;Praha;19;Kuvart Miloš;35;930;ÈSSD;;
31;Praha;20;Frkal Jiøí;46;244;ÈSSD;;
31;Praha;21;Kechner Otto;39;110;ÈSSD;;
31;Praha;22;Juhász Štìpán;62;510;ÈSSD;;
31;Praha;23;Peltrám Antonín;65;399;ÈSSD;;
31;Praha;24;Chodìra Jan;48;1 618;ÈSSD;;
31;Praha;25;Metelec Jiøí;45;88;ÈSSD;;
31;Praha;26;Šafr Jan;53;126;ÈSSD;;
31;Praha;27;Zemek Karel;50;271;ÈSSD;;
31;Praha;28;Gubín Oleg;60;232;ÈSSD;;
31;Praha;29;Ludvík Miloslav;32;172;ÈSSD;;
31;Praha;30;Miler Jiøí;53;360;ÈSSD;;
31;Praha;31;Tax Petr;51;96;ÈSSD;;
31;Praha;32;Soukup Miloš;53;92;ÈSSD;;
31;Praha;33;Plíva Jan;50;74;ÈSSD;;
31;Praha;34;Durchánková Jana;36;617;ÈSSD;;
31;Praha;35;Teplík Tomáš;48;295;ÈSSD;;
31;Praha;36;Matouš Karel;57;163;ÈSSD;;
32;Støedoèeskı;1;Gross Stanislav;26;14 520;ÈSSD;;
32;Støedoèeskı;2;Bláha Jan;41;4 067;ÈSSD;;
32;Støedoèeskı;3;Machovec Karel;36;4 754;ÈSSD;;
32;Støedoèeskı;4;ika Jan;51;3 575;ÈSSD;;
32;Støedoèeskı;5;Teplík Tomáš;22;1 845;ÈSSD;;
32;Støedoèeskı;6;Maòásek Jaroslav;53;2 717;ÈSSD;;
32;Støedoèeskı;7;Havlíèek Ivan;51;1 479;ÈSSD;;
32;Støedoèeskı;8;Èurdová Anna;34;2 687;ÈSSD;;
32;Støedoèeskı;9;Boháèková Jarmila;48;2 116;ÈSSD;;
32;Støedoèeskı;10;Urban Milan;37;1 463;ÈSSD;;
32;Støedoèeskı;11;Pácha Oldøich;57;1 060;ÈSSD;;
32;Støedoèeskı;12;Vnouèek František;50;567;ÈSSD;;
32;Støedoèeskı;13;Patøiènı Pavel;40;2 368;ÈSSD;;
32;Støedoèeskı;14;Vondráèek Aleš;59;1 289;ÈSSD;;
32;Støedoèeskı;15;Rod Jiøí;57;404;ÈSSD;;
32;Støedoèeskı;16;Èíek Aleš;43;622;ÈSSD;;
32;Støedoèeskı;17;Stehlík Vladimír;44;1 130;ÈSSD;;
32;Støedoèeskı;18;Karmazín Jaroslav;56;675;ÈSSD;;
32;Støedoèeskı;19;Beneš Václav;51;1 692;ÈSSD;;
32;Støedoèeskı;20;Semrád Milan;42;372;ÈSSD;;
32;Støedoèeskı;21;Vydra Josef;45;1 049;ÈSSD;;
32;Støedoèeskı;22;Kondelík František;45;367;ÈSSD;;
32;Støedoèeskı;23;Šnajdr Josef;52;228;ÈSSD;;
32;Støedoèeskı;24;Netušil Pavel;51;617;ÈSSD;;
32;Støedoèeskı;25;Toulová Blanka;45;648;ÈSSD;;
32;Støedoèeskı;26;Našinec Jiøí;47;281;ÈSSD;;
32;Støedoèeskı;27;Novák Jaromír;45;662;ÈSSD;;
32;Støedoèeskı;28;Uher Václav;58;254;ÈSSD;;
32;Støedoèeskı;29;Valeckı Miroslav;47;695;ÈSSD;;
32;Støedoèeskı;30;Lhoták František;56;696;ÈSSD;;
32;Støedoèeskı;31;Vrchlavská Lenka;43;1 702;ÈSSD;;
33;Jihoèeskı;1;Zeman Eduard;48;5 550;ÈSSD;;
33;Jihoèeskı;2;Špidla Vladimír;45;2 574;ÈSSD;;
33;Jihoèeskı;3;Kupèová Jitka;43;3 227;ÈSSD;;
33;Jihoèeskı;4;Jièínskı Zdenìk;67;4 237;ÈSSD;;
33;Jihoèeskı;5;Svoboda Václav;47;2 668;ÈSSD;;
33;Jihoèeskı;6;Máèe Miroslav;39;1 904;ÈSSD;;
33;Jihoèeskı;7;Voborskı Ivan;44;642;ÈSSD;;
33;Jihoèeskı;8;Prùša Jiøí;52;2 634;ÈSSD;;
33;Jihoèeskı;9;Jelínek Vnislav;45;1 099;ÈSSD;;
33;Jihoèeskı;10;Novák Václav;40;878;ÈSSD;;
33;Jihoèeskı;11;AI Malikiová Vladimíra;33;1 141;ÈSSD;;
33;Jihoèeskı;12;Vlèková Jaroslava;47;1 455;ÈSSD;;
33;Jihoèeskı;13;Kastner Miroslav;60;1 110;ÈSSD;;
33;Jihoèeskı;14;Prùša František;50;1 697;ÈSSD;;
33;Jihoèeskı;15;Vrátnı Ladislav;60;638;ÈSSD;;
33;Jihoèeskı;16;Hájková Marie;50;1 338;ÈSSD;;
33;Jihoèeskı;17;Špirhanzl Petr;34;1 202;ÈSSD;;
33;Jihoèeskı;18;Janèúch Marian;44;512;ÈSSD;;
33;Jihoèeskı;19;Novák Václav;52;845;ÈSSD;;
33;Jihoèeskı;20;Dvoøák Antonín;40;286;ÈSSD;;
34;Západoèeskı;1;Broík František;41;3 830;ÈSSD;;
34;Západoèeskı;2;Kuneš Michael;40;3 258;ÈSSD;;
34;Západoèeskı;3;Ekert Milan;31;2 486;ÈSSD;;
34;Západoèeskı;4;Emmerová Milada;51;6 454;ÈSSD;;
34;Západoèeskı;5;Tomíèek Rudolf;48;1 424;ÈSSD;;
34;Západoèeskı;6;Prùša Josef;57;3 592;ÈSSD;;
