districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
2;Støedoèeskı;6;Mrázková Vlasta;61;SZR;BEZPP;21;0,7;1
2;Støedoèeskı;7;Pospíšil Jan;39;SZR;BEZPP;17;0,56;1
2;Støedoèeskı;8;Chvojka Tomáš;61;SZR;BEZPP;19;0,63;1
2;Støedoèeskı;9;Hlaváèek Jan;33;SZR;BEZPP;23;0,76;1
2;Støedoèeskı;10;Sajfrtová Eva;42;SZR;SZR;26;0,86;1
2;Støedoèeskı;11;Králová Jana;45;SZR;BEZPP;43;1,43;1
2;Støedoèeskı;12;Matysková Jana;26;SZR;BEZPP;70;2,33;1
2;Støedoèeskı;13;Vyskoèil Petr;30;SZR;BEZPP;31;1,03;1
2;Støedoèeskı;14;Trojáková Hana;48;SZR;BEZPP;26;0,86;1
2;Støedoèeskı;15;Hillebrand Max;51;SZR;BEZPP;13;0,43;1
2;Støedoèeskı;16;Hekš Pavel;49;SZR;BEZPP;12;0,4;1
2;Støedoèeskı;17;Frank Martin;59;SZR;BEZPP;8;0,26;1
2;Støedoèeskı;18;Jandová Lenka;41;SZR;BEZPP;46;1,53;1
2;Støedoèeskı;19;Müller Miroslav;28;SZR;BEZPP;37;1,23;1
2;Støedoèeskı;20;Cimerman Pavel;41;SZR;BEZPP;25;0,83;1
2;Støedoèeskı;21;Øíha František;57;SZR;BEZPP;32;1,06;1
2;Støedoèeskı;22;Vorlová Alena;48;SZR;BEZPP;25;0,83;1
2;Støedoèeskı;23;Koubek Oldøich;59;SZR;BEZPP;6;0,2;1
2;Støedoèeskı;24;Pospíšilová Milena;32;SZR;BEZPP;41;1,36;1
2;Støedoèeskı;25;Rubešová Vladimíra;64;SZR;BEZPP;14;0,46;1
2;Støedoèeskı;26;Habrychová Wanda Halina;53;SZR;BEZPP;8;0,26;1
2;Støedoèeskı;27;Skalová Vìra;50;SZR;BEZPP;3;0,1;1
2;Støedoèeskı;28;Brejcha Jiøí;40;SZR;BEZPP;3;0,1;1
3;Jihoèeskı;1;Nìmeèek David;37;SZR;BEZPP;46;3,18;1
3;Jihoèeskı;2;Chromèák Petr;48;SZR;BEZPP;35;2,42;1
3;Jihoèeskı;3;Merklová Hana;29;SZR;BEZPP;54;3,73;1
3;Jihoèeskı;4;Kremsa Vladimír;49;SZR;BEZPP;31;2,14;1
3;Jihoèeskı;5;Køíová Hana;48;SZR;BEZPP;54;3,73;1
3;Jihoèeskı;6;Germin Miroslav;38;SZR;BEZPP;14;0,96;1
3;Jihoèeskı;7;Churáèek Jiøí;45;SZR;BEZPP;30;2,07;1
3;Jihoèeskı;8;Hùrská Marie;52;SZR;BEZPP;34;2,35;1
3;Jihoèeskı;9;Reiter Boris;43;SZR;BEZPP;15;1,03;1
3;Jihoèeskı;10;Hesounová Jana;53;SZR;BEZPP;24;1,66;1
3;Jihoèeskı;11;Pouzarová Jana;23;SZR;BEZPP;32;2,21;1
4;Plzeòskı;1;Teplík Jan;54;SZR;BEZPP;42;2,35;1
4;Plzeòskı;2;Pillmann František;49;SZR;AZSD;83;4,65;1
4;Plzeòskı;3;Dolívka Ladislav;53;SZR;BEZPP;32;1,79;1
4;Plzeòskı;4;Mezerová Dagmar;39;SZR;BEZPP;35;1,96;1
4;Plzeòskı;5;Fiala Václav;52;SZR;BEZPP;28;1,57;1
4;Plzeòskı;6;Hranièka Roman;38;SZR;BEZPP;64;3,58;1
4;Plzeòskı;7;Škala Richard;33;SZR;BEZPP;27;1,51;1
4;Plzeòskı;8;Kleèková Libuše;52;SZR;BEZPP;14;0,78;1
4;Plzeòskı;9;Kozák Marcel;40;SZR;BEZPP;17;0,95;1
4;Plzeòskı;10;Valdman Kryštof;35;SZR;BEZPP;12;0,67;1
4;Plzeòskı;11;Svoboda Jan;55;SZR;BEZPP;19;1,06;1
4;Plzeòskı;12;Bitara Josef;58;SZR;BEZPP;22;1,23;1
4;Plzeòskı;13;Böttcher Peter;24;SZR;BEZPP;14;0,78;1
4;Plzeòskı;14;Hrabìta Radek;27;SZR;BEZPP;19;1,06;1
4;Plzeòskı;15;Dolívková Jitka;42;SZR;BEZPP;24;1,34;1
4;Plzeòskı;16;Manová Ilona;42;SZR;BEZPP;8;0,44;1
4;Plzeòskı;17;Bidlasová Hana;25;SZR;BEZPP;10;0,56;1
4;Plzeòskı;18;Šmídtová Hana;45;SZR;BEZPP;19;1,06;1
4;Plzeòskı;19;Duchoòová Boena;62;SZR;BEZPP;8;0,44;1
4;Plzeòskı;20;Veverka Stanislav;61;SZR;BEZPP;6;0,33;1
5;Karlovarskı;1;Hartl Josef;44;SZR;BEZPP;41;4,23;1
5;Karlovarskı;2;Vikor Zdenìk;42;SZR;BEZPP;40;4,13;1
5;Karlovarskı;3;Lubasová Kateøina;23;SZR;BEZPP;50;5,17;1
5;Karlovarskı;4;Hradecká Ilona;48;SZR;BEZPP;22;2,27;1
5;Karlovarskı;5;Sklenáøová Jana;43;SZR;BEZPP;13;1,34;1
5;Karlovarskı;6;Staòko Václav;29;SZR;BEZPP;23;2,37;1
5;Karlovarskı;7;Poláèková Iveta;42;SZR;BEZPP;33;3,41;1
5;Karlovarskı;8;Švamberk Jiøí;61;SZR;BEZPP;17;1,75;1
5;Karlovarskı;9;Potùèková Zdeòka;49;SZR;BEZPP;15;1,55;1
5;Karlovarskı;10;Køimská Miloslava;42;SZR;BEZPP;13;1,34;1
5;Karlovarskı;11;Nováková Alena;45;SZR;BEZPP;11;1,13;1
5;Karlovarskı;12;Kapplerová Ivana;31;SZR;BEZPP;13;1,34;1
5;Karlovarskı;13;Sklenáø Jan;63;SZR;BEZPP;12;1,24;1
5;Karlovarskı;14;Šuminec Milan;55;SZR;BEZPP;18;1,86;1
6;Ústeckı;3;Fišer Petr;46;SZR;SZR;41;2,31;1
6;Ústeckı;4;Jelínek Petr;33;SZR;BEZPP;10;0,56;1
6;Ústeckı;5;Roudenskı Josef;50;SZR;BEZPP;39;2,2;1
6;Ústeckı;6;Hradilíková Martina;32;SZR;BEZPP;22;1,24;1
6;Ústeckı;7;Folget Pavel;63;SZR;BEZPP;14;0,79;1
6;Ústeckı;8;Hofmanová Zdeòka;54;SZR;BEZPP;28;1,58;1
6;Ústeckı;9;Vrtalová Lenka;43;SZR;BEZPP;15;0,84;1
6;Ústeckı;10;Bartoò Jiøí;52;SZR;BEZPP;19;1,07;1
6;Ústeckı;11;Vokáè Zdenìk;36;SZR;BEZPP;28;1,58;1
6;Ústeckı;12;Kliková Ludmila;60;SZR;BEZPP;1;0,05;1
6;Ústeckı;13;Böcklová Martina;37;SZR;SZR;30;1,69;1
6;Ústeckı;14;Gieszmann Josef;61;SZR;SZR;17;0,95;1
6;Ústeckı;15;Svobodová Lucie;24;SZR;BEZPP;24;1,35;1
6;Ústeckı;16;Procházková Olga;52;SZR;BEZPP;12;0,67;1
6;Ústeckı;17;Novotná Kateøina;35;SZR;BEZPP;26;1,46;1
6;Ústeckı;18;Novotnı Daniel;37;SZR;BEZPP;21;1,18;1
6;Ústeckı;19;Èernı Josef;60;SZR;BEZPP;8;0,45;1
6;Ústeckı;20;Šumichrast Jakub;23;SZR;BEZPP;22;1,24;1
6;Ústeckı;21;Fogašová Marcela;41;SZR;BEZPP;9;0,5;1
6;Ústeckı;22;Chlapcová Hana;55;SZR;BEZPP;15;0,84;1
6;Ústeckı;23;Procházka Karel;62;SZR;BEZPP;6;0,33;1
6;Ústeckı;24;Cihelka Rudolf;62;SZR;BEZPP;5;0,28;1
6;Ústeckı;25;Šmídová Šárka;36;SZR;BEZPP;11;0,62;1
