nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
1,EDS,1,Antonio,Parziale,,57,podnikateľ,Bratislava,1
1,EDS,2,Vlasta,Kunová,doc. JUDr. CSc.,59,vysokoškolská učiteľka,Bernolákovo,1
1,EDS,3,Peter,Agner,Ing.,31,podnikateľ,Bratislava,2
1,EDS,4,Róbert,Matejovič,Mgr.,42,novinár,Košice,1
1,EDS,5,Slavomír,Rudenko,JUDr.,30,vedúci kancelárie rektora,Bratislava,1
1,EDS,6,Soňa,Zábojová,,34,podnikateľka,Košice,1
1,EDS,7,Pavol,Mrva,,46,manažér,Trnava,1
1,EDS,8,Jozef,Lang,Ing.,59,manažér,Poprad,1
1,EDS,9,Vanesa,Vančová-Šteinerová,PhDr.,37,riaditeľka,Trnava,1
1,EDS,10,Roland,Bánhegyi,Mgr.,31,manažér,Kráľovský Chlmec,1
1,EDS,11,Mária,Tomanová,doc. ArtD.,50,vysokoškolská pedagogička,Banská Bystrica,1
1,EDS,12,Miroslav,Jurko,Ing.,47,podnikateľ,Bardejov,1
1,EDS,13,Alexander,Pilhovič,Mgr. JUDr.,44,právnik,Rajecké Teplice,1
1,EDS,14,Róbert,Filka,,36,podnikateľ,Rimavská Sobota,1
1,EDS,15,Peter,Toma,,24,študent,Prievidza,1
1,EDS,16,Dana,Arpášová,PaedDr.,49,podnikateľka,Levice,1
1,EDS,17,Marián,Melichárek,JUDr.,51,manažér,Košice,1
1,EDS,18,Jaroslav,Bednárik,Ing. PhD.,49,odborný asistent,Trnava,1
1,EDS,19,Lucia,Chovanová,,23,administratívna pracovníčka,Lipany,1
1,EDS,20,Jozef,Belička,,56,podnikateľ,Zvolen,1
1,EDS,21,Jozef,Liška,,44,projektový manažér,Žilina,1
1,EDS,22,Vladimír,Vajgel,Ing.,41,riaditeľ,Veľké Leváre,1
1,EDS,23,Ľubomír,Grosman,,47,podnikateľ,Bratislava,1
1,EDS,24,František,Polák,JUDr.,45,advokát,Topoľčianky,1
1,EDS,25,Nadežda,Jurková,Ing.,35,projektová manažérka,Pozdišovce,1
1,EDS,26,Martina,Hambálková,Bc.,25,študentka,Galanta,1
1,EDS,27,František,Grežo,Ing.,42,živnostník,Nitra,1
1,EDS,28,Ivan,Hujbert,,40,vedúci logistiky,Tisovec,1
1,EDS,29,Georg,Kuna,Ing.,51,podnikateľ,Žilina,1
1,EDS,30,Ján Francesco,Porada,Bc.,25,manažér,Lučenec,1
1,EDS,31,Tibor,Bruckmayer,Ing.,56,ekonóm,Ivanka pri Dunaji,1
1,EDS,32,Róbert,Dobi,Ing.,45,IT manažér,Komárno,1
1,EDS,33,Rudolf,Lengeň,Ing.,50,vojak vo výslužbe,Košice,1
1,EDS,34,Alena,Roglová,Ing.,48,ekonómka,Suchá nad Parnou,1
1,EDS,35,Maroš,Bielik,,41,počítačový administrátor,Bratislava,1
1,EDS,36,Emília,Stolcová,Mgr.,29,manažérka,Vidiná,1
1,EDS,37,Ladislav,Hricik,Mgr.,53,stredoškolský učiteľ,Námestovo,1
1,EDS,38,Ladislav,Bacigál,,47,manažér,Bratislava,1
1,EDS,39,Štefan,Vrábel,,44,podnikateľ,Senec,1
1,EDS,40,Andrea,Bušinská,,27,odborná asistentka,Šaľa,1
1,EDS,41,Ján,Janejka,Ing.,32,stavebný inžinier,Vinné,1
1,EDS,42,Roman,Lenorák,JUDr.,27,právnik,Boleráz,1
1,EDS,43,Jozef,Bilas,Ing.,28,procesný inžinier,Svidník,1
1,EDS,44,Lukáš,Kiš,,25,podnikateľ,Drienčany,1
1,EDS,45,Radoslav,Zamborský,MUDr.,31,lekár,Bratislava,1
1,EDS,46,Rastislav,Kopecký,,39,podnikateľ,Bratislava,1
1,EDS,47,Ján,Podolinský,Ing.,58,manažér,Bernolákovo,1
1,EDS,48,Judita,Štefanková,MUDr.,40,lekárka,Levice,1
1,EDS,49,Ján,Demko,JUDr. Ing. CSc.,63,dôchodca,Veľaty,1
1,EDS,50,Mária,Pallyaová,Mgr.,45,riaditeľka,Galanta,1
1,EDS,51,Hana,Pavlovská,,49,vychovávateľka,Prešov,1
1,EDS,52,Katarína,Vonkomerová,,35,inštruktorka soc. rehabilitácie,Zvolen,1
1,EDS,53,Petra,Melišíková,Bc.,24,študentka,Lietava,1
1,EDS,54,Bohumil,Hrubý,Ing.,53,manažér,Trenčín,1
1,EDS,55,Katarína,Čentéšová,Ing.,30,správkyňa konkurz. podstaty,Bratislava,1
1,EDS,56,Ingrid,Kloknerová,Mgr.,43,učiteľka,Komárno,1
1,EDS,57,Drahoslava,Juhaščíková,,36,živnostníčka,Sobrance,1
1,EDS,58,Radoslava,Kubalová,,23,študentka,Bratislava,1
1,EDS,59,Daniel,Sekerec,,42,technik,Snina,1
1,EDS,60,Anna,Volfová,,43,sociálna pracovníčka,Zvolen,1
1,EDS,61,Nadežda,Jancová,Bc.,24,študentka,Žilina,1
1,EDS,62,Július,Gajdoš,,55,manažér,Trenčín,1
1,EDS,63,Anton,Prokopius,,47,podnikateľ,Bratislava,1
1,EDS,64,Marcela,Bocsgaiová,,33,aranžérka,Levice,1
1,EDS,65,Diana,Čereiová,Ing.,37,personalistka,Košice,1
1,EDS,66,Milan,Kamendy,Ing.,34,živnostník,Trnava,1
1,EDS,67,Viera,Zemanová,Mgr.,59,špeciálna pedagogička,Poprad,1
1,EDS,68,František,Holub,,28,podnikateľ,Lučenec,1
1,EDS,69,Mária,Berová,RNDr.,59,stredoškolská profesorka,Bratislava,1
