;again;party1;party2;mp;loyal
1;Øíha Martin;SD-LSNS;NEZ;0;0
2;Trkal Viktor;SD-LSNS;ÈSNS;0;0
3;Pauer Jaroslav;SD-LSNS;NEZ;0;0
4;Dousek Josef;SD-LSNS;ÈSNS;0;0
5;Pondìlíèek Jiøí;SD-LSNS;ÈSNS;0;0
6;Dvoøák Ivan;SD-LSNS;ÈSNS;0;0
7;Tosek Lubomír;SD-LSNS;ODA;0;0
8;Svoboda František;SD-LSNS;ÈSNS;0;0
9;Klézl Zdenìk;SD-LSNS;ÈSNS;0;0
10;Babáèek Jan;SD-LSNS;ÈSNS;0;0
11;Svìtlík Marek;SD-LSNS;ÈSNS;0;0
12;Lhotskı Jiøí;SD-LSNS;ÈSNS;0;0
13;Marek Pavel;SD-LSNS;KDU-ÈSL;0;0
14;Døevíkovskı Jan;SD-LSNS;ÈSNS;0;0
15;Spìváèková Anna;SD-LSNS;ÈSNS;0;0
16;Marek Jaroslav;SD-LSNS;ÈSNS;0;0
17;Novotnı Ladislav;SD-LSNS;ÈSNS;0;0
18;Lískovcová Vìra;SD-LSNS;ÈSNS;0;0
19;Pecháèek Karel;SD-LSNS;ÈSNS;0;0
20;Chlaò Miloslav;SD-LSNS;ÈSNS;0;0
21;Jiránek Miroslav;SD-LSNS;ÈSNS;0;0
22;Køivka Karel;SD-LSNS;ÈSNS;0;0
23;Martan Jan;SD-LSNS;ÈSNS;0;0
24;Vágnerová Irena;SD-LSNS;ÈSNS;0;0
25;Havlíèek Josef;SD-LSNS;ÈSNS;0;0
26;Friedrich Václav;SD-LSNS;ÈSNS;0;0
27;Zámostná Olga;SD-LSNS;ODA;0;0
28;Špaèek Karel;SD-LSNS;ÈSNS;0;0
29;Pospíšil Rudolf;SD-LSNS;ÈSNS;0;0
30;Vlk Ivan;SD-LSNS;NEZ;0;0
31;Hudec Miroslav;SD-LSNS;ÈSNS;0;0
32;Volek Jindøich;SD-LSNS;ÈSNS;0;0
33;Kratochvíl Vladimír;SD-LSNS;ÈSNS;0;0
34;Koèka Petr;SD-LSNS;ÈSNS;0;0
35;Mašek Jiøí;SD-LSNS;ÈSNS;0;0
36;Krejèí Jiøí;SD-LSNS;ÈSNS;0;0
37;Fousek Jiøí;SD-LSNS;ÈSNS;0;0
38;Krauskopf Karel;SD-LSNS;ÈSNS;0;0
39;Cejnarová Soòa;SD-LSNS;US;0;0
40;Dobiáš Jaroslav;SD-LSNS;ÈSNS;0;0
41;Ondráèek Antonín;SD-LSNS;ÈSNS;0;0
42;Rak Václav;SD-LSNS;ÈSNS;0;0
43;Vlašín Mojmír;SD-LSNS;SZ;0;0
44;Kašparovskı Petr;SD-LSNS;ÈSNS;0;0
45;Pøikryl Ivan;SD-LSNS;ÈSNS;0;0
46;Radil Václav;SD-LSNS;ÈSNS;0;0
47;Merlíèek Libor;SD-LSNS;ÈSNS;0;0
48;Cabejšek Vlastimil;SD-LSNS;ÈSNS;0;0
49;Veèerková Helena;SD-LSNS;ÈSNS;0;0
50;Konšel Vlastimil;SD-LSNS;ÈSNS;0;0
51;Matoušek Jaroslav;SD-LSNS;ÈSNS;0;0
52;Navrátilová Jana;SD-LSNS;ÈSNS;0;0
53;Mazùrek Rudolf;SD-LSNS;ÈSNS;0;0
54;Chaloupek Jan;SD-LSNS;ÈSNS;0;0
55;Gruna Jiøí;SD-LSNS;ÈSNS;0;0
56;Kolínská Hana;SD-LSNS;ÈSNS;0;0
57;Doubek Josef;SD-LSNS;ÈSNS;0;0
58;Skopal Jaroslav;SD-LSNS;ÈSNS;0;0
59;Pluháèek Marek;SD-LSNS;ÈSNS;0;0
60;Grygar Pavel;SD-LSNS;ÈSNS;0;0
61;Zubek Vladislav;SD-LSNS;ÈSNS;0;0
62;Ruschka Even;SD-LSNS;ÈSNS;0;0
63;Pavlík Jan;SD-LSNS;ÈSNS;0;0
64;Bøezina Milan;SD-LSNS;ÈSNS;0;0
65;Laník Aleš;SD-LSNS;ÈSNS;0;0
66;Bøeèková Jarmila;SD-LSNS;ÈSNS;0;0
67;Domácí Petr;SD-LSNS;ÈSNS;0;0
68;Buzková Petra;ÈSSD;ÈSSD;1;1
69;Bašta Jaroslav;ÈSSD;ÈSSD;1;1
70;Koøínková Kvìtoslava;ÈSSD;ÈSSD;1;1
71;Køeèek Stanislav;ÈSSD;ÈSSD;0;1
72;Trojan Zdenìk;ÈSSD;ÈSSD;0;1
73;Kalivoda Jan;ÈSSD;ÈSSD;0;1
74;David Ivan;ÈSSD;ÈSSD;0;1
75;Vırut Karel;ÈSSD;ÈSSD;0;1
76;Tomèík Jan;ÈSSD;ÈSSD;0;1
77;Petrílek Petr;ÈSSD;ÈSSD;0;1
78;Koskuba Jiøí;ÈSSD;ÈSSD;0;1
79;Kuvart Miloš;ÈSSD;ÈSSD;0;1
80;Kechner Otto;ÈSSD;ÈSSD;0;1
81;Peltrám Antonín;ÈSSD;ÈSSD;0;1
82;Metelec Jiøí;ÈSSD;ÈSSD;0;1
83;Šafr Jan;ÈSSD;ÈSSD;0;1
84;Gubín Oleg;ÈSSD;ÈSSD;0;1
85;Gross Stanislav;ÈSSD;ÈSSD;1;1
86;Bláha Jan;ÈSSD;ÈSSD;1;1
87;ika Jan;ÈSSD;ÈSSD;1;1
88;Teplík Tomáš;ÈSSD;ODS;1;0
89;Maòásek Jaroslav;ÈSSD;ÈSSD;1;1
90;Èurdová Anna;ÈSSD;ÈSSD;0;1
91;Boháèková Jarmila;ÈSSD;ÈSSD;0;1
92;Urban Milan;ÈSSD;ÈSSD;0;1
93;Vnouèek František;ÈSSD;ÈSSD;0;1
94;Vondráèek Aleš;ÈSSD;ÈSSD;0;1
95;Rod Jiøí;ÈSSD;ÈSSD;0;1
96;Èíek Aleš;ÈSSD;ÈSSD;0;1
97;Šnajdr Josef;ÈSSD;ÈSSD;0;1
98;Novák Jaromír;ÈSSD;ÈSSD;0;1
99;Valeckı Miroslav;ÈSSD;ÈSSD;0;1
100;Zeman Eduard;ÈSSD;ÈSSD;1;1
101;Špidla Vladimír;ÈSSD;ÈSSD;1;1
102;Kupèová Jitka;ÈSSD;ÈSSD;1;1
103;Jièínskı Zdenìk;ÈSSD;ÈSSD;1;1
104;Svoboda Václav;ÈSSD;ÈSSD;1;1
105;Máèe Miroslav;ÈSSD;ÈSSD;0;1
106;Voborskı Ivan;ÈSSD;ÈSSD;0;1
107;Jelínek Vnislav;ÈSSD;ÈSSD;0;1
108;Janèúch Marian;ÈSSD;ÈSSD;0;1
109;Novák Václav;ÈSSD;ÈSSD;0;1
110;Dvoøák Antonín;ÈSSD;ÈSSD;0;1
111;Broík František;ÈSSD;ÈSSD;1;1
112;Kuneš Michael;ÈSSD;ÈSSD;1;1
113;Ekert Milan;ÈSSD;ÈSSD;1;1
114;Emmerová Milada;ÈSSD;ÈSSD;1;1
115;Tomíèek Rudolf;ÈSSD;ÈSSD;1;1
116;Kouba Jan;ÈSSD;ÈSSD;0;1
117;Nechanickı Lubomír;ÈSSD;ÈSSD;0;1
118;Rohan Jiøí;ÈSSD;ÈSSD;0;1
119;Wagner Jozef;ÈSSD;OK-PK;1;0
120;Grégr Miroslav;ÈSSD;ÈSSD;1;1
121;Hojdar Josef;ÈSSD;ÈSSD;1;1
122;Kopeckı Robert;ÈSSD;ÈSSD;1;1
123;Volfová Jana;ÈSSD;ÈSSD;0;1
124;Vejvoda Josef;ÈSSD;ÈSSD;0;1
125;Kovaliková Naïa;ÈSSD;ÈSSD;0;1
126;Bílek Vladimír;ÈSSD;ÈSSD;0;1
127;Foldyna Jaroslav;ÈSSD;ÈSSD;0;1
128;Nìmec Oldøich;ÈSSD;ÈSSD;0;1
129;Fejfar Josef;ÈSSD;ÈSSD;0;1
130;Cipro Miroslav;ÈSSD;ÈSSD;0;1
131;Kraus Michal;ÈSSD;ÈSSD;1;1
132;Orgoníková Hana;ÈSSD;ÈSSD;1;1
133;Snítilı Even;ÈSSD;ÈSSD;1;1
134;Titz Miloš;ÈSSD;ÈSSD;1;1
135;Èevela Rostislav;ÈSSD;ÈSSD;1;1
136;Tejkl Miroslav;ÈSSD;ÈSSD;0;1
137;Staòková Sylva;ÈSSD;ÈSSD;0;1
138;Fialová Marie;ÈSSD;ÈSSD;0;1
