;again;party1;party2;mp;loyal
96;Bednáø Josef;KDU-ÈSL;KDU-ÈSL;0;1
97;Filip Zdenìk;KDU-ÈSL;KDU-ÈSL;0;1
98;Kasal Jan;KDU-ÈSL;KDU-ÈSL;1;1
99;Karas Jiøí;KDU-ÈSL;KDU-ÈSL;1;1
100;Bìlehrádek Stanislav;KDU-ÈSL;KDU-ÈSL;1;1
101;Uøièáø Jiøí;KDU-ÈSL;KDU-ÈSL;1;1
102;Havíø František;KDU-ÈSL;KDU-ÈSL;0;1
103;Kubát Miloslav;KDU-ÈSL;KDU-ÈSL;0;1
104;Nedomanský Leopold;KDU-ÈSL;KDU-ÈSL;0;1
105;Ambrozek Libor;KDU-ÈSL;KDU-ÈSL;0;1
106;Krákora Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
107;Mach Bedøich;KDU-ÈSL;KDU-ÈSL;0;1
108;Kubiš Josef;KDU-ÈSL;KDU-ÈSL;1;1
109;Breník Jan;KDU-ÈSL;KDU-ÈSL;0;1
110;Procházka Vladimír;KDU-ÈSL;KDU-ÈSL;1;1
111;Mádr Rostislav;KDU-ÈSL;KDU-ÈSL;0;1
112;Janèar Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
113;Vysloužil Karel;KDU-ÈSL;ODA;0;0
114;Hanzlík Tomáš;KDU-ÈSL;KDU-ÈSL;0;1
115;Hutaø Jan;HSS;ÈMUS;0;0
116;Kadlec Zdenìk;HSS;LB;0;0
117;Kozmon Aladár;HSS;CAO;0;0
118;Skøebský Miloslav;HSS;MNS-HSS;0;0
119;Válek Karel;HSS;ÈMUS;0;0
120;Spáèil Jaroslav;HSS;MNS-HSS;0;0
121;Hirš Pavel;LSU;ODS;1;0
122;Bodenlos Vavøinec;LSU;SD-LSNS;0;0
123;Maøík Miroslav;LSU;SZ;0;0
124;Vyvadil Jiøí;LSU;ÈSSD;1;0
125;Sýkora Jaroslav;LSU;ÈMUS;1;0
126;Dvoøák Miroslav;LSU;ÈMUS;0;0
127;Vydra Josef;LSU;ÈSSD;0;0
128;Holubièka Jaroslav;LSU;ÈMUS;0;0
129;Vaèkáø Jiøí;LSU;KDU-ÈSL;1;0
130;Tichava Vlastimil;LSU;SD-LSNS;0;0
131;Kadlec Milan;LSU;SZ;0;0
132;Bezdìkovský Vladimír;LSU;ÈMUS;0;0
133;Langová Milena;LSU;ÈMUS;0;0
134;Kadubec Jiøí;LSU;SZ;0;0
135;Rùžièka Jiøí;LSU;SZ;0;0
136;Pospíšil Rudolf;LSU;SD-LSNS;0;0
137;Tomášek Jan;LSU;ÈMUS;0;0
138;Pohlová Marta;LSU;SZ;0;0
139;Víšek Josef;LSU;ÈMUS;0;0
140;Sommer Jaroslav;LSU;ÈMUS;0;0
141;Bachr Jiøí;LSU;SZ;0;0
142;Hejátko Jaroslav;LSU;ÈMUS;0;0
143;Nekvapil Josef;LSU;SZ;0;0
144;Havelka František;LSU;ÈMUS;0;0
145;Radil Václav;LSU;SD-LSNS;0;0
146;Hronová Marie;LSU;SZ;0;0
147;Melichar Vladimír;LSU;SD-LSNS;0;0
148;Kalík Jindøich;LSU;ODA;0;0
149;Vainar Rostislav;LSU;ÈMUS;0;0
150;Dienstbier Ondøej;OH;SD-LSNS;0;0
151;Hanuš Miloslav;OH;SD-LSNS;0;0
152;Forman Petr;OH;ODA;0;0
153;Kasalický Ivan;OH;SD-LSNS;0;0
154;Schovánek Pavel;OH;SD-LSNS;0;0
155;Bubák Jiøí;OH;SD-LSNS;0;0
156;Lasovský Petr;OH;SD-LSNS;0;0
157;Hudeèek Karel;OH;SD-LSNS;0;0
158;Líbal Vladimír;OH;SD-LSNS;0;0
159;Lerch Jan;OH;SD-LSNS;0;0
160;Hájek Josef;OH;SD-LSNS;0;0
161;Ulahel František;OH;SD-LSNS;0;0
162;Nožièka Václav;OH;SD-LSNS;0;0
163;Kozánek Petr;OH;SD-LSNS;0;0
164;Holomek Karel;OH;SD-LSNS;0;0
165;Štìrba Miloslav;OH;SD-LSNS;0;0
166;Svobodová Eva;OH;SD-LSNS;0;0
167;Neèas Josef;OH;SD-LSNS;0;0
168;Straka Miloslav;OH;ODA;0;0
169;Bílek František;OH;SD-LSNS;0;0
