;again;party1;party2;mp;loyal
1;Svoboda Cyril;KDU-ÈSL;Koalice;1;0
2;Orel Jaroslav;KDU-ÈSL;Koalice;0;0
3;Chodìra Oldøich;KDU-ÈSL;Koalice;0;0
4;Kloud Karel;KDU-ÈSL;Koalice;0;0
5;Slavíèek Václav;KDU-ÈSL;Koalice;0;0
6;Parkanová Vlasta;KDU-ÈSL;Koalice;1;0
7;Vondrášková Marie;KDU-ÈSL;Koalice;0;0
8;Vácha František;KDU-ÈSL;Koalice;0;0
9;Králík Jiøí;KDU-ÈSL;Koalice;0;0
10;Talíø Jaromír;KDU-ÈSL;Koalice;1;0
11;Kalousek Miroslav;KDU-ÈSL;Koalice;1;0
12;Vlasák Miroslav;KDU-ÈSL;Koalice;0;0
13;Malík Stanislav;KDU-ÈSL;Koalice;0;0
14;Talíøová Štìpánka;KDU-ÈSL;Koalice;0;0
15;Lobkowicz Jaroslav;KDU-ÈSL;Koalice;1;0
16;Bílek Miloš;KDU-ÈSL;Koalice;0;0
17;Volf Miroslav;KDU-ÈSL;Koalice;0;0
18;Boèek Pavel;KDU-ÈSL;Koalice;0;0
19;Pištìková Dagmar;KDU-ÈSL;Koalice;0;0
20;Veselka Jiøí;KDU-ÈSL;Koalice;0;0
21;Chaloupek Tomáš;KDU-ÈSL;Koalice;0;0
22;Henke Bøenìk;KDU-ÈSL;Koalice;0;0
23;Vıbornı Miloslav;KDU-ÈSL;Koalice;1;0
24;Severa Pavel;KDU-ÈSL;Koalice;1;0
25;Málek Jan;KDU-ÈSL;Koalice;0;0
26;Nosek Václav;KDU-ÈSL;Koalice;0;0
27;Semerák Jan;KDU-ÈSL;Koalice;0;0
28;Kasal Jan;KDU-ÈSL;Koalice;1;0
29;Karas Jiøí;KDU-ÈSL;Koalice;1;0
30;Šustr Ladislav;KDU-ÈSL;Koalice;1;0
31;Šojdrová Michaela;KDU-ÈSL;Koalice;1;0
32;Ambrozek Libor;KDU-ÈSL;Koalice;1;0
33;Grùza Jan;KDU-ÈSL;Koalice;1;0
34;Škopík Jan;KDU-ÈSL;Koalice;0;0
35;Navrátil Augustin;KDU-ÈSL;PB;0;0
36;Gabriel Petr;KDU-ÈSL;Koalice;0;0
37;Plíšek Martin;KDU-ÈSL;Koalice;0;0
38;Hovorka Ludvík;KDU-ÈSL;Koalice;0;0
39;Adamec František;KDU-ÈSL;Koalice;0;0
40;Studeník Pavel;KDU-ÈSL;Koalice;0;0
41;Koráb Jan;KDU-ÈSL;Koalice;0;0
42;Chalánek Tomáš;KDU-ÈSL;Koalice;0;0
43;Gui Zdenìk;KDU-ÈSL;SJ;0;0
44;Zouhar Ladislav;KDU-ÈSL;Koalice;0;0
45;Holáò Vilém;KDU-ÈSL;Koalice;1;0
46;Kvapil Tomáš;KDU-ÈSL;Koalice;1;0
47;Kopøiva Jaroslav;KDU-ÈSL;Koalice;0;0
48;Foltın Ivan;KDU-ÈSL;Koalice;0;0
49;Carbol Jiøí;KDU-ÈSL;Koalice;0;0
50;Vícha Josef;KDU-ÈSL;Koalice;0;0
51;Prusek Josef;KDU-ÈSL;Koalice;0;0
52;Novotná Milena;KDU-ÈSL;Koalice;0;0
53;Lukša Pavol;KDU-ÈSL;Koalice;0;0
54;Janek Alois;KDU-ÈSL;Koalice;0;0
55;Kudìlka Josef;KDU-ÈSL;Koalice;0;0
56;Stavinoha Karel;KDU-ÈSL;Koalice;0;0
57;Vondráèek Petr;KDU-ÈSL;Koalice;0;0
58;Hluchník Vilém;KDU-ÈSL;Koalice;0;0
59;Šorejs Miloslav;NEZ;ÈSNS;0;0
60;Lukáè Jiøí;NEZ;SNK;0;0
61;Dütsch Petr;NEZ;ÈSSD;0;0
62;Sobota Jan;NEZ;ÈSNS;0;0
63;Skála Jiøí;NEZ;ÈSNS;0;0
64;Pajtl Ivan;NEZ;ÈSNS;0;0
65;Štechr Vladimír;NEZ;ÈSNS;0;0
66;Prùcha Miloslav;NEZ;CZ;0;0
67;Fuka Jan;NEZ;CZ;0;0
68;Nedìlka Miroslav;NEZ;CZ;0;0
69;Pùlpánová Libuše;NEZ;CZ;0;0
70;Hubáèková Nadìda;NEZ;CZ;0;0
71;Doleal Oldøich;NEZ;CZ;0;0
72;Langr Milan;NEZ;CZ;0;0
73;Horák Jiøí;NEZ;CZ;0;0
74;Vavrouchová Irena;NEZ;CZ;0;0
75;Kafka Václav;NEZ;CZ;0;0
76;Vaculík Miroslav;NEZ;SJ;0;0
77;Klesnil František;NEZ;CZ;0;0
78;Szyroká Kvìtuše;NEZ;SNK;0;0
79;Malèík Jan;NEZ;SNK;0;0
80;Tománek Jiøí;DEU;CZ;0;0
81;Kudláèková Eva;DEU;Koalice;0;0
82;Vyskoèil Ivan;DEU;Koalice;0;0
83;Hrabì Václav;DEU;Koalice;0;0
84;Mydlarèík Svatomír;DEU;Koalice;0;0
85;Skotnica Vladimír;DEU;Koalice;0;0
86;Škapík Pavel;DEU;Koalice;0;0
87;Lukáš Oldøich;DEU;SZ;0;0
88;Jäger Josef;DEU;Koalice;0;0
89;Šamánek Radko;DEU;Koalice;0;0
90;Sedlák Jaroslav;DEU;Koalice;0;0
91;Kopeckı Miloš;DEU;Koalice;0;0
92;Janèálek Petr;DEU;Koalice;0;0
93;Heglas Jan;DEU;Koalice;0;0
94;Orság František;DEU;Koalice;0;0
95;Pulchart Miroslav;DEU;Koalice;0;0
96;Kladívko Tomáš;ODS;ODS;1;1
97;Payne Jiøí;ODS;ODS;1;1
98;Rozehnal Aleš;ODS;ODS;1;1
99;Kocourek Martin;ODS;ODS;1;1
100;Krátkı Libor;ODS;ODS;1;1
101;Talmanová Lucie;ODS;ODS;1;1
102;Doleal Vladimír;ODS;ODS;1;1
103;Koháèek Petr;ODS;ODS;1;1
104;Zahradil Jan;ODS;ODS;1;1
105;Krejèí Petr;ODS;ODS;0;1
106;Laudát František;ODS;ODS;0;1
107;Šorfová Marta;ODS;ODS;0;1
108;Kádner Tomáš;ODS;ODS;0;1
109;Tlustı Vlastimil;ODS;ODS;1;1
110;Klas Jan;ODS;ODS;1;1
111;Vidím Jan;ODS;ODS;1;1
112;Cabrnoch Milan;ODS;ODS;1;1
113;Teplík Tomáš;ODS;ODS;1;1
114;Dundáèková Eva;ODS;ODS;1;1
115;Fajmon Hynek;ODS;ODS;1;1
116;Kolskı Jaroslav;ODS;ODS;0;1
117;Rohel Miroslav;ODS;ODS;0;1
118;Janeba Jiøí;ODS;ODS;0;1
119;Beneš Miroslav;ODS;ODS;1;1
120;Zajíèek Tom;ODS;ODS;1;1
121;Zvìøina Jaroslav;ODS;ODS;1;1
122;Doktor Michal;ODS;ODS;1;1
123;Vystrèilová Zuzana;ODS;ODS;0;1
124;Karlovská Dáša;ODS;ODS;0;1
125;Bouška Ladislav;ODS;ODS;0;1
126;Pape Jiøí;ODS;ODS;1;1
127;Lang Pavel;ODS;ODS;1;1
128;Brousek Václav;ODS;ODS;1;1
129;Bílı Jiøí;ODS;ODS;1;1
130;Vilímec Vladislav;ODS;ODS;0;1
131;Wollerová Jaroslava;ODS;ODS;0;1
132;Alexyová Jana;ODS;ODS;0;1
133;Kalèíková Olga;ODS;ODS;0;1
134;Zach Lubomír;ODS;ODS;0;1
135;Toman Jan;ODS;ODS;0;1
136;Vrzal Ivan;ODS;ODS;0;1
137;Zuna Milan;ODS;ODS;1;1
138;Vojíø Oldøich;ODS;ODS;1;1
139;Jeek Libor;ODS;ODS;1;1
140;Ouzkı Miroslav;ODS;ODS;1;1
141;Kott Petr;ODS;ODS;0;1
142;Pátek Miroslav;ODS;ODS;0;1
143;Záhorskı Vladimír;ODS;ODS;0;1
144;Horníková Zdeòka;ODS;ODS;1;1
145;Nájemník Václav;ODS;ODS;1;1
146;Nedvìdová Veronika;ODS;ODS;1;1
147;Hanuš Václav;ODS;ODS;1;1
148;Páralová Alena;ODS;ODS;1;1
149;Kuèera Miloslav;ODS;ODS;1;1
150;Jeek Josef;ODS;ODS;1;1
151;Patoèka Jiøí;ODS;ODS;1;1
152;Tymel Jiøí;ODS;ODS;0;1
153;Karmášková Lidmila;ODS;ODS;0;1
154;Kochan Jozef;ODS;ODS;0;1
155;Plachı Jaroslav;ODS;ODS;1;1
156;Pešán Jaroslav;ODS;ODS;1;1
157;Pleva Petr;ODS;ODS;1;1
158;Bartoš Walter;ODS;ODS;1;1
159;Suchánek Pavel;ODS;ODS;1;1
160;Vávra Eduard;ODS;ODS;1;1
161;Hort Petr;ODS;ODS;1;1
162;Záruba Bohuslav;ODS;ODS;1;1
163;Škottová Nina;ODS;ODS;0;1
164;Molín Josef;ODS;SNK;0;0
165;Nepeøená Dagmar;ODS;ODS;0;1
166;Šeich David;ODS;ODS;0;1
167;Rohovskı Ivo;ODS;ODS;0;1
168;Šimèík Jan;ODS;ODS;0;1
169;Uchytil Vlastimil;ODS;ODS;0;1
170;Zvoníèková Vìra;ODS;ODS;0;1
171;Nìmec Jiøí;ODS;ODS;0;1
172;Veselı Vladislav;ODS;ODS;0;1
173;Šimùnek Lubomír;ODS;ODS;0;1
174;Poledòák Igor;ODS;ODS;0;1
175;Langer Ivan;ODS;ODS;1;1
176;Neèas Petr;ODS;ODS;1;1
177;Sehoø Karel;ODS;ODS;1;1
178;Chytka Radim;ODS;ODS;1;1
179;Dostálová Kateøina;ODS;ODS;1;1
180;Benda Marek;ODS;ODS;1;1
181;Hrnèíø Pavel;ODS;ODS;1;1
182;Švrèek Zdenìk;ODS;ODS;1;1
183;Brabec Michal;ODS;ODS;0;1
184;Procházka Bohumil;ODS;ODS;0;1
185;Vaníèková Jana;ODS;ODS;0;1
186;Hrdlièková Michaela;ODS;ODS;0;1
187;Krill Petr;ODS;ODS;0;1
188;Sobotík Petr;ODS;ODS;0;1
189;Vanura Jiøí;ODS;ODS;0;1
190;Starı Jan;ODS;ODS;0;1
191;Vanìk Jaroslav;ODS;ODS;0;1
192;Holba Pavel;OK-PK;ODA;0;0
193;Wagner Jozef;OK-PK;SJ;0;0
194;Vápenka Miroslav;OK-PK;H.A.;0;0
195;Kvasnı Jiøí;OK-PK;PB;0;0
196;Kuchler Kamil;OK-PK;SJ;0;0
197;Matulay Jozef;OK-PK;PB;0;0
198;Roubínek Miroslav;OK-PK;PB;0;0
199;Venzhöfer Otomar;OK-PK;SJ;0;0
200;Sekyra Jiøí;OK-PK;SJ;0;0
201;Šimek Antonín;OK-PK;PB;0;0
202;Hák Richard;OK-PK;PB;0;0
203;Pultar Jiøí;OK-PK;PB;0;0
204;Buzková Petra;ÈSSD;ÈSSD;1;1
205;Šplíchal Karel;ÈSSD;ÈSSD;1;1
206;Køeèek Stanislav;ÈSSD;ÈSSD;1;1
207;Volfová Jana;ÈSSD;ÈSSD;1;1
208;Svoboda Miroslav;ÈSSD;ÈSSD;0;1
209;Koøínková Kvìtoslava;ÈSSD;ÈSSD;0;1
210;Kuvart Miloš;ÈSSD;ÈSSD;0;1
211;Máša Miloš;ÈSSD;ÈSSD;0;1
212;Koskuba Jiøí;ÈSSD;ÈSSD;0;1
213;Metelec Jiøí;ÈSSD;ÈSSD;0;1
214;Ibl Petr;ÈSSD;ÈSSD;0;1
215;Ptáèek Jiøí;ÈSSD;ÈSSD;0;1
216;Nováková Eva;ÈSSD;ÈSSD;0;1
217;Gross Stanislav;ÈSSD;ÈSSD;1;1
218;Bláha Jan;ÈSSD;ÈSSD;1;1
219;Urban Milan;ÈSSD;ÈSSD;1;1
220;Pícl Václav;ÈSSD;ÈSSD;1;1
221;Boháèková Jarmila;ÈSSD;ÈSSD;1;1
222;Vnouèek František;ÈSSD;ÈSSD;1;1
223;Tøešòák Jiøí;ÈSSD;ÈSSD;0;1
224;Èurdová Anna;ÈSSD;ÈSSD;0;1
