;again;party1;party2;mp;loyal
1;Hannig Petr;SZR;Suveren.;0;0
2;Nìmec Vladimír;SZR;Suveren.;0;0
3;Èíla Ivan;SZR;Suveren.;0;0
4;Blaško Marek;SZR;Suveren.;0;0
5;Franke Tomáš;SZR;Obèané;0;0
6;Vávra Vítìzslav;SZR;Suveren.;0;0
7;Kašpar Tomáš;SZR;Suveren.;0;0
8;Rejha Pavel;SZR;Suveren.;0;0
9;Jandová Lenka;SZR;Suveren.;0;0
10;Vorlová Alena;SZR;Suveren.;0;0
11;Churáèek Jiøí;SZR;TOP 09;0;0
12;Pillmann František;SZR;Suveren.;0;0
13;Kleèková Libuše;SZR;Suveren.;0;0
14;Dolívková Jitka;SZR;Suveren.;0;0
15;Hradecká Ilona;SZR;Suveren.;0;0
16;Fišer Petr;SZR;Suveren.;0;0
17;Grund Otakar;SZR;VV;0;0
18;Moèubová Simona;SZR;Suveren.;0;0
19;Pajkrt Stanislav;SZR;Suveren.;0;0
20;Neveèeøalová Vìra;SZR;Suveren.;0;0
21;Obhlídal Zdenìk;SZR;Suveren.;0;0
22;Kruík Vladimír;SZR;Suveren.;0;0
23;Kotouèková Jana;SZR;SZ;0;0
24;Pırek Hubert;SZR;Suveren.;0;0
25;Orel Ladislav;SZR;Suveren.;0;0
26;Hatlapatková Vladimíra;SZR;Suveren.;0;0
27;Stejskal Vladimír;SZR;Suveren.;0;0
28;Kunetek Miloslav;SZR;Suveren.;0;0
29;Bílská Jitka;SZR;Suveren.;0;0
30;Šimèík Pavel;SZR;Suveren.;0;0
31;Horniaková Alena;SZR;Suveren.;0;0
32;Hájek Václav;SZR;Suveren.;0;0
33;Vavrincová Mária;SZR;Suveren.;0;0
34;Hamerskı Milan;LiRA;LIB;0;0
35;Kalenskı Lukáš;LiRA;LIB;0;0
36;Pilous Derek;LiRA;LIB;0;0
37;Sedláèek Marek;LiRA;Svobodní;0;0
38;Bahník Petr;PaS;Svobodní;0;0
39;Petøivalskı Jiøí;PaS;DSSS;0;0
40;Kindler Kryštof;PaS;Svobodní;0;0
41;Hanzlíèková Jana;PaS;KONS;0;0
42;Valeš Petr;PaS;Svobodní;0;0
43;Hoøejš Luboš;PaS;DSSS;0;0
44;Vrtík Jan;PaS;Svobodní;0;0
45;Kohlík František;PaS;Svobodní;0;0
