;again;party1;party2;mp;loyal
1;Šoler Jiøí;NDS;NS;0;0
2;Kukelková Alena;NDS;NS;0;0
3;Jachan Karel;NDS;NS;0;0
4;Pátek Kvìtoslav;NDS;NS;0;0
5;Kopal Jan;NDS;NS;0;0
6;Holeèek Ludìk;NDS;NS;0;0
7;Pour Bohumil;NDS;NS;0;0
8;Øimnáè František;NDS;NS;0;0
9;Rùièka Miroslav;NDS;NS;0;0
10;Kaše Karel;NDS;NS;0;0
11;Tvrdík František;NDS;NS;0;0
12;ampach Jan;NDS;NS;0;0
13;Dub Blaej;NDS;NS;0;0
14;Schroll Tomáš;NDS;NS;0;0
15;Dáòa Petr;NDS;NS;0;0
16;Schmidtová Hana;NDS;NS;0;0
17;Šafránek Radek;NDS;NS;0;0
18;Kopalová Maruša;NDS;NS;0;0
19;Kafka Milan;NDS;NS;0;0
20;Dobrovolnı Milan;NDS;NS;0;0
21;Bartoò Stanislav;NDS;SZR;0;0
22;Vápeník Václav;DL;SNK ED;0;0
23;Votrubová Dagmar;DL;NEZ/DEM;0;0
24;Koštejn Dušan;DL;SNK ED;0;0
25;Tobiasz David;DL;HOB;0;0
26;Køeèek Stanislav;ÈSSD;ÈSSD;1;1
27;Svoboda Miroslav;ÈSSD;ÈSSD;1;1
28;Šplíchal Karel;ÈSSD;ÈSSD;1;1
29;Ibl Petr;ÈSSD;ÈSSD;1;1
30;Nováková Eva;ÈSSD;ÈSSD;1;1
31;Máša Miloš;ÈSSD;ÈSSD;1;1
32;Koskuba Jiøí;ÈSSD;ÈSSD;0;1
33;Metelec Jiøí;ÈSSD;ÈSSD;0;1
34;Halová Hana;ÈSSD;ÈSSD;0;1
35;Novotnı Tomáš;ÈSSD;ÈSSD;0;1
36;Urban Milan;ÈSSD;ÈSSD;1;1
37;Øihák Josef;ÈSSD;ÈSSD;1;1
38;Tøešòák Jiøí;ÈSSD;ÈSSD;1;1
39;Èurdová Anna;ÈSSD;ÈSSD;1;1
40;Vnouèek František;ÈSSD;ÈSSD;1;1
41;Mocová Dagmar;ÈSSD;ÈSSD;1;1
42;Vomáèko Ladislav;ÈSSD;ÈSSD;1;1
43;Koníèek František;ÈSSD;ÈSSD;1;1
44;Mazuchová Lenka;ÈSSD;ÈSSD;1;1
45;Hamáèek Jan;ÈSSD;ÈSSD;0;1
46;Zeman Eduard;ÈSSD;ÈSSD;1;1
47;Kratochvíle Karel;ÈSSD;ÈSSD;1;1
48;Novotná Vlasta;ÈSSD;ÈSSD;0;1
49;Proisl Milan;ÈSSD;ÈSSD;0;1
50;Loskotová Marie;ÈSSD;ÈSSD;0;1
51;Boška Radek;ÈSSD;ÈSSD;0;1
52;Emmerová Milada;ÈSSD;ÈSSD;1;1
53;Votava Václav;ÈSSD;ÈSSD;1;1
54;Grüner Václav;ÈSSD;ÈSSD;1;1
55;Látka Jan;ÈSSD;ÈSSD;0;1
56;Novotnı Stanislav;ÈSSD;ÈSSD;0;1
57;Bauer Jaroslav;ÈSSD;ÈSSD;0;1
58;Poc Pavel;ÈSSD;ÈSSD;0;1
59;Vanoušek Pavel;ÈSSD;ÈSSD;0;1
60;Lebeda Antonín;ÈSSD;ÈSSD;0;1
61;Bradáè Jaroslav;ÈSSD;ÈSSD;0;1
62;Kopeckı Robert;ÈSSD;ÈSSD;1;1
63;Krákora Jaroslav;ÈSSD;ÈSSD;1;1
64;Aubrecht Vlastimil;ÈSSD;ÈSSD;1;1
65;Zapletal Cyril;ÈSSD;ÈSSD;1;1
66;Španbauer František;ÈSSD;ÈSSD;0;1
67;Foldyna Jaroslav;ÈSSD;ÈSSD;0;1
68;Hingarová Eva;ÈSSD;ÈSSD;0;1
69;Zvìøinová Svìtlana;ÈSSD;ÈSSD;0;1
70;Novák Ladislav;ÈSSD;ÈSSD;0;1
71;Vojtilová Jitka;ÈSSD;ÈSSD;1;1
72;Ráèek Pavel;ÈSSD;ÈSSD;0;1
73;Snítilı Even;ÈSSD;ÈSSD;1;1
74;Orgoníková Hana;ÈSSD;ÈSSD;1;1
75;Šedivá Iva;ÈSSD;ÈSSD;1;1
76;Böhnisch Robin;ÈSSD;ÈSSD;1;1
77;Lesák Vladimír;ÈSSD;ÈSSD;0;1
78;Lesenská Vladimíra;ÈSSD;ÈSSD;0;1
79;Váòa Miroslav;ÈSSD;ÈSSD;1;1
80;Kubín Miloslav;ÈSSD;ÈSSD;0;1
81;Lána Radomír;ÈSSD;ÈSSD;0;1
82;Èernı Karel;ÈSSD;ÈSSD;1;1
83;Zgarba Petr;ÈSSD;ÈSSD;1;1
84;Schling Jaromír;ÈSSD;ÈSSD;1;1
85;Jièínskı Zdenìk;ÈSSD;ÈSSD;1;1
86;Volfová Jana;ÈSSD;NEZ/DEM;0;0
87;Nejedlá Dagmar;ÈSSD;ÈSSD;0;1
88;Hyskı Martin;ÈSSD;ÈSSD;0;1
89;Báòa Miroslav;ÈSSD;ÈSSD;0;1
90;Škromach Zdenìk;ÈSSD;ÈSSD;1;1
91;Sobotka Bohuslav;ÈSSD;ÈSSD;1;1
92;Skopal Ladislav;ÈSSD;ÈSSD;1;1
93;Hašek Michal;ÈSSD;ÈSSD;1;1
94;Kala Miloslav;ÈSSD;ÈSSD;1;1
95;Domesová Zuzana;ÈSSD;ÈSSD;1;1
96;Pohanka Michal;ÈSSD;ÈSSD;0;1
97;Hájek Petr;ÈSSD;ÈSSD;0;1
98;Petøík Jiøí;ÈSSD;ÈSSD;0;1
99;Vondráková Radmila;ÈSSD;ÈSSD;0;1
100;Šujan František;ÈSSD;ÈSSD;0;1
101;Vlèek Miloslav;ÈSSD;ÈSSD;1;1
102;Hamplová Jana;ÈSSD;NEZ;1;0
103;Zemánek Jiøí;ÈSSD;ÈSSD;0;1
104;Svozil Oldøich;ÈSSD;ÈSSD;0;1
105;Tesaøík Martin;ÈSSD;ÈSSD;0;1
106;Smetana Pavel;ÈSSD;ÈSSD;0;1
107;Kubjátová Yvona;ÈSSD;ÈSSD;0;1
108;Melèák Miloš;ÈSSD;ÈSSD;1;1
109;Seïa Antonín;ÈSSD;ÈSSD;1;1
110;Šulák Petr;ÈSSD;ÈSSD;1;1
111;Smıkal Josef;ÈSSD;ÈSSD;1;1
112;Lacinová Dagmar;ÈSSD;ÈSSD;0;1
113;Kryštof Ladislav;ÈSSD;ÈSSD;0;1
114;Navrátil Josef;ÈSSD;ÈSSD;0;1
115;Zaorálek Lubomír;ÈSSD;ÈSSD;1;1
116;Rafaj Petr;ÈSSD;ÈSSD;1;1
117;Šedivá Hana;ÈSSD;ÈSSD;1;1
118;Michalík Alfréd;ÈSSD;ÈSSD;1;1
119;Turek Radim;ÈSSD;ÈSSD;1;1
120;Petr Bøetislav;ÈSSD;ÈSSD;1;1
121;Kubuš Pavol;ÈSSD;ÈSSD;1;1
122;Besta Zdenìk;ÈSSD;ÈSSD;0;1
123;Velebnı Ladislav;ÈSSD;ÈSSD;0;1
124;Dobešová Radmila;ÈSSD;ÈSSD;0;1
125;Pabjan Marek;ÈSSD;ÈSSD;0;1
126;Kala Jaroslav;ÈSSD;ÈSSD;0;1
127;Jordánová Zdeòka;ÈSSD;ÈSSD;0;1
128;Hercig Josef;ÈSSD;ÈSSD;0;1
129;Hrdina Jiøí;BPS;BPS;0;1
130;Hutka Jaroslav;BPS;SZ;0;0
131;Vodièková Eva;BPS;BPS;0;1
132;Dìdeèek Jiøí;BPS;SZ;0;0
133;Holba Pavel;ODA;KAN;0;0
134;Perlín Radim;ODA;SNK ED;0;0
135;Lochmann Zdenìk;ODA;KÈ;0;0
136;Rynt Pavel;ODA;SNK ED;0;0
137;Šik Miroslav;ODA;SNK ED;0;0
138;Kotek Jiøí;ODA;SNK ED;0;0
139;Zámostná Olga;ODA;SNK ED;0;0
140;Bro Jiøí;ODA;SNK ED;0;0
141;Rùièka Jaroslav;ODA;SNK ED;0;0
142;Jandová Hana;ODA;SNK ED;0;0
143;Kohout Miroslav;ODA;DEUÈR;0;0
144;Stehnová Alena;ODA;US-DEU;0;0
145;Štork Rostislav;ODA;US-DEU;0;0
146;Hobl Petr;ODA;US-DEU;0;0
147;Kheck Michal;ODA;US-DEU;0;0
148;Jakubec Arnošt;ODA;PaS;0;0
149;Chudomelová Helena;ODA;SNK ED;0;0
150;Bezdìk Jaroslav;ODA;KAN;0;0
151;Zdráhal Robert;ODA;SZR;0;0
152;Frolec Ivo;ODA;SNK ED;0;0
153;Mojíšek Radislav;ODA;SNK ED;0;0
154;Beránek Alexej;ODA;US-DEU;0;0
155;Kyselı Josef;ODA;PaS;0;0
156;Huèková Jana;ODA;US-DEU;0;0
157;Voráè Martin;VPB;NS;0;0
158;Edelmannová Petra;VPB;NS;0;0
159;Karas Petr;VPB;4 VIZE;0;0
160;Feminová Dana;H.A.;H.S.;0;0
161;Bednáø Jan;H.A.;H.S.;0;0
162;Bednáøová Táòa;H.A.;H.S.;0;0
163;Prchal Martin;H.A.;H.S.;0;0
164;Cina Emil;H.A.;H.S.;0;0
165;Èernovskı Zdenìk;H.A.;SZ;0;0
166;Heøtusová Simona;H.A.;H.S.;0;0
167;Chocholatá Lucie;H.A.;H.S.;0;0
168;Vojtíšková Anna;H.A.;H.S.;0;0
169;Tamáš Jan;H.A.;H.S.;0;0
170;Ullrich Jiøí;H.A.;H.S.;0;0
171;Malík Jiøí;H.A.;SZ;0;0
172;Popelka Jaroslav;H.A.;PB;0;0
173;Kozák Marcel;AZSD;SZR;0;0
174;Duchoòová Boena;AZSD;SZR;0;0
175;Svoboda Jan;AZSD;SZR;0;0
176;Lukášková Jitka;N;SZ;0;0
177;Sodomková Klára;N;SNK ED;0;0
178;Jelínek Oldøich;N;SNK ED;0;0
179;Roseckı Èenìk;N;LiRA;0;0
180;Švec Petr;RMS;NS;0;0
181;Vaòata Jindøich;RMS;NS;0;0
182;Mrúz Jaroslav;RMS;PaS;0;0
183;Vaòata Vladimír;RMS;NS;0;0
184;Vandas Tomáš;RMS;PaS;0;0
185;Štìpánek Jiøí;RMS;PaS;0;0
186;Pelák Vladimír;RMS;PaS;0;0
187;Blaško Jan;RMS;PaS;0;0
188;Kotáb Petr;RMS;PaS;0;0
189;Èerník Petr;RMS;PaS;0;0
190;Kotábová Alena;RMS;PaS;0;0
191;Holeèek Vlastimil;RMS;PaS;0;0
192;Nestler Jindøich;RMS;PaS;0;0
193;Pecinová Martina;RMS;PaS;0;0
194;Èerná Helena;RMS;PaS;0;0
195;Valla Kamil;RMS;PaS;0;0
196;Procházka Pavel;RMS;PaS;0;0
197;Šimek Bohuslav;RMS;PaS;0;0
198;Dichter František;RMS;NS;0;0
199;Skoumal Tomáš;RMS;M;0;0
200;Dufek Jiøí;RMS;M;0;0
201;Šuléø Bohumil;RMS;PaS;0;0
202;Èešek Jaromír;RMS;PaS;0;0
203;Komárek Václav;RMS;NS;0;0
204;Malec Cyril;RMS;NS;0;0
205;Machová Iveta;RMS;NS;0;0
206;Schuska Jaroslav;RMS;NS;0;0
207;Fronèek Vilém;RMS;NS;0;0
208;Pilát Petr;RMS;NS;0;0
209;Mašlík Karel;RMS;NS;0;0
210;Král Hugo;RMS;NS;0;0
211;Štìpán Jaroslav;RMS;NS;0;0
212;Prokùpek Václav;CZ;PaS;0;0
213;Vlasatı Václav;CZ;NEZ/DEM;0;0
214;Farkota Jiøí;CZ;NEZ/DEM;0;0
215;John Vladimír;CZ;NEZ/DEM;0;0
216;Zettelmann Ludìk;CZ;NEZ/DEM;0;0
217;Tropková Jana;CZ;NEZ;0;0
218;Matouš Milan;CZ;NEZ/DEM;0;0
219;Valenta Miloslav;CZ;NEZ;0;0
220;Praanová Zlata;CZ;NEZ/DEM;0;0
221;Kunt Pøemysl;CZ;NEZ;0;0
222;Hudlík Petr;CZ;NEZ/DEM;0;0
223;Veselı Miloš;CZ;NEZ/DEM;0;0
224;Zwyrtek František;CZ;NEZ;0;0
225;Kafka Václav;CZ;NEZ;0;0
226;Michalek Zbigniew;CZ;NEZ;0;0
227;Fismol Jan;CZ;NEZ;0;0
228;Tvrdoò Èenìk;CZ;NEZ/DEM;0;0
229;Uzel Radim;ÈSNS;NEZ/DEM;0;0
230;Votava Pøemysl;ÈSNS;ÈSNS2005;0;0
231;Pondìlíèek Jiøí;ÈSNS;ÈSNS2005;0;0
232;Fröhlich Vladimír;ÈSNS;ÈSNS2005;0;0
233;Vazaè Jiøí;ÈSNS;ÈSNS2005;0;0
234;Babinec Bohdan;ÈSNS;ÈSNS2005;0;0
235;Dvoøák Ivan;ÈSNS;ÈSNS2005;0;0
236;Jirsáková Jarmila;ÈSNS;ÈSNS2005;0;0
237;Mašát Ivo;ÈSNS;PB;0;0
238;Fejfar Jiøí;ÈSNS;ÈSNS2005;0;0
239;Matouš Zdenìk;ÈSNS;SNK ED;0;0
240;Hudec Miroslav;ÈSNS;SZ;0;0
241;Kubát Milan;ÈSNS;SZ;0;0
242;Bezdíèek Josef;ÈSNS;SNK ED;0;0
243;Støíteskı Vojtìch;ÈSNS;SNK ED;0;0
244;Jeník Ivan;ÈSNS;SNK ED;0;0
