;again;party1;party2;mp;loyal
471;Fajnorová Ivana;SZ;SZ;0;1
472;Hollan Jan;SZ;SZ;0;1
473;Spurná Pavla;SZ;SZ;0;1
474;Hradil Tomáš;SZ;SZ;0;1
475;Kolaøík Martin;SZ;SZ;0;1
476;Mátl Milan;SZ;SZ;0;1
477;Jurek Vilém;SZ;SZ;0;1
478;Pajurková Bohuslava;SZ;SZ;0;1
479;Jelínek Petr;SZ;SZ;0;1
480;Talafant Jan;SZ;SZ;0;1
481;Brady Pavla;SZ;SZ;0;1
482;Novotnı Jiøí;SZ;KDU-ÈSL;0;0
483;Vernerová Kateøina;SZ;SZ;0;1
484;Klega Jiøí;SZ;SZ;0;1
485;Pavel Libor;SZ;Úsvit;0;0
486;Krist Jiøí;SZ;SZ;0;1
487;Mitura Pavel;SZ;SZ;0;1
488;Šmotek René;SZ;SZ;0;1
489;Morávková Eva;Suveren.;HLVZHÙRU;0;0
490;Babinec Bohdan;Suveren.;LEV 21;0;0
