again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Magdaléna Zsiga,SMK-MKP,MOST-HÍD,97,39,0,0,0,1,1,0,2006
Ladislav Kottlík,SMK-MKP,SMK-MKP,101,140,0,1,0,0,0,0,2006
Endre Mészáros,SMK-MKP,SMK-MKP,108,113,0,1,0,0,0,0,2006
Jozef Hunyák,SMK-MKP,MOST-HÍD,109,15,0,0,0,1,1,0,2006
Ladislav Mészáros,SMK-MKP,SMK-MKP,110,122,0,1,0,0,0,0,2006
Béla Szabó,SMK-MKP,SMK-MKP,116,16,0,1,0,0,1,0,2006
Klára Dohányová,SMK-MKP,SMK-MKP,118,101,0,1,0,0,1,0,2006
Péter Őry,SMK-MKP,SMK-MKP,124,96,0,1,0,0,1,0,2006
Tibor Dolník,SMK-MKP,SMK-MKP,127,120,0,1,0,0,1,0,2006
Tünde Neszméri,SMK-MKP,SMK-MKP,135,59,0,1,0,0,1,0,2006
Tibor Both,SMK-MKP,SMK-MKP,136,117,0,1,0,0,1,0,2006
Ladislav Bartók,SMK-MKP,SMK-MKP,138,119,0,1,0,0,1,0,2006
Attila Petheő,SMK-MKP,SMK-MKP,139,54,0,1,0,0,1,0,2006
Csaba Fehér,SMK-MKP,SMK-MKP,143,36,0,1,0,0,1,0,2006
Ladislav Bartoš,SMK-MKP,SMK-MKP,145,111,0,1,0,0,1,0,2006
František Auxt,SMK-MKP,SMK-MKP,150,14,0,1,0,0,1,0,2006
Zuzana Martináková,SF,Únia,1,3,1,0,0,1,0,1,2006
Jozef Miloslav Hurban,SF,SDĽ,4,15,1,0,0,1,0,1,2006
Peter Bódy,SF,SaS,6,37,1,0,1,1,0,1,2006
František Zika,SF,Únia,12,9,1,0,0,1,1,1,2006
Anton Železník,SF,SDĽ,13,29,1,0,0,1,0,1,2006
Milan Kepeňa,SF,Únia,16,8,1,0,0,1,1,1,2006
Ľudmila Farkašovská,SF,Únia,24,12,1,0,0,1,1,1,2006
Dušan Chleban,SF,Únia,28,78,1,0,0,1,0,1,2006
Ladislav Zausin,SF,Únia,32,87,1,0,0,1,0,1,2006
Ján Harňák,SF,Únia,35,35,1,0,0,1,1,1,2006
Róbert Filka,SF,EDS,50,14,1,0,0,1,1,1,2006
Kamil Münnich,SF,Únia,64,15,1,0,0,1,1,1,2006
Irena Gulišová,SF,Únia,73,124,1,0,0,1,0,1,2006
Alena Černíková,SF,SDĽ,77,80,1,0,0,1,0,1,2006
Miroslav Tomko,SF,ZRS,85,26,1,0,0,1,1,1,2006
Peter Pilinský,SF,SDĽ,98,3,1,0,0,1,1,1,2006
Dušan Duda,SF,Únia,123,95,1,0,0,1,1,1,2006
Peter Tatár,OKS,MOST-HÍD,1,60,1,0,1,1,0,1,2006
Peter Osuský,OKS,MOST-HÍD,2,43,1,0,1,1,0,1,2006
František Šebej,OKS,MOST-HÍD,3,33,1,0,1,1,0,1,2006
Peter Zajac,OKS,MOST-HÍD,4,13,1,0,1,1,0,1,2006
Ondrej Dostál,OKS,MOST-HÍD,5,23,1,0,1,1,0,1,2006
Svetozár Gavora,OKS,MOST-HÍD,14,93,1,0,1,1,0,1,2006
Zuzana Dzivjáková,OKS,MOST-HÍD,24,53,1,0,1,1,0,1,2006
Peter Buzáš,OKS,MOST-HÍD,29,123,1,0,1,1,0,1,2006
Peter Jeseňák,OKS,MOST-HÍD,32,83,1,0,1,1,0,1,2006
Marián Beták,OKS,MOST-HÍD,43,63,1,0,1,1,0,1,2006
Matúš Bischof,OKS,MOST-HÍD,139,103,1,0,1,1,1,1,2006
Marián Melichárek,PS,EDS,19,17,1,0,1,1,1,1,2006
Jaroslav Pástor,PS,MOST-HÍD,48,87,1,0,1,1,0,1,2006
Vladimír Mečiar,ĽS-HZDS,ĽS-HZDS,1,1,0,1,0,0,1,0,2006
Milan Rehák,ĽS-HZDS,ĽS-HZDS,3,3,0,1,0,0,1,0,2006
Jozef Tarčák,ĽS-HZDS,ND,5,7,0,0,0,0,0,0,2006
Jozef Halecký,ĽS-HZDS,ĽS-HZDS,6,17,0,1,0,0,0,0,2006
Ján Kovarčík,ĽS-HZDS,ĽS-HZDS,7,9,0,1,0,0,0,0,2006
Milan Urbáni,ĽS-HZDS,AZEN,8,1,0,0,0,0,1,0,2006
Pavol Džurina,ĽS-HZDS,ĽS-HZDS,9,14,0,1,0,0,0,0,2006
Tibor Mikuš,ĽS-HZDS,ND,10,1,0,0,0,0,1,0,2006
Zdenka Kramplová,ĽS-HZDS,AZEN,11,2,0,0,0,0,1,0,2006
Marián Haľko,ĽS-HZDS,ĽS-HZDS,14,22,0,1,0,0,0,0,2006
Tibor Cabaj,ĽS-HZDS,ĽS-HZDS,15,2,0,1,0,0,1,0,2006
Július Höffer,ĽS-HZDS,ĽS-HZDS,16,28,0,1,0,0,0,0,2006
Ján Bodnár,ĽS-HZDS,ĽS-HZDS,17,19,0,1,0,0,0,0,2006
Dagmar Gasperová,ĽS-HZDS,ĽS-HZDS,18,70,0,1,0,0,0,0,2006
Jaroslav Jaduš,ĽS-HZDS,ĽS-HZDS,19,5,0,1,0,0,1,0,2006
Alojz Engliš,ĽS-HZDS,ĽS-HZDS,22,21,0,1,0,0,1,0,2006
Vladimír Pavelka,ĽS-HZDS,ĽS-HZDS,26,8,0,1,0,0,1,0,2006
Jozef Božik,ĽS-HZDS,ĽS-HZDS,29,39,0,1,0,0,0,0,2006
Katarína Tóthová,ĽS-HZDS,ĽS-HZDS,30,13,0,1,0,0,1,0,2006
Pavol Kačic,ĽS-HZDS,ĽS-HZDS,31,79,0,1,0,0,0,0,2006
Ján Dlhopolček,ĽS-HZDS,ĽS-HZDS,35,20,0,1,0,0,1,0,2006
Juraj Karovič,ĽS-HZDS,ĽS-HZDS,36,65,0,1,0,0,0,0,2006
Peter Bulík,ĽS-HZDS,ĽS-HZDS,39,51,0,1,0,0,0,0,2006
Zdenko Čambal,ĽS-HZDS,ND,42,3,0,0,0,0,1,0,2006
Anna Jenčová,ĽS-HZDS,ĽS-HZDS,43,43,0,1,0,0,1,0,2006
Jozef Pavúk,ĽS-HZDS,ĽS-HZDS,44,10,0,1,0,0,1,0,2006
Jozef Kováč,ĽS-HZDS,ĽS-HZDS,45,57,0,1,0,0,0,0,2006
Alexander Koreň,ĽS-HZDS,ĽS-HZDS,50,32,0,1,0,0,1,0,2006
Štefan Ladičkovský,ĽS-HZDS,ĽS-HZDS,53,46,0,1,0,0,1,0,2006
Vojtech Čičmanec,ĽS-HZDS,ĽS-HZDS,56,59,0,1,0,0,0,0,2006
Ján Tulis,ĽS-HZDS,ĽS-HZDS,59,78,0,1,0,0,0,0,2006
Anna Hoštáková,ĽS-HZDS,ĽS-HZDS,64,47,0,1,0,0,1,0,2006
Miroslava Kokavcová,ĽS-HZDS,ĽS-HZDS,65,35,0,1,0,0,1,0,2006
Peter Pitoňák,ĽS-HZDS,ĽS-HZDS,68,133,0,1,0,0,0,0,2006
Ľubomír Sklenár,ĽS-HZDS,ĽS-HZDS,69,90,0,1,0,0,0,0,2006
Anna Ganzová,ĽS-HZDS,ĽS-HZDS,71,83,0,1,0,0,0,0,2006
Ján Čmelo,ĽS-HZDS,ĽS-HZDS,75,135,0,1,0,0,0,0,2006
Daniela Dzubajová,ĽS-HZDS,ĽS-HZDS,76,31,0,1,0,0,1,0,2006
Ján Mlynár,ĽS-HZDS,ĽS-HZDS,80,97,0,1,0,0,0,0,2006
Juraj Konevič,ĽS-HZDS,ĽS-HZDS,83,25,0,1,0,0,1,0,2006
Viera Lucáková,ĽS-HZDS,ĽS-HZDS,86,93,0,1,0,0,0,0,2006
Anna Chalupková,ĽS-HZDS,ĽS-HZDS,92,76,0,1,0,0,1,0,2006
Ivan Poláčik,ĽS-HZDS,ĽS-HZDS,93,141,0,1,0,0,0,0,2006
Dušan Ďurčenka,ĽS-HZDS,ĽS-HZDS,96,66,0,1,0,0,1,0,2006
Eva Zatková,ĽS-HZDS,ĽS-HZDS,98,29,0,1,0,0,1,0,2006
Mária Gajdošová,ĽS-HZDS,ĽS-HZDS,105,55,0,1,0,0,1,0,2006
Mária Horvátová,ĽS-HZDS,ĽS-HZDS,108,50,0,1,0,0,1,0,2006
Marián Ručkay,ĽS-HZDS,ĽS-HZDS,109,37,0,1,0,0,1,0,2006
Blanka Zaťková,ĽS-HZDS,ĽS-HZDS,125,119,0,1,0,0,1,0,2006
Mária Seková,ĽS-HZDS,ĽS-HZDS,126,18,0,1,0,0,1,0,2006
Ján Kuba,ĽS-HZDS,ĽS-HZDS,129,61,0,1,0,0,1,0,2006
Eva Kuklová,ĽS-HZDS,ĽS-HZDS,130,40,0,1,0,0,1,0,2006
Daniel Gelien,ĽS-HZDS,AZEN,138,37,0,0,0,0,1,0,2006
Augustín Bojňanský,ĽS-HZDS,ĽS-HZDS,144,87,0,1,0,0,1,0,2006
Milan Spodniak,ĽS-HZDS,ĽS-HZDS,146,121,0,1,0,0,1,0,2006
Ľuboš Stolárik,ĽS-HZDS,ĽS-HZDS,150,108,0,1,0,0,1,0,2006
Jozef Vaškeba,ASV,SDĽ,1,51,1,0,1,1,0,1,2006
František Kolesár,ASV,SDĽ,2,39,1,0,1,1,0,1,2006
Július Gašpír,ASV,SDĽ,3,49,1,0,1,1,0,1,2006
Jaroslav Dobiš,ASV,SDĽ,7,41,1,0,1,1,0,1,2006
Pavel Túroci,ASV,SDĽ,8,59,1,0,1,1,0,1,2006
Jozef Víglaský,ASV,SDĽ,10,71,1,0,1,1,0,1,2006
Miroslav Pakši,ASV,SDĽ,11,129,1,0,1,1,0,1,2006
Ladislav Plaštiak,ASV,SDĽ,12,81,1,0,1,1,0,1,2006
Milan Dunár,ASV,SDĽ,19,139,1,0,1,1,0,1,2006
Ladislav Petyi,ASV,SDĽ,22,31,1,0,1,1,0,1,2006
Jozef Golian,ASV,SDĽ,23,141,1,0,1,1,0,1,2006
Miroslav Janiga,ASV,SDĽ,52,111,1,0,1,1,0,1,2006
Jozef Hrdlička,KSS,KSS,2,1,1,1,0,0,1,0,2006
Karol Ondriaš,KSS,KSS,3,5,1,1,0,0,0,0,2006
Samuel Zubo,KSS,KSS,4,82,1,1,0,0,0,0,2006
Vladimír Ďaďo,KSS,KSS,7,27,1,1,0,0,0,0,2006
Jozef Fuček,KSS,KSS,8,18,1,1,0,0,0,0,2006
Jozef Šiška,KSS,KSS,9,108,1,1,0,0,0,0,2006
Ján Janočko,KSS,KSS,13,145,1,1,0,0,0,0,2006
Juraj Obert,KSS,KSS,17,3,1,1,0,0,1,0,2006
Ján Ševc,KSS,KSS,21,143,1,1,0,0,0,0,2006
Miroslav Samiec,KSS,KSS,25,20,1,1,0,0,1,0,2006
Jozef Bošanský,KSS,KSS,26,14,1,1,0,0,1,0,2006
Štefan Borovský,KSS,KSS,27,9,1,1,0,0,1,0,2006
Ľubica Kleniarová,KSS,KSS,35,101,1,1,0,0,0,0,2006
Ján Sporka,KSS,KSS,41,43,1,1,0,0,0,0,2006
Milan Šebeň,KSS,KSS,44,36,1,1,0,0,1,0,2006
Ján Hamar,KSS,KSS,45,86,1,1,0,0,0,0,2006
Eduard Daniš,KSS,KSS,47,63,1,1,0,0,0,0,2006
Peter Katona,KSS,KSS,48,48,1,1,0,0,1,0,2006
Anton Badač,KSS,KSS,53,56,1,1,0,0,0,0,2006
Juraj Lazarčík,KSS,KSS,54,49,1,1,0,0,1,0,2006
Dagmara Debnárová,KSS,KSS,57,28,1,1,0,0,1,0,2006
Jalal Suleiman,KSS,KSS,60,11,1,1,0,0,1,0,2006
Ján Kašiar,KSS,KSS,61,16,1,1,0,0,1,0,2006
Peter Jakubčák,KSS,KSS,62,140,1,1,0,0,0,0,2006
Pavol Suško,KSS,KSS,70,6,1,1,0,0,1,0,2006
Pavol Tausk,KSS,KSS,71,62,1,1,0,0,1,0,2006
Peter Lacko,KSS,KSS,77,75,1,1,0,0,1,0,2006
Václav Homišan,KSS,KSS,80,12,1,1,0,0,1,0,2006
Dominik Kútnik,KSS,KSS,92,146,1,1,0,0,0,0,2006
Vladimír Fedor,KSS,KSS,93,137,1,1,0,0,0,0,2006
Pavol Fatura,KSS,KSS,100,124,1,1,0,0,0,0,2006
Viera Dzúrová,KSS,KSS,104,132,1,1,0,0,0,0,2006
Terézia Dančáková,KSS,KSS,106,142,1,1,0,0,0,0,2006
Juraj Pavlovič,KSS,KSS,107,83,1,1,0,0,1,0,2006
Mária Švikruhová,KSS,Únia,112,21,1,0,0,0,1,0,2006
Mária Smutná,KSS,KSS,116,54,1,1,0,0,1,0,2006
Ján Mikloš,KSS,KSS,119,134,1,1,0,0,0,0,2006
Iveta Hribiková,KSS,KSS,129,113,1,1,0,0,1,0,2006
Emil Papáč,KSS,KSS,134,106,1,1,0,0,1,0,2006
Ján Sásik,KSS,KSS,145,88,1,1,0,0,1,0,2006
Juraj Brecko,KSS,KSS,146,15,1,1,0,0,1,0,2006
Marian Kotleba,SĽS,ĽSNS,2,1,1,0,1,1,1,1,2006
Ján Kopúnek,SĽS,ĽSNS,4,6,1,0,1,1,0,1,2006
Ivan Sýkora,SĽS,ĽSNS,6,16,1,0,1,1,0,1,2006
Michal Laššák,SĽS,ĽSNS,8,14,1,0,1,1,0,1,2006
Rastislav Schlosár,SĽS,ĽSNS,20,5,1,0,1,1,1,1,2006
Tomáš Bečky,SĽS,ĽSNS,38,23,1,0,1,1,1,1,2006
Marcel Urban,SĽS,ĽSNS,40,2,1,0,1,1,1,1,2006
Ivan Mikloš,SDKÚ-DS,SDKÚ-DS,2,2,0,1,0,0,1,0,2006
Iveta Radičová,SDKÚ-DS,SDKÚ-DS,3,1,0,1,0,0,1,0,2006
Milan Hort,SDKÚ-DS,SDKÚ-DS,5,4,0,1,0,0,1,0,2006
Pavol Kubovič,SDKÚ-DS,SDKÚ-DS,7,20,0,1,0,0,0,0,2006
Ivan Štefanec,SDKÚ-DS,SDKÚ-DS,8,12,0,1,0,0,0,0,2006
Martin Pado,SDKÚ-DS,SDKÚ-DS,9,17,0,1,0,0,0,0,2006
Lucia Žitňanská,SDKÚ-DS,SDKÚ-DS,12,3,0,1,0,0,1,0,2006
Jozef Mikuš,SDKÚ-DS,SDKÚ-DS,13,10,0,1,0,0,1,0,2006
Magdaléna Vášáryová,SDKÚ-DS,SDKÚ-DS,14,23,0,1,0,0,0,0,2006
Alexander Slafkovský,SDKÚ-DS,SDKÚ-DS,15,34,0,1,0,0,0,0,2006
Tatiana Rosová,SDKÚ-DS,SDKÚ-DS,16,26,0,1,0,0,0,0,2006
Martin Fedor,SDKÚ-DS,SDKÚ-DS,17,7,0,1,0,0,1,0,2006
Stanislav Janiš,SDKÚ-DS,SDKÚ-DS,18,8,0,1,0,0,1,0,2006
Katarína Cibulková,SDKÚ-DS,SDKÚ-DS,19,27,0,1,0,0,0,0,2006
Peter Miššík,SDKÚ-DS,SDKÚ-DS,20,41,0,1,0,0,0,0,2006
Tomáš Galbavý,SDKÚ-DS,SDKÚ-DS,21,19,0,1,0,0,1,0,2006
Štefan Kužma,SDKÚ-DS,SDKÚ-DS,22,16,0,1,0,0,1,0,2006
Jarmila Tkáčová,SDKÚ-DS,SDKÚ-DS,23,33,0,1,0,0,0,0,2006
Peter Markovič,SDKÚ-DS,SDKÚ-DS,25,21,0,1,0,0,1,0,2006
Viliam Novotný,SDKÚ-DS,SDKÚ-DS,26,6,0,1,0,0,1,0,2006
Martin Kuruc,SDKÚ-DS,Únia,29,11,0,0,0,0,1,0,2006
Zoltán Horváth,SDKÚ-DS,SDKÚ-DS,30,13,0,1,0,0,1,0,2006
Jaroslav Ivančo,SDKÚ-DS,SDKÚ-DS,31,14,0,1,0,0,1,0,2006
Ján Golian,SDKÚ-DS,SDKÚ-DS,32,15,0,1,0,0,1,0,2006
Ján Rusnák,SDKÚ-DS,SDKÚ-DS,33,59,0,1,0,0,0,0,2006
Ľubomír Karaba,SDKÚ-DS,SDKÚ-DS,37,76,0,1,0,0,0,0,2006
Milan Baran,SDKÚ-DS,SDKÚ-DS,40,44,0,1,0,0,0,0,2006
Aladár Bariak,SDKÚ-DS,SDKÚ-DS,41,101,0,1,0,0,0,0,2006
Ivan Chaban,SDKÚ-DS,SDKÚ-DS,42,9,0,1,0,0,1,0,2006
Marian Libiak,SDKÚ-DS,SDKÚ-DS,45,54,0,1,0,0,0,0,2006
Viera Kyselicová,SDKÚ-DS,Únia,46,40,0,0,0,0,1,0,2006
Peter Bačkovský,SDKÚ-DS,SDKÚ-DS,51,57,0,1,0,0,0,0,2006
Jozef Mertan,SDKÚ-DS,SDKÚ-DS,54,38,0,1,0,0,1,0,2006
Marek Vargovčák,SDKÚ-DS,SDKÚ-DS,57,29,0,1,0,0,1,0,2006
Jozef Chynoranský,SDKÚ-DS,Únia,58,32,0,0,0,0,1,0,2006
Viera Marková,SDKÚ-DS,SDKÚ-DS,61,69,0,1,0,0,0,0,2006
Milada Dobrotková,SDKÚ-DS,Únia,67,16,0,0,0,0,1,0,2006
Marián Hojstrič,SDKÚ-DS,SDKÚ-DS,68,43,0,1,0,0,1,0,2006
