again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Cyril Betuš,SOS,SDĽ,1,17,1,0,1,1,0,1,2006
Rudolf Reštei,SOS,SDĽ,10,113,1,0,1,1,0,1,2006
Ivan Vaňo,SOS,Únia,20,20,1,0,1,1,1,1,2006
Peter Konček,SOS,SDĽ,31,22,1,0,1,1,1,1,2006
Marián Gál,SOS,SDKÚ-DS,71,100,1,0,1,1,0,1,2006
Martin Halás,SDĽ,SDĽ,2,6,1,1,1,0,0,0,2006
Ján Ľupták,ZRS,ZRS,1,1,1,1,0,0,1,0,2006
Milan Trník,ZRS,ZRS,4,3,1,1,0,0,1,0,2006
Mária Hrušková,ZRS,ZRS,6,4,1,1,0,0,1,0,2006
Pavol Kopčák,ZRS,ZRS,9,9,1,1,0,0,1,0,2006
František Chachula,ZRS,ZRS,10,128,1,1,0,0,0,0,2006
Jozef Sekáč,ZRS,ZRS,13,70,1,1,0,0,0,0,2006
Pavol Čuma,ZRS,ZRS,16,6,1,1,0,0,1,0,2006
Dušan Hanka,ZRS,ZRS,21,53,1,1,0,0,0,0,2006
Jana Nirházová,ZRS,ZRS,24,36,1,1,0,0,0,0,2006
Jaroslav Završan,ZRS,ZRS,30,30,1,1,0,0,1,0,2006
Ján Rudinský,ZRS,ZRS,41,18,1,1,0,0,1,0,2006
Cyril Ivan,ZRS,ZRS,46,31,1,1,0,0,1,0,2006
Ľubomír Dado,ZRS,ZRS,48,69,1,1,0,0,0,0,2006
Dušan Boháčik,ZRS,ZRS,58,119,1,1,0,0,0,0,2006
Michal Milas,ZRS,ZRS,67,92,1,1,0,0,0,0,2006
Anna Nagyová,ZRS,ZRS,84,84,1,1,0,0,1,0,2006
Mária Glovňová,ZRS,ZRS,89,44,1,1,0,0,1,0,2006
Pavol Hrušovský,KDH,KDH,1,2,0,1,1,0,0,0,2006
Daniel Lipšic,KDH,KDH,3,3,0,1,1,0,1,0,2006
Július Brocka,KDH,KDH,4,4,0,1,1,0,1,0,2006
Martin Fronc,KDH,KDH,5,10,0,1,1,0,0,0,2006
Jozef Šimko,KDH,KDH,9,41,0,1,1,0,0,0,2006
Pavol Abrhan,KDH,KDH,10,9,0,1,1,0,1,0,2006
Alojz Přidal,KDH,KDH,11,14,0,1,1,0,0,0,2006
Peter Muránsky,KDH,KDH,12,12,0,1,1,0,1,0,2006
Anna Kováčová,KDH,KDH,15,115,0,1,1,0,0,0,2006
Pavol Tarcala,KDH,KDH,18,21,0,1,1,0,0,0,2006
Mária Sabolová,KDH,KDH,19,5,0,1,1,0,1,0,2006
Ján Porubský,KDH,KDH,21,60,0,1,1,0,0,0,2006
Stanislav Kahanec,KDH,KDH,22,31,0,1,1,0,0,0,2006
Anton Stanko,KDH,KDH,24,26,0,1,1,0,0,0,2006
Jaroslav Ivan,KDH,KDH,25,46,0,1,1,0,0,0,2006
Peter Bobula,KDH,KDH,27,22,0,1,1,0,1,0,2006
Jozef Hladík,KDH,KDH,29,71,0,1,1,0,0,0,2006
Katarína Smiešková,KDH,KDH,32,95,0,1,1,0,0,0,2006
Monika Gibalová,KDH,KDH,33,17,0,1,1,0,1,0,2006
Ján Vančo,KDH,KDH,35,36,0,1,1,0,0,0,2006
Mária Kulanová,KDH,KDH,39,78,0,1,1,0,0,0,2006
Ľubomír Šteiniger,KDH,KDH,40,32,0,1,1,0,1,0,2006
Ján Gabčo,KDH,KDH,42,37,0,1,1,0,1,0,2006
Pavol Ružanský,KDH,KDH,44,57,0,1,1,0,0,0,2006
Ján Fekiač,KDH,KDH,47,111,0,1,1,0,0,0,2006
Karol Jasenovský,KDH,KDH,51,34,0,1,1,0,1,0,2006
Ján Václavik,KDH,KDH,53,58,0,1,1,0,0,0,2006
Ferdinand Turinič,KDH,KDH,55,28,0,1,1,0,1,0,2006
Peter Madleňák,KDH,KDH,60,112,0,1,1,0,0,0,2006
Ondrej Binder,KDH,KDH,61,47,0,1,1,0,1,0,2006
Jana Brázdilová,KDH,KDH,62,86,0,1,1,0,0,0,2006
Juraj Čabák,KDH,KDH,68,35,0,1,1,0,1,0,2006
Ferdinand Galko,KDH,KDH,73,82,0,1,1,0,0,0,2006
Radovan Junas,KDH,KDH,75,103,0,1,1,0,0,0,2006
Ján Dzurjuv,KDH,KDH,76,125,0,1,1,0,0,0,2006
Marián Babej,KDH,KDH,78,61,0,1,1,0,1,0,2006
Ján Čop,KDH,KDH,85,136,0,1,1,0,0,0,2006
Peter Belica,KDH,KDH,92,52,0,1,1,0,1,0,2006
Peter Stanko,KDH,KDH,93,104,0,1,1,0,0,0,2006
Andrej Bezák,KDH,KDH,94,101,0,1,1,0,0,0,2006
Štefan Ondáš,KDH,KDH,101,139,0,1,1,0,0,0,2006
Agnesa Hadrabová,KDH,KDH,105,124,0,1,1,0,0,0,2006
Július Stanko,KDH,KDH,109,15,0,1,1,0,1,0,2006
Peter Štuller,KDH,KDH,118,107,0,1,1,0,1,0,2006
Juraj Pavelek,KDH,KDH,124,105,0,1,1,0,1,0,2006
Miroslav Libič,KDH,KDH,139,92,0,1,1,0,1,0,2006
Gabriel Kosnáč,KDH,KDH,144,120,0,1,1,0,1,0,2006
Milan Zeleňák,SLNKO,ĽS-HZDS,29,146,1,0,1,1,0,1,2006
Jarmila Karasová,SLNKO,ĽSNS,56,25,1,0,1,1,1,1,2006
Alžbeta Staníková,SLNKO,ĽS-HZDS,145,42,1,0,1,1,1,1,2006
Andrej Mašlonka,ANO,SDĽ,27,24,1,0,1,1,1,1,2006
Slavomír Brza,ANO,SDĽ,29,53,1,0,1,1,0,1,2006
Milan Alberti,ANO,SDĽ,95,128,1,0,1,1,0,1,2006
Igor Pinkava,HZD,AZEN,8,21,1,0,0,1,0,1,2006
Jozef Gašparík,HZD,ND,28,39,1,0,0,1,0,1,2006
Rudolf Urbanovič,HZD,SNS,54,48,1,0,1,1,1,1,2006
Alexander Patkoló,HZD,AZEN,150,4,1,0,0,1,1,1,2006
Béla Bugár,SMK-MKP,MOST-HÍD,1,1,0,0,0,1,1,0,2006
Pál Csáky,SMK-MKP,SMK-MKP,2,1,0,1,0,0,1,0,2006
Gyula Bárdos,SMK-MKP,SMK-MKP,3,2,0,1,0,0,1,0,2006
Miklós Duray,SMK-MKP,SMK-MKP,4,6,0,1,0,0,0,0,2006
László Szigeti,SMK-MKP,SMK-MKP,5,5,0,1,0,0,1,0,2006
Iván Farkas,SMK-MKP,SMK-MKP,6,4,0,1,0,0,1,0,2006
László Köteles,SMK-MKP,SMK-MKP,8,13,0,1,0,0,0,0,2006
Klára Sárközy,SMK-MKP,SMK-MKP,9,8,0,1,0,0,1,0,2006
Zsolt Simon,SMK-MKP,MOST-HÍD,10,2,0,0,0,1,1,0,2006
József Berényi,SMK-MKP,SMK-MKP,12,3,0,1,0,0,1,0,2006
László Miklós,SMK-MKP,SMK-MKP,13,12,0,1,0,0,1,0,2006
Gábor Gál,SMK-MKP,MOST-HÍD,14,5,0,0,0,1,1,0,2006
Ágnes Biró,SMK-MKP,SMK-MKP,15,7,0,1,0,0,1,0,2006
István Pásztor,SMK-MKP,SMK-MKP,16,10,0,1,0,0,1,0,2006
Anna Szögedi,SMK-MKP,SMK-MKP,17,11,0,1,0,0,1,0,2006
Tibor Bastrnák,SMK-MKP,MOST-HÍD,18,4,0,0,0,1,1,0,2006
Elemér Jakab,SMK-MKP,MOST-HÍD,21,9,0,0,0,1,1,0,2006
Pál Zachar,SMK-MKP,SMK-MKP,25,77,0,1,0,0,0,0,2006
István Pomichal,SMK-MKP,SMK-MKP,26,37,0,1,0,0,0,0,2006
Károly Peczár,SMK-MKP,SMK-MKP,28,15,0,1,0,0,1,0,2006
Zoltán Marczell,SMK-MKP,MOST-HÍD,29,74,0,0,0,1,0,0,2006
Lajos Ladányi,SMK-MKP,SMK-MKP,30,20,0,1,0,0,1,0,2006
Péter Csúsz,SMK-MKP,SMK-MKP,32,9,0,1,0,0,1,0,2006
Lajos Csóka,SMK-MKP,MOST-HÍD,33,19,0,0,0,1,1,0,2006
Jozef Filipko,SMK-MKP,SMK-MKP,35,30,0,1,0,0,1,0,2006
Imre Andruskó,SMK-MKP,SMK-MKP,37,35,0,1,0,0,1,0,2006
László Iván,SMK-MKP,SMK-MKP,38,49,0,1,0,0,0,0,2006
Éva Hortai,SMK-MKP,MOST-HÍD,44,27,0,0,0,1,1,0,2006
Attila Bodor,SMK-MKP,SMK-MKP,46,114,0,1,0,0,0,0,2006
János Bób,SMK-MKP,SMK-MKP,47,38,0,1,0,0,1,0,2006
László Bacsó,SMK-MKP,SMK-MKP,49,63,0,1,0,0,0,0,2006
József Bölcs,SMK-MKP,SMK-MKP,50,80,0,1,0,0,0,0,2006
Zsolt Király,SMK-MKP,SMK-MKP,51,29,0,1,0,0,1,0,2006
Zsolt Baranyay,SMK-MKP,SMK-MKP,53,39,0,1,0,0,1,0,2006
László Fekete,SMK-MKP,SMK-MKP,55,66,0,1,0,0,0,0,2006
Olga Szabó,SMK-MKP,SMK-MKP,58,41,0,1,0,0,1,0,2006
Pál Keszegh,SMK-MKP,SMK-MKP,60,67,0,1,0,0,0,0,2006
Márta Stubendek,SMK-MKP,SMK-MKP,62,26,0,1,0,0,1,0,2006
János Sárközi,SMK-MKP,SMK-MKP,63,95,0,1,0,0,0,0,2006
Béla Zsille,SMK-MKP,MOST-HÍD,64,38,0,0,0,1,1,0,2006
Zoltán Fekete,SMK-MKP,MOST-HÍD,66,17,0,0,0,1,1,0,2006
Alexander Szaniszló,SMK-MKP,SMK-MKP,67,52,0,1,0,0,1,0,2006
Zoltán Bugár,SMK-MKP,SMK-MKP,68,125,0,1,0,0,0,0,2006
Klára Tóth,SMK-MKP,SMK-MKP,69,109,0,1,0,0,0,0,2006
Rozália Szalay,SMK-MKP,SMK-MKP,72,65,0,1,0,0,1,0,2006
Gábor Hulkó,SMK-MKP,SMK-MKP,78,94,0,1,0,0,0,0,2006
Zoltán Bán,SMK-MKP,SMK-MKP,81,150,0,1,0,0,0,0,2006
Dénes Miklós,SMK-MKP,SMK-MKP,82,84,0,1,0,0,0,0,2006
József Kürti,SMK-MKP,SMK-MKP,85,139,0,1,0,0,0,0,2006
František Juhos,SMK-MKP,MOST-HÍD,86,16,0,0,0,1,1,0,2006
Béla Mészáros,SMK-MKP,SMK-MKP,87,118,0,1,0,0,0,0,2006
Péter Balázs,SMK-MKP,SMK-MKP,91,91,0,1,0,0,1,0,2006
Norbert Becse,SMK-MKP,SMK-MKP,92,142,0,1,0,0,0,0,2006
Péter Nagy,SMK-MKP,SMK-MKP,95,34,0,1,0,0,1,0,2006
