again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Dušan Švantner,SNS,PSNS,14,5,0,0,0,1,1,0,1998
Ján Havránek,SNS,PSNS,20,45,0,0,0,1,0,0,1998
František Ondrejkov,SNS,SNS,21,103,0,1,0,0,0,0,1998
Miroslav Michalec,SNS,PSNS,22,21,0,0,0,1,1,0,1998
Milan Rybanský,SNS,SNS,26,24,0,1,0,0,1,0,1998
Jozef Líška,SNS,PSNS,30,12,0,0,0,1,1,0,1998
Rudolf Schuster,SNS,SNS,32,33,0,1,0,0,0,0,1998
Anna Bieliková,SNS,SNS,35,106,0,1,0,0,0,0,1998
Marián Ivanko,SNS,SNS,37,141,0,1,0,0,0,0,1998
Ivan Šaško,SNS,HZD,39,18,0,0,0,0,1,0,1998
Pavol Halač,SNS,SNS,40,57,0,1,0,0,0,0,1998
Ján Godál,SNS,HZD,43,17,0,0,0,0,1,0,1998
Jozef Lenič,SNS,SNS,44,41,0,1,0,0,1,0,1998
Rastislav Bednárik,SNS,SNS,46,28,0,1,0,0,1,0,1998
Vladimír Kanás,SNS,SNS,47,34,0,1,0,0,1,0,1998
Juliana Brezinská,SNS,PSNS,51,22,0,0,0,1,1,0,1998
Peter Lisý,SNS,SNS,56,19,0,1,0,0,1,0,1998
Ivan Eibner,SNS,SNS,57,7,0,1,0,0,1,0,1998
Miroslav Jánošík,SNS,PSNS,59,34,0,0,0,1,1,0,1998
Marián Lukáč,SNS,SNS,60,11,0,1,0,0,1,0,1998
Anton Vanko,SNS,SNS,63,39,0,1,0,0,1,0,1998
Vladimír Král,SNS,SNS,68,20,0,1,0,0,1,0,1998
Jozef Zábojník,SNS,SNS,70,31,0,1,0,0,1,0,1998
Pavol Kapusta,SNS,SNS,72,40,0,1,0,0,1,0,1998
Rastislav Staroň,SNS,SNS,75,78,0,1,0,0,0,0,1998
Ján Sekereš,SNS,SNS,78,48,0,1,0,0,1,0,1998
Viliam Mokráň,SNS,SNS,82,150,0,1,0,0,0,0,1998
Jozef Dušan Bezák,SNS,SNS,89,47,0,1,0,0,1,0,1998
Kamil Bartovič,SNS,PSNS,91,8,0,0,0,1,1,0,1998
Štefan Paulov,SNS,SNS,117,83,0,1,0,0,1,0,1998
Ivan Jároši,SNS,SNS,118,81,0,1,0,0,1,0,1998
Jaroslav Božik,SNS,SNS,126,59,0,1,0,0,1,0,1998
Stanislav Mican,SNS,PSNS,130,50,0,0,0,1,1,0,1998
Eva Jaššová,SNS,PSNS,147,110,0,0,0,1,1,0,1998
Jozefa Lobotková,SNS,PSNS,148,78,0,0,0,1,1,0,1998
Andrej Trnovec,SĽS,SNS,5,14,1,0,1,0,0,1,1998
Ernest Pápay,SĽS,SNJ,6,10,1,0,0,1,0,1,1998
Michal Števko,SĽS,SNS,33,89,1,0,1,1,0,1,1998
Viliam Zopp,SĽS,SNS,36,87,1,0,1,1,0,1,1998
Emil Kučerák,HTC,ĽB,13,137,1,0,1,1,0,1,1998
Jozef Migaš,SDĽ,SDĽ,1,5,0,1,0,0,0,0,1998
Peter Weiss,SDĽ,SDA,5,1,0,0,0,1,1,0,1998
Ľubomír Fogaš,SDĽ,SDĽ,6,3,0,1,0,0,1,0,1998
Milan Ftáčnik,SDĽ,SDA,8,2,0,0,0,1,1,0,1998
Marian Antecký,SDĽ,SDĽ,11,17,0,1,0,0,0,0,1998
Mária Angelovičová,SDĽ,SDĽ,12,14,0,1,0,0,0,0,1998
Štefan Rusnák,SDĽ,SDĽ,14,20,0,1,0,0,0,0,1998
Ladislav Orosz,SDĽ,SDA,15,7,0,0,0,1,1,0,1998
Stanislav Bartoš,SDĽ,SDĽ,20,26,0,1,0,0,0,0,1998
Peter Bohunický,SDĽ,SDĽ,21,18,0,1,0,0,1,0,1998
Jana Halušková,SDĽ,SDĽ,24,90,0,1,0,0,0,0,1998
Imrich Tóth,SDĽ,SDĽ,25,59,0,1,0,0,0,0,1998
Ľubomír Andrassy,SDĽ,SDĽ,27,4,0,1,0,0,1,0,1998
Anton Hoffmann,SDĽ,SDĽ,29,19,0,1,0,0,1,0,1998
Ľubomír Dzurák,SDĽ,SDĽ,30,11,0,1,0,0,1,0,1998
Tibor Matuška,SDĽ,SDĽ,31,37,0,1,0,0,0,0,1998
Dalibor Surkoš,SDĽ,SDA,34,122,0,0,0,1,0,0,1998
Dominik Gahér,SDĽ,SDĽ,39,89,0,1,0,0,0,0,1998
Margita Adamčíková,SDĽ,SDA,44,13,0,0,0,1,1,0,1998
Vincent Timko,SDĽ,SDA,52,17,0,0,0,1,1,0,1998
Ján Kišš,SDĽ,SDA,55,18,0,0,0,1,1,0,1998
Ján Weis,SDĽ,SDĽ,56,27,0,1,0,0,1,0,1998
Miroslav Klč,SDĽ,SDĽ,66,60,0,1,0,0,1,0,1998
Anna Ťureková,SDĽ,SDĽ,86,122,0,1,0,0,0,0,1998
Roman Kopka,SDĽ,SDĽ,89,36,0,1,0,0,1,0,1998
Vladimír Vranovič,SDĽ,HZD,90,6,0,0,0,1,1,0,1998
Michal Kopka,SDĽ,SDA,92,25,0,0,0,1,1,0,1998
Ján Polák,SDĽ,SDA,105,14,0,0,0,1,1,0,1998
Benjamín Bančej,SDĽ,SDĽ,108,34,0,1,0,0,1,0,1998
Štefan Adamec,SDĽ,SDĽ,111,126,0,1,0,0,0,0,1998
Emília Blahútová,SDĽ,SDA,117,52,0,0,0,1,1,0,1998
František Jedinák,SDĽ,SDĽ,120,68,0,1,0,0,1,0,1998
Jozef Cech,SDĽ,SDĽ,127,58,0,1,0,0,1,0,1998
Ľudmila Lysinová,SDĽ,SDĽ,132,12,0,1,0,0,1,0,1998
Ján Franko,SDĽ,SDĽ,140,123,0,1,0,0,1,0,1998
Janka Drobová,SDĽ,SDĽ,142,43,0,1,0,0,1,0,1998
Vladimír Ďaďo,KSS,KSS,1,3,1,1,1,0,0,0,1998
Ivan Hopta,KSS,KSS,2,2,1,1,1,0,1,0,1998
Jozef Ševc,KSS,KSS,6,1,1,1,1,0,1,0,1998
Dušan Saksa,KSS,KSS,8,12,1,1,1,0,0,0,1998
Jozef Kriško,KSS,KSS,9,19,1,1,1,0,0,0,1998
Jozef Hrdlička,KSS,KSS,12,6,1,1,1,0,1,0,1998
Miloslava Necpalová,KSS,KSS,14,150,1,1,1,0,0,0,1998
Ján Gregor,KSS,KSS,15,16,1,1,1,0,0,0,1998
Jozef Bošanský,KSS,KSS,16,23,1,1,1,0,0,0,1998
Anton Trebuľa,KSS,KSS,17,15,1,1,1,0,1,0,1998
Mikuláš Juščík,KSS,KSS,18,9,1,1,1,0,1,0,1998
Miroslav Samiec,KSS,KSS,21,33,1,1,1,0,0,0,1998
Zuzana Remetová,KSS,KSS,26,17,1,1,1,0,1,0,1998
Ján Adamovič,KSS,KSS,27,27,1,1,1,0,1,0,1998
Jozef Fuček,KSS,KSS,32,26,1,1,1,0,1,0,1998
Ján Karman,KSS,KSS,35,66,1,1,1,0,0,0,1998
Mária Marušicová,KSS,KSS,39,42,1,1,1,0,0,0,1998
Ján Ševc,KSS,KSS,43,45,1,1,1,0,0,0,1998
Milan Šebeň,KSS,KSS,48,86,1,1,1,0,0,0,1998
Milan Vredík,KSS,KSS,51,149,1,1,1,0,0,0,1998
František Kasanický,KSS,KSS,55,63,1,1,1,0,0,0,1998
Milan Šlapka,KSS,KSS,56,40,1,1,1,0,1,0,1998
Peter Jakubčák,KSS,KSS,68,64,1,1,1,0,1,0,1998
Viera Duchoslavová,KSS,KSS,70,28,1,1,1,0,1,0,1998
Milan Ryban,KSS,KSS,74,108,1,1,1,0,0,0,1998
Ladislav Vojtko,KSS,KSS,85,62,1,1,1,0,1,0,1998
Ivan Bugáň,KSS,KSS,89,96,1,1,1,0,0,0,1998
Milan Katuščák,KSS,KSS,98,47,1,1,1,0,1,0,1998
Štefan Tatranský,KSS,KSS,100,18,1,1,1,0,1,0,1998
Ján Fanči,KSS,KSS,105,125,1,1,1,0,0,0,1998
Július Makó,KSS,KSS,125,31,1,1,1,0,1,0,1998
Milan Olexa,JSPS,ĽB,8,22,1,0,1,1,0,1,1998
Ján Ľupták,ZRS,ZRS,1,1,1,1,0,0,1,0,1998
Štefan Ösze,ZRS,ROSA,16,4,1,0,0,0,1,0,1998
Jozef Bača,ZRS,ZRS,18,52,1,1,0,0,0,0,1998
Pavel Švec,ZRS,ĽB,21,21,1,0,0,0,1,0,1998
Milan Trník,ZRS,ZRS,25,2,1,1,0,0,1,0,1998
Mária Hrušková,ZRS,ZRS,28,7,1,1,0,0,1,0,1998
Alojz Španihel,ZRS,ĽB,32,38,1,0,0,0,0,0,1998
Anna Ždánska,ZRS,ZRS,33,44,1,1,0,0,0,0,1998
Jozef Tarkanič,ZRS,SMER,44,69,1,0,1,1,0,0,1998
Rastislav Bašista,ZRS,ZRS,72,12,1,1,0,0,1,0,1998
Dušan Gréger,ZRS,ĽB,76,4,1,0,0,0,1,0,1998
Bartolomej Sisák,ZRS,ZRS,80,3,1,1,0,0,1,0,1998
Karol Mikloš,ZRS,ĽB,87,75,1,0,0,0,1,0,1998
Emília Krotáková,ZRS,ĽB,93,30,1,0,0,0,1,0,1998
Vladimír Hodrušský,ZRS,ZRS,102,6,1,1,0,0,1,0,1998
Jozef Jakubík,ZRS,ĽB,104,145,1,0,0,0,0,0,1998
Stanislav Pánis,SNJ,SNJ,1,1,1,1,1,0,1,0,1998
Eva Balková,SNJ,SNJ,2,16,1,1,1,0,0,0,1998
Stanislav Svorad,SNJ,SNJ,5,2,1,1,1,0,1,0,1998
Božena Štefíková,SNJ,ĽS,12,6,1,0,0,0,1,0,1998
Edita Horváthová,SNJ,SNJ,15,18,1,1,1,0,0,0,1998
Jozef Ravasz,HZDS,ROISR,88,9,0,0,0,0,1,0,1998
Rudolf Horváth,MLHZP,ROISR,138,26,1,0,1,1,1,1,1998
Béla Hrubík,SMK-MKP,SMK-MKP,72,104,0,1,1,0,0,0,1998
László Forró,SMK-MKP,SMK-MKP,85,34,0,1,1,0,1,0,1998
Martin Fronc,SDK,KDH,24,8,0,0,0,1,1,0,1998
Eva Kotvasová,SNS,PSNS,52,32,0,0,0,1,1,0,1998
Daniel Klačko,SNS,PSNS,69,57,0,0,0,1,1,0,1998
Pavel Koncoš,SDĽ,SDĽ,13,1,0,1,0,0,1,0,1998
Štefan Sopóci,SDĽ,SDĽ,69,53,0,1,0,0,1,0,1998
Pavol Tausk,KSS,KSS,29,122,1,1,1,0,0,0,1998
Mikuláš Benko,KSS,KSS,84,30,1,1,1,0,1,0,1998
Jozef Studenič,HZDS,HZD,109,12,0,0,0,0,1,0,1998
Milan Hudina,MLHZP,KSS,5,135,0,0,1,1,0,1,1998
Eva Horváthová,MLHZP,ĽS,77,10,0,0,0,1,1,1,1998
Edit Bauer,SMK-MKP,SMK-MKP,7,17,0,1,1,0,0,0,1998
Ladislav Hromada,SOP,SDĽ,62,72,0,0,0,1,0,1,1998
Ján Odzgan,SDK,SDKÚ,112,36,0,0,0,1,1,0,1998
Ján Slota,SNS,PSNS,1,1,0,0,0,1,1,0,1998
Anna Malíková,SNS,SNS,2,1,0,1,0,0,1,0,1998
Melánia Kolláriková,SNS,PSNS,10,4,0,0,0,1,1,0,1998
Robert Fico,SDĽ,SMER,3,1,0,0,1,1,1,0,1998
Samuel Zubo,KSS,KSS,5,10,1,1,1,0,0,0,1998
Martin Bujan,KSS,KSS,62,20,1,1,1,0,1,0,1998
Vladimír Nociar,KSS,KSS,136,148,1,1,1,0,0,0,1998
Jozef Čičvák,ZRS,ĽB,17,31,1,0,0,0,0,0,1998
Jozef Parec,ZRS,SMER,73,110,1,0,1,1,0,0,1998
