again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Vladimír Mečiar,HZDS,HZDS,1,1,0,1,0,0,1,0,1998
Ivan Gašparovič,HZDS,HZD,2,1,0,0,0,0,1,0,1998
Sergej Kozlík,HZDS,HZDS,3,3,0,1,0,0,1,0,1998
Ján Gabriel,HZDS,HZDS,6,12,0,1,0,0,0,0,1998
Jozef Kalman,HZDS,ĽB,7,1,0,0,0,0,1,0,1998
Vojtech Tkáč,HZDS,HZDS,8,5,0,1,0,0,1,0,1998
Milan Cagala,HZDS,HZDS,9,34,0,1,0,0,0,0,1998
Katarína Tóthová,HZDS,HZDS,11,60,0,1,0,0,0,0,1998
Peter Baco,HZDS,HZDS,12,59,0,1,0,0,0,0,1998
Gustáv Krajči,HZDS,HZDS,14,17,0,1,0,0,0,0,1998
Tibor Cabaj,HZDS,HZDS,16,20,0,1,0,0,0,0,1998
Irena Belohorská,HZDS,HZDS,17,30,0,1,0,0,0,0,1998
Dušan Jarjabek,HZDS,HZDS,18,32,0,1,0,0,0,0,1998
Imrich Andrejčák,HZDS,HZDS,20,97,0,1,0,0,0,0,1998
Miroslav Maxon,HZDS,HZDS,23,26,0,1,0,0,0,0,1998
Ján Cuper,HZDS,HZDS,24,42,0,1,0,0,0,0,1998
Jozef Brhel,HZDS,HZDS,25,25,0,1,0,0,1,0,1998
Marta Aibeková,HZDS,HZD,26,3,0,0,0,0,1,0,1998
Pavol Kačic,HZDS,HZDS,27,74,0,1,0,0,0,0,1998
Ján Danko,HZDS,HZDS,30,44,0,1,0,0,0,0,1998
Ján Jasovský,HZDS,HZDS,31,7,0,1,0,0,1,0,1998
Ján Benčat,HZDS,HZD,35,4,0,0,0,0,1,0,1998
Alojz Engliš,HZDS,HZDS,38,90,0,1,0,0,0,0,1998
Milan Rehák,HZDS,HZDS,40,18,0,1,0,0,1,0,1998
Stanislav Husár,HZDS,HZDS,41,21,0,1,0,0,1,0,1998
Marta Podhradská,HZDS,HZD,42,27,0,0,0,0,1,0,1998
Ľudmila Mušková,HZDS,HZDS,43,13,0,1,0,0,1,0,1998
Ivan Sýkora,HZDS,HZD,50,28,0,0,0,0,1,0,1998
Janka Gantnerová,HZDS,HZDS,51,63,0,1,0,0,0,0,1998
Jozef Grapa,HZDS,HZD,67,7,0,0,0,0,1,0,1998
Jozefína Obšitníková,HZDS,HZDS,70,93,0,1,0,0,0,0,1998
Ján Koršó,HZDS,HZD,77,5,0,0,0,0,1,0,1998
Ľuboš Lackovič,HZDS,HZDS,87,50,0,1,0,0,1,0,1998
Ján Dlhopolček,HZDS,HZDS,91,45,0,1,0,0,1,0,1998
Jarmila Michalovová,HZDS,HZD,97,38,0,0,0,0,1,0,1998
Andrej Bega,HZDS,HZDS,108,99,0,1,0,0,1,0,1998
Ján Turňa,HZDS,HZDS,111,89,0,1,0,0,1,0,1998
Dušan Smatana,HZDS,HZD,120,10,0,0,0,0,1,0,1998
Eva Moravčíková,HZDS,HZDS,122,140,0,1,0,0,0,0,1998
Tibor Mikuš,HZDS,HZDS,127,8,0,1,0,0,1,0,1998
Eva Grossingerová,HZDS,HZDS,133,116,0,1,0,0,1,0,1998
Vladimír Pavelka,HZDS,HZDS,140,37,0,1,0,0,1,0,1998
Štefan Lukáč,HZDS,SDPO,142,26,0,0,0,0,1,0,1998
Ján Garai,NASR,NOSNP,1,1,1,0,1,1,1,1,1998
Terézia Chlebová,NASR,ROSA,5,3,1,0,1,1,1,1,1998
Béla Bugár,SMK-MKP,SMK-MKP,1,1,0,1,1,0,1,0,1998
Miklós Duray,SMK-MKP,SMK-MKP,2,9,0,1,1,0,0,0,1998
László Nagy,SMK-MKP,SMK-MKP,3,8,0,1,1,0,0,0,1998
Pál Csáky,SMK-MKP,SMK-MKP,4,2,0,1,1,0,1,0,1998
Árpád Duka-Zólyomi,SMK-MKP,SMK-MKP,5,23,0,1,1,0,0,0,1998
Pál Farkas,SMK-MKP,SMK-MKP,6,5,0,1,1,0,1,0,1998
Gyula Bárdos,SMK-MKP,SMK-MKP,8,3,0,1,1,0,1,0,1998
István Harna,SMK-MKP,SMK-MKP,9,15,0,1,1,0,0,0,1998
László Szigeti,SMK-MKP,SMK-MKP,11,6,0,1,1,0,1,0,1998
József Kvarda,SMK-MKP,SMK-MKP,12,26,0,1,1,0,0,0,1998
László Köteles,SMK-MKP,SMK-MKP,14,7,0,1,1,0,1,0,1998
László Hóka,SMK-MKP,SMK-MKP,15,150,0,1,1,0,0,0,1998
István Mázik,SMK-MKP,SMK-MKP,17,65,0,1,1,0,0,0,1998
László Gyurovszky,SMK-MKP,SMK-MKP,18,4,0,1,1,0,1,0,1998
Erzsébet Dolník,SMK-MKP,SMK-MKP,19,20,0,1,1,0,0,0,1998
József Berényi,SMK-MKP,SMK-MKP,20,11,0,1,1,0,1,0,1998
Klára Sárközy,SMK-MKP,SMK-MKP,21,21,0,1,1,0,1,0,1998
Olga Szabó,SMK-MKP,SMK-MKP,22,60,0,1,1,0,0,0,1998
István Pásztor,SMK-MKP,SMK-MKP,27,25,0,1,1,0,1,0,1998
Zsolt Komlósy,SMK-MKP,SMK-MKP,29,10,0,1,1,0,1,0,1998
Béla Angyal,SMK-MKP,SMK-MKP,30,32,0,1,1,0,0,0,1998
Zoltán Boros,SMK-MKP,SMK-MKP,32,40,0,1,1,0,0,0,1998
Ernő Rózsa,SMK-MKP,SMK-MKP,35,79,0,1,1,0,0,0,1998
Imre Nagy,SMK-MKP,SMK-MKP,51,76,0,1,1,0,0,0,1998
Sándor Papp,SMK-MKP,SMK-MKP,52,113,0,1,1,0,0,0,1998
Ladislav Iván,SMK-MKP,SMK-MKP,57,148,0,1,1,0,0,0,1998
Pavel Zachar,SMK-MKP,SMK-MKP,59,57,0,1,1,0,1,0,1998
Sándor Bastrnák,SMK-MKP,SMK-MKP,61,90,0,1,1,0,0,0,1998
Gábor Rusznák,SMK-MKP,SMK-MKP,63,36,0,1,1,0,1,0,1998
László Lakatos,SMK-MKP,SMK-MKP,65,101,0,1,1,0,0,0,1998
János Juhász,SMK-MKP,SMK-MKP,70,69,0,1,1,0,1,0,1998
Fridrich Nagy,SMK-MKP,SMK-MKP,74,67,0,1,1,0,1,0,1998
Ladislav Matiaško,SMK-MKP,SMK-MKP,86,91,0,1,1,0,0,0,1998
Miklós Fehér,SMK-MKP,SMK-MKP,87,66,0,1,1,0,1,0,1998
Frigyes Matus,SMK-MKP,SMK-MKP,95,33,0,1,1,0,1,0,1998
Jozef Hunyák,SMK-MKP,SMK-MKP,96,136,0,1,1,0,0,0,1998
Lajos Balajti,SMK-MKP,SMK-MKP,99,74,0,1,1,0,1,0,1998
Ladislav Bartók,SMK-MKP,SMK-MKP,102,63,0,1,1,0,1,0,1998
Karol Fellinger,SMK-MKP,SMK-MKP,123,87,0,1,1,0,1,0,1998
Viktor Nagy,SMK-MKP,ROMA,141,10,0,0,0,0,1,0,1998
Alexander Kállai,SMK-MKP,ROISR,149,88,0,0,0,0,1,0,1998
Marián Kollár,NS,HZD,5,20,1,0,1,1,0,1,1998
Miroslav Kočnár,NS,ROSA,6,1,1,0,0,1,1,1,1998
Pavel Derkay,NS,ANO,8,56,1,0,1,1,0,1,1998
Dušan Gál,NS,ROSA,28,14,1,0,0,1,1,1,1998
Milan Fogaš,NS,ROSA,35,44,1,0,0,1,0,1,1998
Ján Riapoš,NS,ĽB,38,10,1,0,0,1,1,1,1998
Zdeno Šuška,NS,ROSA,62,12,1,0,0,1,1,1,1998
František Dugovič,B-RRS,B-RRS,2,1,1,1,0,0,1,0,1998
Ján Chlebák,B-RRS,B-RRS,3,3,1,1,0,0,1,0,1998
Milan Albertus,B-RRS,B-RRS,5,5,1,1,0,0,1,0,1998
Vladimír Kriška,B-RRS,B-RRS,7,9,1,1,0,0,0,0,1998
Peter Melich,B-RRS,B-RRS,9,11,1,1,0,0,0,0,1998
Mária Markuliaková,B-RRS,B-RRS,11,4,1,1,0,0,1,0,1998
Mária Jakabová,B-RRS,B-RRS,12,10,1,1,0,0,1,0,1998
Ondrej Janko,B-RRS,B-RRS,16,33,1,1,0,0,0,0,1998
Jozef Koči,B-RRS,B-RRS,17,18,1,1,0,0,0,0,1998
Adriana Grosingerová,B-RRS,SNJ,18,48,1,0,1,0,0,0,1998
Jaroslav Korpala,B-RRS,B-RRS,20,16,1,1,0,0,1,0,1998
Mária Sojková,B-RRS,B-RRS,21,25,1,1,0,0,0,0,1998
Pavol Hamžík,SOP,SDĽ,2,6,0,0,0,1,0,1,1998
Marián Mesiarik,SOP,SDĽ,4,24,0,0,0,1,0,1,1998
Peter Kresák,SOP,SDA,10,9,0,0,0,1,1,1,1998
Diana Dubovská,SOP,HZDS,13,33,0,0,1,1,0,1,1998
Ivan Budiak,SOP,SDĽ,16,16,0,0,0,1,1,1,1998
Milan Gášek,SOP,SDĽ,48,47,0,0,0,1,1,1,1998
Ján Marinič,SOP,ANO,63,61,0,0,1,1,1,1,1998
Ladislav Setnický,SOP,SDĽ,70,79,0,0,0,1,0,1,1998
Igor Kozák,SOP,ANO,79,30,0,0,1,1,1,1,1998
Dušan Drozda,SOP,SDĽ,83,40,0,0,0,1,1,1,1998
Jozef Škultéty,SOP,SDĽ,92,31,0,0,0,1,1,1,1998
Imrich Sládeček,SOP,SNS,96,10,0,0,0,1,1,1,1998
Miroslav Kováč,SOP,ANO,99,67,0,0,1,1,1,1,1998
Andrej Mokriš,SOP,SDĽ,108,120,0,0,0,1,0,1,1998
Milan Aberštik,SOP,SDĽ,115,149,0,0,0,1,0,1,1998
Emil Potočník,SOP,ANO,127,31,0,0,1,1,1,1,1998
Jozef Mažári,SOP,SNS,128,30,0,0,0,1,1,1,1998
Peter Zorvan,SOP,SDĽ,136,111,0,0,0,1,1,1,1998
Mikuláš Dzurinda,SDK,SDKÚ,1,1,0,0,0,1,1,1,1998
Eduard Kukan,SDK,SDKÚ,2,2,0,0,0,1,1,1,1998
František Mikloško,SDK,KDH,3,7,0,0,0,1,0,1,1998
Ivan Šimko,SDK,SDKÚ,6,4,0,0,0,1,1,1,1998
Ján Rusnák,SDK,SDKÚ,7,16,0,0,0,1,0,1,1998
Ján Figeľ,SDK,KDH,10,2,0,0,0,1,1,1,1998
Vladimír Palko,SDK,KDH,11,3,0,0,0,1,1,1,1998
Peter Osuský,SDK,OKS,13,3,0,0,0,1,1,1,1998
Milan Hort,SDK,SDKÚ,14,8,0,0,0,1,1,1,1998
František Šebej,SDK,OKS,19,2,0,0,0,1,1,1,1998
Július Brocka,SDK,KDH,21,5,0,0,0,1,1,1,1998
Pavol Hrušovský,SDK,KDH,22,1,0,0,0,1,1,1,1998
Peter Zajac,SDK,OKS,26,6,0,0,0,1,1,1,1998
Ladislav Ambróš,SDK,SZS,28,2,0,0,0,1,1,1,1998
Anna Záborská,SDK,KDH,32,9,0,0,0,1,1,1,1998
Roman Vavrík,SDK,SDKÚ,33,9,0,0,0,1,1,1,1998
Peter Ošváth,SDK,SDKÚ,36,29,0,0,0,1,1,1,1998
Pavol Prokopovič,SDK,SDKÚ,37,14,0,0,0,1,1,1,1998
Mária Sabolová,SDK,KDH,38,17,0,0,0,1,1,1,1998
Peter Tatár,SDK,OKS,40,1,0,0,0,1,1,1,1998
Peter Muránsky,SDK,KDH,44,10,0,0,0,1,1,1,1998
Alexej Ivanko,SDK,SDKÚ,46,24,0,0,0,1,1,1,1998
Alojz Rakús,SDK,KDH,52,20,0,0,0,1,1,1,1998
Milan Gaľa,SDK,SDKÚ,56,7,0,0,0,1,1,1,1998
Tomáš Galbavý,SDK,SDKÚ,57,11,0,0,0,1,1,1,1998
Jozef Mikuš,SDK,SDKÚ,59,6,0,0,0,1,1,1,1998
Michal Bucek,SDK,SDKÚ,61,68,0,0,0,1,0,1,1998
Stanislav Janiš,SDK,SDKÚ,63,25,0,0,0,1,1,1,1998
Eva Rusnáková,SDK,SDKÚ,64,28,0,0,0,1,1,1,1998
Stanislav Škoda,SDK,SDKÚ,71,26,0,0,0,1,1,1,1998
Pavol Mutafov,SDK,SDA,72,34,0,0,0,1,1,1,1998
Pavol Kubovič,SDK,SDKÚ,75,18,0,0,0,1,1,1,1998
Ján Brezovský,SDK,KDH,76,134,0,0,0,1,0,1,1998
Miloš Macho,SDK,SZS,77,3,0,0,0,1,1,1,1998
Karol Mitrík,SDK,SDKÚ,79,17,0,0,0,1,1,1,1998
Marián Fúrik,SDK,SDKÚ,81,134,0,0,0,1,0,1,1998
Jaroslav Riha,SDK,SDĽ,83,15,0,0,0,1,1,1,1998
Ján Bielik,SDK,KDH,86,24,0,0,0,1,1,1,1998
Vladimír Horák,SDK,SDKÚ,91,33,0,0,0,1,1,1,1998
Pavel Roba,SDK,SZS,98,39,0,0,0,1,1,1,1998
Rudolf Kulman,SDK,SDKÚ,104,35,0,0,0,1,1,1,1998
Marián Babej,SDK,KDH,105,114,0,0,0,1,0,1,1998
Marcela Pčolinská,SDK,KDH,107,18,0,0,0,1,1,1,1998
Ondrej Dostál,SDK,OKS,117,5,0,0,0,1,1,1,1998
Zita Pleštinská,SDK,SDKÚ,119,51,0,0,0,1,1,1,1998
Tibor Tóth,SDK,SDKÚ,132,27,0,0,0,1,1,1,1998
Rastislav Blaško,SDK,SDĽ,135,23,0,0,0,1,1,1,1998
Mária Jesenková,SDK,KDH,136,104,0,0,0,1,1,1,1998
Jozef Hladík,SDK,KDH,142,44,0,0,0,1,1,1,1998
Ján Sitek,SNS,PSNS,4,2,0,0,0,1,1,0,1998
Viliam Oberhauser,SNS,SNS,5,9,0,1,0,0,0,0,1998
Víťazoslav Moric,SNS,PSNS,6,6,0,0,0,1,1,0,1998
Jozef Prokeš,SNS,SNS,7,2,0,1,0,0,1,0,1998
Jaroslav Paška,SNS,SNS,9,3,0,1,0,0,1,0,1998
Štefan Zelník,SNS,PSNS,11,3,0,0,0,1,1,0,1998
Rastislav Šepták,SNS,PSNS,12,7,0,0,0,1,1,0,1998
Miroslav Kotian,SNS,SNS,13,6,0,1,0,0,1,0,1998
