;again;party1;party2;order1;order2;loyal;mp
49;Miroslav Maxon;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;6;23;1;1
50;Ján Cuper;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;8;24;1;1
51;Roman Hofbauer;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;10;37;1;1
52;Tibor Cabaj;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;12;16;1;1
53;Peter Bròák;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;13;21;1;1
54;Ida Rapaièová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;14;78;1;1
56;František Švec;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;21;79;1;0
57;Milan Rehák;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;23;40;1;0
58;Roman Melicher;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;30;112;1;0
59;Stanislav Becík;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;32;59;1;0
60;Blaena Pavlovièová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;47;82;1;0
141;Vladimír Meèiar;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;1;1;1;1
142;Dušan Slobodník;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;3;39;1;1
143;Pavel Delinga;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;5;19;1;1
144;Karol Konárik;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;7;56;1;1
145;Viliam Hornáèek;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;8;54;1;1
146;Ján Smolec;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;10;81;1;1
147;¼udmila Mušková;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;11;43;1;1
148;Tomáš Cingel;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;16;75;1;1
149;Jozef Tarèák;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;17;62;1;1
150;Mária Bartošíková;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;18;47;1;1
151;Dušan Macuška;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;19;63;1;1
152;Stanislav Líška;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;20;76;1;1
153;Karol Zahatlan;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;21;95;1;1
154;Vladimír Mikulka;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;22;55;1;1
155;Stanislav Husár;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;23;41;1;1
156;Jaroslav Fidrik;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;24;73;1;1
157;Pavol Števèek;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;26;36;1;0
158;Vladimír Homola;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;50;94;1;0
238;Sergej Kozlík;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;1;3;0;1
239;Imrich Andrejèák;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;3;20;0;1
240;Ivan Lexa;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;4;48;0;1
241;Jozef Zlocha;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;5;32;0;1
242;Miroslav Novák;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;6;123;0;1
243;Vojtech Tkáè;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;7;8;0;1
244;Ján Danko;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;10;30;0;1
245;Michal Baránik;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;12;44;0;1
246;¼ubomír Javorskı;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;13;52;0;1
247;Pavol Kaèic;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;19;27;0;0
248;Jozefína Obšitníková;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;24;70;0;0
249;Jozef Gajdoš;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;28;33;0;0
250;Andrej Fedor;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;33;110;0;0
251;Jozef Brna;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;40;101;0;0
310;Jozef Grapa;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;44;67;0;0
312;Peter Adamec;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;46;84;0;0
320;Alena Kolesárová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;18;57;0;1
321;Pavel Halabrín;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;20;53;0;0
322;Ernest Macho;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;37;90;0;0
337;Eva Zelenayová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;4;71;0;1
55;Zora Lazarová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Slovenská národná strana;19;19;0;1
11;Ján Šimko;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Strana obèianskeho porozumenia;32;41;0;0
14;František Kasanickı;Komunistická strana Slovenska;Komunistická strana Slovenska;2;55;1;0
15;Valéria Majerníková;Komunistická strana Slovenska;Komunistická strana Slovenska;4;87;1;0
61;Mária Marušicová;Komunistická strana Slovenska;Komunistická strana Slovenska;3;39;1;0
62;Pavol Švirec;Komunistická strana Slovenska;Komunistická strana Slovenska;4;30;1;0
63;Ján Adamoviè;Komunistická strana Slovenska;Komunistická strana Slovenska;5;27;1;0
64;Viera Duchoslavová;Komunistická strana Slovenska;Komunistická strana Slovenska;9;70;1;0
65;Pavol Tausk;Komunistická strana Slovenska;Komunistická strana Slovenska;11;29;1;0
66;Ján Nagy;Komunistická strana Slovenska;Komunistická strana Slovenska;12;54;1;0
67;Vojtech Dolinskı;Komunistická strana Slovenska;Komunistická strana Slovenska;14;94;1;0
69;Ondrej Prágay;Komunistická strana Slovenska;Komunistická strana Slovenska;30;58;1;0
159;Vladimír Ïaïo;Komunistická strana Slovenska;Komunistická strana Slovenska;1;1;1;0
160;Anton Trebu¾a;Komunistická strana Slovenska;Komunistická strana Slovenska;2;17;1;0
161;Mária Tresanská;Komunistická strana Slovenska;Komunistická strana Slovenska;3;11;1;0
162;Samuel Zubo;Komunistická strana Slovenska;Komunistická strana Slovenska;5;5;1;0
163;Ján Ševc;Komunistická strana Slovenska;Komunistická strana Slovenska;7;43;1;0
164;Rudolf Greško;Komunistická strana Slovenska;Komunistická strana Slovenska;13;49;1;0
165;Milota Kašicová;Komunistická strana Slovenska;Komunistická strana Slovenska;14;59;1;0
166;Ján Karman;Komunistická strana Slovenska;Komunistická strana Slovenska;15;35;1;0
167;Milan Šlapka;Komunistická strana Slovenska;Komunistická strana Slovenska;18;56;1;0
168;Viera Dzúrová;Komunistická strana Slovenska;Komunistická strana Slovenska;19;97;1;0
169;Ján Kyzek;Komunistická strana Slovenska;Komunistická strana Slovenska;32;67;1;0
170;Mária Šimunová;Komunistická strana Slovenska;Komunistická strana Slovenska;33;73;1;0
171;Miroslav Samiec;Komunistická strana Slovenska;Komunistická strana Slovenska;37;21;1;0
172;Jozef Fuèek;Komunistická strana Slovenska;Komunistická strana Slovenska;39;32;1;0
173;Miroslav Zubárik;Komunistická strana Slovenska;Komunistická strana Slovenska;42;88;1;0
174;Ján Gregor;Komunistická strana Slovenska;Komunistická strana Slovenska;45;15;1;0
252;Ivan Hopta;Komunistická strana Slovenska;Komunistická strana Slovenska;1;2;1;0
253;Milan Walko;Komunistická strana Slovenska;Komunistická strana Slovenska;2;114;1;0
254;Ján Uhrík;Komunistická strana Slovenska;Komunistická strana Slovenska;3;106;1;0
255;Peter Jakubèák;Komunistická strana Slovenska;Komunistická strana Slovenska;6;68;1;0
256;¼ubomír Kalafus;Komunistická strana Slovenska;Komunistická strana Slovenska;7;69;1;0
257;Jozef Kriško;Komunistická strana Slovenska;Komunistická strana Slovenska;12;9;1;0
258;Jozef Gonda;Komunistická strana Slovenska;Komunistická strana Slovenska;16;7;1;0
259;¼ubomír Feèík;Komunistická strana Slovenska;Komunistická strana Slovenska;17;44;1;0
260;Nadeda Kaputová;Komunistická strana Slovenska;Komunistická strana Slovenska;18;53;1;0
307;Martin Bujan;Komunistická strana Slovenska;Komunistická strana Slovenska;2;62;1;0
308;Mária Školníková;Komunistická strana Slovenska;Komunistická strana Slovenska;10;96;1;0
313;Jozef Bíreš;Komunistická strana Slovenska;Komunistická strana Slovenska;3;63;1;0
323;František Kollár;Komunistická strana Slovenska;Komunistická strana Slovenska;22;82;1;0
324;Jaroslav Fagan;Komunistická strana Slovenska;Komunistická strana Slovenska;23;38;1;0
325;Milan Ryban;Komunistická strana Slovenska;Komunistická strana Slovenska;29;74;1;0
326;Štefan Jamrich;Komunistická strana Slovenska;Komunistická strana Slovenska;33;103;1;0
338;Dušan Saksa;Komunistická strana Slovenska;Komunistická strana Slovenska;9;8;1;0
339;Ján Fanèi;Komunistická strana Slovenska;Komunistická strana Slovenska;25;105;1;0
340;Jozef Spurnı;Komunistická strana Slovenska;Komunistická strana Slovenska;26;130;1;0
341;Ján Marko;Komunistická strana Slovenska;Komunistická strana Slovenska;28;127;1;0
68;Václav Vacula;Komunistická strana Slovenska;Naše Slovensko;17;51;0;0
16;Andrej Trnovec;Kresanská sociálna únia Slovenska;Slovenská ¾udová strana;5;5;0;0
73;František Kalesnı;Kresanská sociálna únia Slovenska;Slovenská ¾udová strana;8;1;0;0
179;Jozef Sásik;Kresanská sociálna únia Slovenska;Slovenská ¾udová strana;15;2;0;0
17;Rastislav Bednárik;Kresanská sociálna únia Slovenska;Slovenská národná strana;6;46;0;0
18;Jozef Deèo;Kresanská sociálna únia Slovenska;Slovenská národná strana;15;134;0;0
70;Augustín Jambor;Kresanská sociálna únia Slovenska;Slovenská národná strana;1;61;0;0
71;Anton Malackı;Kresanská sociálna únia Slovenska;Slovenská národná strana;3;65;0;0
72;Emil Kucharovic;Kresanská sociálna únia Slovenska;Slovenská národná strana;5;80;0;0
74;Edita Tarabèáková;Kresanská sociálna únia Slovenska;Slovenská národná strana;29;81;0;0
75;Vladimír Kanás;Kresanská sociálna únia Slovenska;Slovenská národná strana;32;47;0;0
175;Viliam Oberhauser;Kresanská sociálna únia Slovenska;Slovenská národná strana;1;5;0;0
176;Anton Vanko;Kresanská sociálna únia Slovenska;Slovenská národná strana;4;63;0;0
177;Ján Sekereš;Kresanská sociálna únia Slovenska;Slovenská národná strana;7;78;0;0
178;Marek Murajda;Kresanská sociálna únia Slovenska;Slovenská národná strana;10;23;0;0
180;Marián Rakovskı;Kresanská sociálna únia Slovenska;Slovenská národná strana;24;95;0;0
181;Milan Ftorek;Kresanská sociálna únia Slovenska;Slovenská národná strana;28;96;0;0
182;Michal Jedinák;Kresanská sociálna únia Slovenska;Slovenská národná strana;36;36;0;0
261;František Ondrejkov;Kresanská sociálna únia Slovenska;Slovenská národná strana;3;21;0;0
262;Anton Sviatko;Kresanská sociálna únia Slovenska;Slovenská národná strana;7;77;0;0
264;Peter Turèek;Kresanská sociálna únia Slovenska;Slovenská národná strana;43;145;0;0
265;Michal Duda;Kresanská sociálna únia Slovenska;Slovenská národná strana;45;84;0;0
314;Jozef Laèek;Kresanská sociálna únia Slovenska;Slovenská národná strana;14;87;0;0
342;Anna Bieliková;Kresanská sociálna únia Slovenska;Slovenská národná strana;5;35;0;0
263;Dušan Kovaèiè;Kresanská sociálna únia Slovenska;Strana obèianskeho porozumenia;21;21;0;0
19;Ivan Šimko;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;1;6;0;1
20;František Šebej;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;2;19;0;0
21;Vladimír Palko;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;6;11;0;0
22;Peter Kresánek;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;15;65;0;0
76;Július Brocka;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;2;21;0;1
77;Pavol Hrušovskı;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;3;22;0;1
78;Gabriel Palacka;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;4;27;0;1
79;Ján Bielik;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;5;86;0;0
80;Stanislav Janèoviè;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;9;55;0;0
81;Jaroslav Ivan;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;11;66;0;0
82;Vladimír Horák;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;19;91;0;0
83;Štefan Rajec;Kresanskodemokratické hnutie;Slovenská demokratická koalícia;31;150;0;0
