;X;again;party1;party2;order1;order2;change;minor;loyal;improveParty;improveParty2;improvePosition;origPartyDissolved;year1;minorMajor;minorMinor;majorMajor;majorMinor;switch;new2;switchMiMa;switchMiMi;switchMaMa;switchMaMi;mp
45;45;Ivan GaöparoviË;HZDS;HZDS;1;2;1;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
46;46;Oæga Keltoöov·;HZDS;HZDS;2;15;13;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
47;47;Peter Baco;HZDS;HZDS;3;12;9;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
48;48;Ivan Hudec;HZDS;HZDS;5;22;17;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
49;49;Miroslav Maxon;HZDS;HZDS;6;23;17;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
50;50;J·n Cuper;HZDS;HZDS;8;24;16;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
51;51;Roman Hofbauer;HZDS;HZDS;10;37;27;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
52;52;Tibor Cabaj;HZDS;HZDS;12;16;4;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
53;53;Peter BrÚ·k;HZDS;HZDS;13;21;8;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
54;54;Ida RapaiËov·;HZDS;HZDS;14;78;64;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
55;55;Zora Lazarov·;HZDS;SNS;19;19;0;0;0;NA;NA;1;NA;1994;0;0;1;0;1;0;0;0;1;0;1
56;56;Frantiöek ävec;HZDS;HZDS;21;79;58;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
57;57;Milan Reh·k;HZDS;HZDS;23;40;17;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
58;58;Roman Melicher;HZDS;HZDS;30;112;82;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
59;59;Stanislav BecÌk;HZDS;HZDS;32;59;27;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
60;60;Blaûena PavloviËov·;HZDS;HZDS;47;82;35;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
61;61;M·ria Maruöicov·;KSS;KSS;3;39;36;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
62;62;Pavol ävirec;KSS;KSS;4;30;26;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
63;63;J·n AdamoviË;KSS;KSS;5;27;22;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
64;64;Viera Duchoslavov·;KSS;KSS;9;70;61;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
65;65;Pavol Tausk;KSS;KSS;11;29;18;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
66;66;J·n Nagy;KSS;KSS;12;54;42;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
