again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Hana Pavlovská,EDS,PaS,51,101,1,0,1,,0,1,2010
Peter Repčák,EDS,MOST-HÍD,133,81,1,0,1,,1,1,2010
František Zika,Únia,SF,9,21,1,0,0,,0,1,2010
Ľudmila Farkašovská,Únia,SF,12,2,1,0,0,,1,1,2010
Jozef Dušenka,Únia,SF,24,61,1,0,0,,0,1,2010
Ján Harňák,Únia,SF,35,31,1,0,0,,1,1,2010
Dušan Chleban,Únia,SF,78,80,1,0,0,,0,1,2010
Csaba Horváth,Únia,SDĽ,99,60,1,0,0,,1,1,2010
Ján Kováč,Únia,NaS-ns,105,66,1,0,0,,1,1,2010
Ivana Cehlárová,Únia,SF,111,30,1,0,0,,1,1,2010
Rastislav Kalinač,Únia,SF,117,100,1,0,0,,1,1,2010
Irena Gulišová,Únia,SF,124,25,1,0,0,,1,1,2010
Alena Cingelová,Únia,SF,126,43,1,0,0,,1,1,2010
Jozef Maďar,Únia,MOST-HÍD,141,145,1,0,1,,0,1,2010
Jozef Ravasz,SRK,SMK-MKP,3,54,1,0,1,,0,1,2010
Radko Tokár,SRK,SDĽ,6,23,1,0,0,,0,1,2010
Richard Sulík,SaS,SaS,1,1,0,1,0,,1,0,2010
Jana Kiššová,SaS,SaS,4,6,0,1,0,,0,0,2010
Daniel Krajcer,SaS,SaS,5,2,0,1,0,,1,0,2010
Stanislav Fořt,SaS,SaS,7,20,0,1,0,,0,0,2010
Jozef Kollár,SaS,SaS,8,7,0,1,0,,1,0,2010
Ľubomír Galko,SaS,SaS,9,4,0,1,0,,1,0,2010
Pavol Hladký,SaS,SaS,10,18,0,1,0,,0,0,2010
Martin Poliačik,SaS,SaS,11,9,0,1,0,,1,0,2010
Lucia Nicholsonová,SaS,SaS,12,11,0,1,0,,1,0,2010
Natália Blahová,SaS,SaS,14,8,0,1,0,,1,0,2010
Peter Kalist,SaS,SaS,16,14,0,1,0,,1,0,2010
Štefan Tomčo,SaS,SaS,20,150,0,1,0,,0,0,2010
Zuzana Aštaryová,SaS,SaS,21,32,0,1,0,,0,0,2010
Jaroslav Suja,SaS,SaS,22,19,0,1,0,,1,0,2010
Milan Laurenčík,SaS,SaS,24,25,0,1,0,,0,0,2010
Stanislav Thomka,SaS,SaS,29,57,0,1,0,,0,0,2010
Ivan Holko,SaS,SaS,31,26,0,1,0,,1,0,2010
