again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Alojz Baránik,SaS,SaS,32,31,0,1,0,,1,0,2010
Renáta Kaščáková,SaS,SaS,33,64,0,1,0,,0,0,2010
Milan Piršč,SaS,SaS,34,34,0,1,0,,1,0,2010
Anna Zemanová,SaS,SaS,35,49,0,1,0,,0,0,2010
Peter Bódy,SaS,SaS,37,93,0,1,0,,0,0,2010
Marcel Vrchota,SaS,SaS,38,58,0,1,0,,0,0,2010
Branislav Švec,SaS,SaS,41,40,0,1,0,,1,0,2010
Peter Jurčo,SaS,SaS,43,41,0,1,0,,1,0,2010
Vladimír Sloboda,SaS,SaS,44,42,0,1,0,,1,0,2010
Ľudovít Beťko,SaS,SaS,45,43,0,1,0,,1,0,2010
Alexander Barna,SaS,SaS,49,27,0,1,0,,1,0,2010
Milan Kozický,SaS,SaS,50,50,0,1,0,,1,0,2010
Richard Fekete,SaS,SaS,52,35,0,1,0,,1,0,2010
Róbert Kudláč,SaS,SaS,55,55,0,1,0,,1,0,2010
Bibiána Pfeiffer,SaS,SaS,57,121,0,1,0,,0,0,2010
Michal Uherčík,SaS,SaS,60,28,0,1,0,,1,0,2010
Miroslav Dráb,SaS,SaS,62,53,0,1,0,,1,0,2010
Filip Križan,SaS,SaS,64,63,0,1,0,,1,0,2010
Monika Dimitriadu,SaS,SaS,65,65,0,1,0,,1,0,2010
Marián Viskupič,SaS,SaS,69,47,0,1,0,,1,0,2010
Jakub Ilavský,SaS,SaS,70,45,0,1,0,,1,0,2010
Michal Bróska,SaS,SaS,71,30,0,1,0,,1,0,2010
Ján Kvasnička,SaS,SaS,74,74,0,1,0,,1,0,2010
Pavol Líška,SaS,SaS,75,75,0,1,0,,1,0,2010
Radoslav Pavelka,SaS,SaS,77,52,0,1,0,,1,0,2010
Tomáš Gajdoš,SaS,SaS,79,68,0,1,0,,1,0,2010
Vladislav Hečko,SaS,SaS,96,87,0,1,0,,1,0,2010
Ľubomír Macek,SaS,SaS,99,104,0,1,0,,0,0,2010
Viktor Farár,SaS,SaS,100,82,0,1,0,,1,0,2010
Peter Balogh,SaS,SaS,102,89,0,1,0,,1,0,2010
Milan Galanda,SaS,SaS,104,17,0,1,0,,1,0,2010
Marek Šándor,SaS,SaS,107,95,0,1,0,,1,0,2010
Peter Skotnický,SaS,SaS,108,70,0,1,0,,1,0,2010
Antónia Mikulíková,SaS,SaS,110,109,0,1,0,,1,0,2010
Peter Martinček,SaS,SaS,114,80,0,1,0,,1,0,2010
Pavol Bielik,SaS,SaS,129,79,0,1,0,,1,0,2010
Vladimír Halaj,SaS,SaS,133,81,0,1,0,,1,0,2010
Jarmila Tesková,SaS,SaS,137,116,0,1,0,,1,0,2010
Tomáš Worobel,SaS,SaS,142,122,0,1,0,,1,0,2010
Jozef Viskupič,SaS,OĽaNO,147,147,0,0,0,,1,0,2010
Martin Fecko,SaS,OĽaNO,148,148,0,0,0,,1,0,2010
Erika Jurinová,SaS,OĽaNO,149,149,0,0,0,,1,0,2010
Ján Kyselovič,SDĽ,SDĽ,2,17,1,1,0,,0,0,2010
Cyril Betuš,SDĽ,SDĽ,17,4,1,1,0,,1,0,2010
Pavel Petrík,SDĽ,SZ,20,1,1,0,0,,1,0,2010
Peter Konček,SDĽ,99%,22,19,1,0,0,,1,0,2010
Peter Barna,SDĽ,SDĽ,33,41,1,1,0,,0,0,2010
Marek Földesi,SDĽ,SZ,50,15,1,0,0,,1,0,2010
Branislav Dušek,SDĽ,NÁŠ KRAJ,56,123,1,0,0,,0,0,2010
Ľuboslava Harabinová,SDĽ,SF,73,23,1,0,0,,1,0,2010
Dušan Hodas,SDĽ,99%,77,89,1,0,0,,0,0,2010
Blažej Béda,SDĽ,SDĽ,82,105,1,1,0,,0,0,2010
Nikolaj Popaďák,SDĽ,SDĽ,83,49,1,1,0,,1,0,2010
Viliam Komora,SDĽ,99%,101,82,1,0,0,,1,0,2010
Marek Bilohuščin,SDĽ,SDĽ,103,27,1,1,0,,1,0,2010
Jozef Ďurina,SDĽ,SDĽ,108,36,1,1,0,,1,0,2010
Jana Leščišinová,SDĽ,SDĽ,122,63,1,1,0,,1,0,2010
Štefan Štark,SDĽ,SŽS,133,12,1,0,0,,1,0,2010
Iván Farkas,SMK-MKP,SMK-MKP,4,3,1,1,0,,1,0,2010
László Szigeti,SMK-MKP,SMK-MKP,5,6,1,1,0,,0,0,2010
Ágnes Biró,SMK-MKP,SMK-MKP,7,17,1,1,0,,0,0,2010
Péter Csúsz,SMK-MKP,SMK-MKP,9,9,1,1,0,,1,0,2010
László Miklós,SMK-MKP,SMK-MKP,12,14,1,1,0,,0,0,2010
László Köteles,SMK-MKP,SMK-MKP,13,24,1,1,0,,0,0,2010
Tibor Róm,SMK-MKP,SMK-MKP,18,27,1,1,0,,0,0,2010
Lajos Ladányi,SMK-MKP,SMK-MKP,20,22,1,1,0,,0,0,2010
Gábor Mihók,SMK-MKP,SMK-MKP,23,8,1,1,0,,1,0,2010
Tamás Lőrincz,SMK-MKP,SMK-MKP,28,124,1,1,0,,0,0,2010
Jozef Filipko,SMK-MKP,SMK-MKP,30,142,1,1,0,,0,0,2010
Mikuláš Horváth,SMK-MKP,SMK-MKP,31,58,1,1,0,,0,0,2010
Péter Nagy,SMK-MKP,SMK-MKP,34,89,1,1,0,,0,0,2010
Olga Szabó,SMK-MKP,SMK-MKP,41,109,1,1,0,,0,0,2010
Ladislav Balík,SMK-MKP,SMK-MKP,43,25,1,1,0,,1,0,2010
Vince Erdős,SMK-MKP,SMK-MKP,45,38,1,1,0,,1,0,2010
Beáta Kiss,SMK-MKP,SMK-MKP,46,15,1,1,0,,1,0,2010
Andrea Klabuzai,SMK-MKP,SMK-MKP,47,74,1,1,0,,0,0,2010
Alexander Néveri,SMK-MKP,SMK-MKP,48,120,1,1,0,,0,0,2010
Edita Kordová,SMK-MKP,SMK-MKP,50,47,1,1,0,,1,0,2010
Attila Petheő,SMK-MKP,SMK-MKP,54,16,1,1,0,,1,0,2010
László Szabó,SMK-MKP,SMK-MKP,56,55,1,1,0,,1,0,2010
Tünde Neszméri,SMK-MKP,SMK-MKP,59,46,1,1,0,,1,0,2010
František Botka,SMK-MKP,SMK-MKP,60,63,1,1,0,,0,0,2010
László Bacsó,SMK-MKP,SMK-MKP,63,114,1,1,0,,0,0,2010
Štefan Horváth,SMK-MKP,SMK-MKP,64,107,1,1,0,,0,0,2010
Rozália Szalay,SMK-MKP,SMK-MKP,65,88,1,1,0,,0,0,2010
Ladislav Rigó,SMK-MKP,SMK-MKP,69,35,1,1,0,,1,0,2010
Dénes Pósa,SMK-MKP,SMK-MKP,71,104,1,1,0,,0,0,2010
Tibor Varga,SMK-MKP,SMK-MKP,74,148,1,1,0,,0,0,2010
Michal Brogyányi,SMK-MKP,SMK-MKP,76,41,1,1,0,,1,0,2010
Eugen Wirth,SMK-MKP,SMK-MKP,87,60,1,1,0,,1,0,2010
Gergely Agócs,SMK-MKP,SMK-MKP,89,34,1,1,0,,1,0,2010
László Könözsi,SMK-MKP,SMK-MKP,90,102,1,1,0,,0,0,2010
István Hunyák,SMK-MKP,SMK-MKP,98,86,1,1,0,,1,0,2010
Margit Cserkó,SMK-MKP,SMK-MKP,102,90,1,1,0,,1,0,2010
Ladislav Polák,SMK-MKP,SMK-MKP,107,108,1,1,0,,0,0,2010
Tibor Dolník,SMK-MKP,SMK-MKP,120,121,1,1,0,,0,0,2010
István Samu,SMK-MKP,SMK-MKP,123,150,1,1,0,,0,0,2010
Tibor Dobai,SMK-MKP,SMK-MKP,126,122,1,1,0,,1,0,2010
Dezider Pálffy,SMK-MKP,SMK-MKP,134,42,1,1,0,,1,0,2010
Lóránt Gömöry,SMK-MKP,SMK-MKP,135,83,1,1,0,,1,0,2010
Vladimír Mečiar,ĽS-HZDS,ĽS-HZDS,1,1,1,1,0,,1,0,2010
Milan Rehák,ĽS-HZDS,ĽS-HZDS,3,4,1,1,0,,0,0,2010
Peter Sika,ĽS-HZDS,ĽS-HZDS,6,18,1,1,0,,0,0,2010
Ján Kovarčík,ĽS-HZDS,ĽS-HZDS,9,6,1,1,0,,1,0,2010
Jozef Pavúk,ĽS-HZDS,ĽS-HZDS,10,5,1,1,0,,1,0,2010
Miroslav Jureňa,ĽS-HZDS,SNS,11,10,1,0,1,,1,0,2010
Jozef Habánik,ĽS-HZDS,ĽS-HZDS,12,41,1,1,0,,0,0,2010
Katarína Tóthová,ĽS-HZDS,ĽS-HZDS,13,3,1,1,0,,1,0,2010
Marián Klenko,ĽS-HZDS,ĽS-HZDS,16,39,1,1,0,,0,0,2010
Jozef Halecký,ĽS-HZDS,ĽS-HZDS,17,12,1,1,0,,1,0,2010
Ján Bodnár,ĽS-HZDS,ĽS-HZDS,19,14,1,1,0,,1,0,2010
Katarína Rosinová,ĽS-HZDS,ĽS-HZDS,23,34,1,1,0,,0,0,2010
Klaudia Bertoková,ĽS-HZDS,ĽS-HZDS,26,64,1,1,0,,0,0,2010
Eva Zatková,ĽS-HZDS,ĽS-HZDS,29,8,1,1,0,,1,0,2010
Jana Michalková,ĽS-HZDS,ĽS-HZDS,30,38,1,1,0,,0,0,2010
Alexander Koreň,ĽS-HZDS,ĽS-HZDS,32,53,1,1,0,,0,0,2010
Miroslava Kokavcová,ĽS-HZDS,ĽS-HZDS,35,100,1,1,0,,0,0,2010
Mária Topoľančinová,ĽS-HZDS,ĽS-HZDS,36,37,1,1,0,,0,0,2010
Alžbeta Staníková,ĽS-HZDS,ĽS-HZDS,42,45,1,1,0,,0,0,2010
Štefan Ladičkovský,ĽS-HZDS,ĽS-HZDS,46,56,1,1,0,,0,0,2010
Anna Hoštáková,ĽS-HZDS,ĽS-HZDS,47,101,1,1,0,,0,0,2010
Stanislav Háber,ĽS-HZDS,ĽS-HZDS,49,16,1,1,0,,1,0,2010
Jozef Tokarčík,ĽS-HZDS,ĽS-HZDS,52,40,1,1,0,,1,0,2010
Mária Gajdošová,ĽS-HZDS,ĽS-HZDS,55,61,1,1,0,,0,0,2010
Agáta Žalkovičová,ĽS-HZDS,ĽS-HZDS,56,132,1,1,0,,0,0,2010
Igor Liška,ĽS-HZDS,ĽS-HZDS,60,85,1,1,0,,0,0,2010
Ján Kuba,ĽS-HZDS,ĽS-HZDS,61,33,1,1,0,,1,0,2010
Jozef Rosipal,ĽS-HZDS,ĽS-HZDS,64,94,1,1,0,,0,0,2010
Dušan Ďurčenka,ĽS-HZDS,ĽS-HZDS,66,75,1,1,0,,0,0,2010
Ján Tulis,ĽS-HZDS,ĽS-HZDS,78,49,1,1,0,,1,0,2010
Pavol Kačic,ĽS-HZDS,ĽS-HZDS,79,23,1,1,0,,1,0,2010
Mária Rusňáková,ĽS-HZDS,SOSKA,81,13,1,0,0,,1,0,2010
Anna Ganzová,ĽS-HZDS,ĽS-HZDS,83,73,1,1,0,,1,0,2010
Nadežda Kvaková,ĽS-HZDS,ĽS-HZDS,92,120,1,1,0,,0,0,2010
Rudolf Hrdlík,ĽS-HZDS,ĽS-HZDS,117,46,1,1,0,,1,0,2010
Milan Spodniak,ĽS-HZDS,ĽS-HZDS,121,80,1,1,0,,1,0,2010
Štefan Krištofík,ĽS-HZDS,ĽS-HZDS,124,26,1,1,0,,1,0,2010
Radovan Ammer,ĽS-HZDS,ĽS-HZDS,130,103,1,1,0,,1,0,2010
Jaroslav Blina,ĽS-HZDS,ĽS-HZDS,136,111,1,1,0,,1,0,2010
Ivan Poláčik,ĽS-HZDS,ĽS-HZDS,141,102,1,1,0,,1,0,2010
Daniela Viková,ĽS-HZDS,ĽS-HZDS,143,97,1,1,0,,1,0,2010
Milan Zeleňák,ĽS-HZDS,ĽS-HZDS,146,59,1,1,0,,1,0,2010
Jozef Priadka,ĽS-HZDS,ĽS-HZDS,147,90,1,1,0,,1,0,2010
Jozef Hrdlička,KSS,KSS,1,1,1,1,0,,1,0,2010
Anna Sotaková,KSS,KSS,2,14,1,1,0,,0,0,2010
Miroslav Pomajdík,KSS,KSS,4,2,1,1,0,,1,0,2010
Pavol Suško,KSS,KSS,6,7,1,1,0,,0,0,2010
Peter Nišponský,KSS,KSS,7,21,1,1,0,,0,0,2010
Viera Klimentová,KSS,KSS,8,9,1,1,0,,0,0,2010
Štefan Borovský,KSS,KSS,9,149,1,1,0,,0,0,2010
Jalal Suleiman,KSS,KSS,11,4,1,1,0,,1,0,2010
Jaroslav Kočiš,KSS,KSS,13,40,1,1,0,,0,0,2010
Juraj Brecko,KSS,KSS,15,10,1,1,0,,1,0,2010
Ján Kašiar,KSS,KSS,16,50,1,1,0,,0,0,2010
Jozef Fuček,KSS,KSS,18,18,1,1,0,,1,0,2010
Michal Kotian,KSS,KSS,19,131,1,1,0,,0,0,2010
Pavel Olah,KSS,KSS,21,47,1,1,0,,0,0,2010
Jozef Šteininger,KSS,KSS,24,97,1,1,0,,0,0,2010
Dagmara Debnárová,KSS,KSS,28,23,1,1,0,,1,0,2010
Stanislav Pirošík,KSS,KSS,32,38,1,1,0,,0,0,2010
Marián Krakovský,KSS,KSS,33,83,1,1,0,,0,0,2010
Soňa Zdražilová,KSS,KSS,37,63,1,1,0,,0,0,2010
Štefan Fábry,KSS,KSS,39,41,1,1,0,,0,0,2010
Ján Sporka,KSS,KSS,43,22,1,1,0,,1,0,2010
Peter Katona,KSS,KSS,48,66,1,1,0,,0,0,2010
Roman Hudec,KSS,KSS,52,30,1,1,0,,1,0,2010
Anton Badač,KSS,KSS,56,100,1,1,0,,0,0,2010
František Lukačko,KSS,KSS,59,61,1,1,0,,0,0,2010
Pavol Tausk,KSS,KSS,62,112,1,1,0,,0,0,2010
Lukáš Sisák,KSS,KSS,65,52,1,1,0,,1,0,2010
Ondrej Ňorba,KSS,KSS,70,79,1,1,0,,0,0,2010
Slavomír Hudec,KSS,KSS,72,98,1,1,0,,0,0,2010
Zlatica Bachňáková,KSS,KSS,74,127,1,1,0,,0,0,2010
Róbert Podracký,KSS,KSS,77,111,1,1,0,,0,0,2010
Milan Glovňa,KSS,KSS,81,43,1,1,0,,1,0,2010
Samuel Zubo,KSS,KSS,82,74,1,1,0,,1,0,2010
Juraj Pavlovič,KSS,KSS,83,12,1,1,0,,1,0,2010
Michal Mamrilla,KSS,KSS,89,91,1,1,0,,0,0,2010
Ján Holub,KSS,KSS,93,107,1,1,0,,0,0,2010
Vojtech Piku,KSS,KSS,94,135,1,1,0,,0,0,2010
Miroslav Čuj,KSS,KSS,95,124,1,1,0,,0,0,2010
Daniel Kianica,KSS,KSS,99,26,1,1,0,,1,0,2010
Ľubomír Solík,KSS,KSS,103,102,1,1,0,,1,0,2010
Emil Papáč,KSS,KSS,106,144,1,1,0,,0,0,2010
Jozef Šiška,KSS,KSS,108,25,1,1,0,,1,0,2010
Karol Slovák,KSS,KSS,112,82,1,1,0,,1,0,2010
Iveta Hribiková,KSS,KSS,113,81,1,1,0,,1,0,2010
Ladislav Vojtko,KSS,KSS,118,143,1,1,0,,0,0,2010
Miroslav Chlebo,KSS,KSS,125,54,1,1,0,,1,0,2010
Rastislav Bobor,KSS,KSS,138,90,1,1,0,,1,0,2010
Peter Jakubčák,KSS,KSS,140,99,1,1,0,,1,0,2010
Terézia Dančáková,KSS,KSS,142,108,1,1,0,,1,0,2010
Ján Janočko,KSS,KSS,145,145,1,1,0,,1,0,2010
Ján Slota,SNS,SNS,1,1,0,1,0,,1,0,2010
Anna Belousovová,SNS,NaS-ns,2,1,0,0,0,,1,0,2010
Ján Mikolaj,SNS,SNS,3,4,0,1,0,,0,0,2010
Rudolf Pučík,SNS,NaS-ns,4,3,0,0,0,,1,0,2010
Dušan Švantner,SNS,SNS,5,18,0,1,0,,0,0,2010
Štefan Zelník,SNS,SNS,6,6,0,1,0,,1,0,2010
Rafael Rafaj,SNS,SNS,7,3,0,1,0,,1,0,2010
Jozef Ďuračka,SNS,NaS-ns,12,5,0,0,0,,1,0,2010
Peter Petko,SNS,SNS,15,7,0,1,0,,1,0,2010
Jakub Gajdošík,SNS,SNS,17,42,0,1,0,,0,0,2010
Pavel Kapusta,SNS,SNS,21,19,0,1,0,,1,0,2010
Ján Ikrényi,SNS,SNS,22,5,0,1,0,,1,0,2010
Daniel Klačko,SNS,SNS,25,23,0,1,0,,1,0,2010
Cyril Leško,SNS,SNS,26,21,0,1,0,,1,0,2010
Jozef Gurecka,SNS,SNS,36,51,0,1,0,,0,0,2010
Július Hauser,SNS,NaS-ns,37,33,0,0,0,,1,0,2010
Jaroslav Vaľo,SNS,SNS,38,27,0,1,0,,1,0,2010
Magdaléna Kuciaňová,SNS,SNS,39,22,0,1,0,,1,0,2010
Roman Stopka,SNS,SNS,42,11,0,1,0,,1,0,2010
Peter Pamula,SNS,SNS,44,12,0,1,0,,1,0,2010
Anna Piláriková,SNS,SNS,47,96,0,1,0,,0,0,2010
Rudolf Urbanovič,SNS,SNS,48,39,0,1,0,,1,0,2010
Slavomír Vanka,SNS,NaS-ns,50,10,0,0,0,,1,0,2010
Miroslav Považan,SNS,SNS,51,129,0,1,0,,0,0,2010
Jozef Lenič,SNS,NaS-ns,52,67,0,0,0,,0,0,2010
Jozef Múdry,SNS,SNS,54,47,0,1,0,,1,0,2010
Vladimír Urban,SNS,SDĽ,56,58,0,0,0,,0,0,2010
Andrej Vaňo,SNS,SNS,57,69,0,1,0,,0,0,2010
Jozef Štolc,SNS,SNS,61,72,0,1,0,,0,0,2010
Ján Štefánik,SNS,SNS,66,112,0,1,0,,0,0,2010
Drahomír Vorlíček,SNS,SNS,70,93,0,1,0,,0,0,2010
Vladimír Bálint,SNS,SNS,71,85,0,1,0,,0,0,2010
Mário Maruška,SNS,SNS,73,61,0,1,0,,1,0,2010
Ladislav Haluška,SNS,SNS,74,91,0,1,0,,0,0,2010
Milan Ďurica,SNS,SNS,76,32,0,1,0,,1,0,2010
Štefan Klimek,SNS,SNS,79,31,0,1,0,,1,0,2010
Peter Nemec,SNS,NaS-ns,80,95,0,0,0,,0,0,2010
Ondrej Kubica,SNS,NaS-ns,86,37,0,0,0,,1,0,2010
Peter Grom,SNS,SNS,99,94,0,1,0,,1,0,2010
Ivan Bokor,SNS,SNS,100,92,0,1,0,,1,0,2010
Peter Vaľko,SNS,SNS,105,102,0,1,0,,1,0,2010
Margita Fialová,SNS,SNS,110,82,0,1,0,,1,0,2010
Stanislav Gaľa,SNS,SNS,126,40,0,1,0,,1,0,2010
František Marcin,SNS,NaS-ns,131,76,0,0,0,,1,0,2010
Ján Jevín,SNS,SNS,132,114,0,1,0,,1,0,2010
Marcel Metes,SNS,SNS,138,115,0,1,0,,1,0,2010
Tomáš Trojan,ND,NaS-ns,148,57,0,0,1,,1,1,2010
Ján Ľupták,ZRS,KSS,1,5,1,0,1,,0,1,2010
Ján Figeľ,KDH,KDH,1,1,0,1,0,,1,0,2010
Daniel Lipšic,KDH,KDH,3,3,0,1,0,,1,0,2010
Július Brocka,KDH,KDH,4,4,0,1,0,,1,0,2010
Mária Sabolová,KDH,KDH,5,77,0,1,0,,0,0,2010
Pavol Abrhan,KDH,KDH,9,7,0,1,0,,1,0,2010
Martin Fronc,KDH,KDH,10,9,0,1,0,,1,0,2010
Ján Hudacký,KDH,KDH,11,6,0,1,0,,1,0,2010
Peter Muránsky,KDH,KDH,12,13,0,1,0,,0,0,2010
Marián Kvasnička,KDH,KDH,16,14,0,1,0,,1,0,2010
Marián Radošovský,KDH,KDH,18,15,0,1,0,,1,0,2010
Pavol Tarcala,KDH,KDH,21,45,0,1,0,,0,0,2010
Peter Bobula,KDH,KDH,22,21,0,1,0,,1,0,2010
Pavel Kravec,KDH,KDH,27,32,0,1,0,,0,0,2010
Anna Neumannová,KDH,KDH,30,33,0,1,0,,0,0,2010
Stanislav Kahanec,KDH,KDH,31,25,0,1,0,,1,0,2010
Karol Jasenovský,KDH,KDH,34,39,0,1,0,,0,0,2010
Ján Vančo,KDH,KDH,36,40,0,1,0,,0,0,2010
Pavol Baxa,KDH,KDH,39,41,0,1,0,,0,0,2010
Jozef Šimko,KDH,KDH,41,35,0,1,0,,1,0,2010
Marianna Kianičková,KDH,KDH,42,95,0,1,0,,0,0,2010
Jaroslav Ivan,KDH,KDH,46,30,0,1,0,,1,0,2010
Anton Letko,KDH,KDH,49,130,0,1,0,,0,0,2010
František Orlovský,KDH,KDH,51,94,0,1,0,,0,0,2010
Peter Belica,KDH,KDH,52,66,0,1,0,,0,0,2010
Ján Porubský,KDH,KDH,60,54,0,1,0,,1,0,2010
Vladimír Šiška,KDH,KDH,62,46,0,1,0,,1,0,2010
Gabriel Šimko,KDH,KDH,66,113,0,1,0,,0,0,2010
Jozef Bobík,KDH,KDH,72,16,0,1,0,,1,0,2010
Miloš Moravčík,KDH,KDH,76,18,0,1,0,,1,0,2010
Ladislav Vančo,KDH,KDH,77,43,0,1,0,,1,0,2010
Mária Kulanová,KDH,KDH,78,118,0,1,0,,0,0,2010
Michal Kapusta,KDH,KDH,85,93,0,1,0,,0,0,2010
Ján Soliar,KDH,KDH,87,75,0,1,0,,1,0,2010
Miroslav Vetrík,KDH,KDH,91,99,0,1,0,,0,0,2010
Peter Ivic,KDH,KDH,94,117,0,1,0,,0,0,2010
Katarína Smiešková,KDH,KDH,95,53,0,1,0,,1,0,2010
Marcela Machilová,KDH,KDH,97,84,0,1,0,,1,0,2010
Ján Čuchran,KDH,KDH,99,112,0,1,0,,0,0,2010
Miroslav Kráľ,KDH,KDH,102,149,0,1,0,,0,0,2010
Radovan Junas,KDH,KDH,103,131,0,1,0,,0,0,2010
Peter Stanko,KDH,KDH,104,64,0,1,0,,1,0,2010
Juraj Pavelek,KDH,KDH,105,81,0,1,0,,1,0,2010
Miroslava Szitová,KDH,KDH,108,57,0,1,0,,1,0,2010
Marek Dudiak,KDH,KDH,117,103,0,1,0,,1,0,2010
Miroslav Papay,KDH,KDH,122,79,0,1,0,,1,0,2010
Ján Dzurjuv,KDH,KDH,125,102,0,1,0,,1,0,2010
Jozef Kováč,KDH,KDH,127,111,0,1,0,,1,0,2010
Roman Šimoník,KDH,KDH,144,31,0,1,0,,1,0,2010
Peter Janiga,KDH,KDH,149,136,0,1,0,,1,0,2010
Vladimír Pavlík,ĽSNS,ĽSNS,3,3,1,1,1,,1,0,2010
Marián Mišún,ĽSNS,ĽSNS,7,15,1,1,1,,0,0,2010
Rastislav Kysel,ĽSNS,ĽSNS,8,24,1,1,1,,0,0,2010
Jozefína Schlosárová,ĽSNS,ĽSNS,10,39,1,1,1,,0,0,2010
Marianna Kemková,ĽSNS,ĽSNS,12,10,1,1,1,,1,0,2010
Ivan Sýkora,ĽSNS,ĽSNS,16,51,1,1,1,,0,0,2010
Miroslav Belička,ĽSNS,ĽSNS,17,7,1,1,1,,1,0,2010
Ján Zeman,ĽSNS,ĽSNS,19,66,1,1,1,,0,0,2010
Michal Bagin,ĽSNS,ĽSNS,27,57,1,1,1,,0,0,2010
Miroslav Strmeň,ĽSNS,ĽSNS,33,49,1,1,1,,0,0,2010
Milan Hort,SDKÚ-DS,SDKÚ-DS,4,5,0,1,0,,0,0,2010
Eugen Jurzyca,SDKÚ-DS,SDKÚ-DS,5,8,0,1,0,,0,0,2010
Martin Fedor,SDKÚ-DS,SDKÚ-DS,7,7,0,1,0,,1,0,2010
Stanislav Janiš,SDKÚ-DS,SDKÚ-DS,8,56,0,1,0,,0,0,2010
Ivan Chaban,SDKÚ-DS,SDKÚ-DS,9,17,0,1,0,,0,0,2010
Ondrej Matej,SDKÚ-DS,SDKÚ-DS,11,13,0,1,0,,0,0,2010
Ivan Štefanec,SDKÚ-DS,SDKÚ-DS,12,6,0,1,0,,1,0,2010
Jana Dubovcová,SDKÚ-DS,SDKÚ-DS,18,24,0,1,0,,0,0,2010
Pavol Kubovič,SDKÚ-DS,SDKÚ-DS,20,29,0,1,0,,0,0,2010
Peter Markovič,SDKÚ-DS,SDKÚ-DS,21,55,0,1,0,,0,0,2010
Kamil Homoľa,SDKÚ-DS,SDKÚ-DS,22,14,0,1,0,,1,0,2010
Magdaléna Vášáryová,SDKÚ-DS,SDKÚ-DS,23,11,0,1,0,,1,0,2010
Miroslav Beblavý,SDKÚ-DS,SDKÚ-DS,24,20,0,1,0,,1,0,2010
Tatiana Rosová,SDKÚ-DS,SDKÚ-DS,26,33,0,1,0,,0,0,2010
Katarína Cibulková,SDKÚ-DS,SDKÚ-DS,27,31,0,1,0,,0,0,2010
Tibor Tóth,SDKÚ-DS,SDKÚ-DS,28,19,0,1,0,,1,0,2010
Marek Vargovčák,SDKÚ-DS,SDKÚ-DS,29,15,0,1,0,,1,0,2010
Ľudovít Kaník,SDKÚ-DS,SDKÚ-DS,30,18,0,1,0,,1,0,2010
Milan Gaľa,SDKÚ-DS,SDKÚ-DS,32,46,0,1,0,,0,0,2010
Jarmila Tkáčová,SDKÚ-DS,SDKÚ-DS,33,28,0,1,0,,1,0,2010
Alexander Slafkovský,SDKÚ-DS,SDKÚ-DS,34,112,0,1,0,,0,0,2010
Ivan Harman,SDKÚ-DS,SDKÚ-DS,35,54,0,1,0,,0,0,2010
Zita Pleštinská,SDKÚ-DS,SDKÚ-DS,37,43,0,1,0,,0,0,2010
Jozef Mertan,SDKÚ-DS,SDKÚ-DS,38,32,0,1,0,,1,0,2010
