no,again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved
392,Obaidullah Mir,Most-Híd,OĽaNO,75,34,0,0,1,1,1,0
393,Andrea Vitkóová,Most-Híd,Most-Híd,76,22,0,1,0,0,1,0
394,Rastislav Žitný,Most-Híd,Most-Híd,83,69,0,1,0,0,1,0
395,Viliam Rigo,Most-Híd,Most-Híd,91,63,0,1,0,0,1,0
396,Róbert Csudai,Most-Híd,Most-Híd,93,45,0,1,0,0,1,0
397,Zoltán Antal,Most-Híd,Most-Híd,94,49,0,1,0,0,1,0
398,Ján Marosz,Most-Híd,OĽaNO,98,10,0,0,1,1,1,0
399,Attila Tuloki,Most-Híd,Most-Híd,108,90,0,1,0,0,1,0
400,Peter Tatár,Most-Híd,Most-Híd,111,109,0,1,0,0,1,0
401,Norbert Krušinský,Most-Híd,Most-Híd,114,39,0,1,0,0,1,0
402,Peter Bollo,Most-Híd,Most-Híd,118,105,0,1,0,0,1,0
403,František Mészáros,Most-Híd,Most-Híd,122,87,0,1,0,0,1,0
404,Michal Goriščák,Most-Híd,Most-Híd,123,68,0,1,0,0,1,0
405,Michal Zurbola,Most-Híd,Most-Híd,124,80,0,1,0,0,1,0
406,Ladislav Lang,Most-Híd,Most-Híd,125,67,0,1,0,0,1,0
407,František Bachorec,Most-Híd,Most-Híd,131,107,0,1,0,0,1,0
408,Štefan Szidor,Most-Híd,Most-Híd,133,60,0,1,0,0,1,0
409,Boris Brunner,Most-Híd,Most-Híd,136,74,0,1,0,0,1,0
410,Sylvia Beňová,Most-Híd,Most-Híd,137,127,0,1,0,0,1,0
411,Štefan Kertész,Most-Híd,Most-Híd,142,59,0,1,0,0,1,0
412,Jozef Maďar,Most-Híd,Most-Híd,145,81,0,1,0,0,1,0
413,Monika Albertiová,99%,SaS,8,101,1,0,1,1,0,1
414,Pavel Greksa,99%,#Sieť,14,39,1,0,1,1,0,1
415,Štefan Bartoš,99%,Strana moderného Slovenska,62,9,1,0,0,1,1,1
416,Rudolf Varga,99%,Vzdor – strana práce,90,29,1,0,0,1,1,1
417,Juraj Soboňa,ĽS-HZDS,SNS,31,17,1,0,1,1,1,1
418,Ján Tulis,ĽS-HZDS,SNS,49,79,1,0,1,1,0,1
419,Štefan Ladičkovský,ĽS-HZDS,Strana moderného Slovenska,56,30,1,0,0,1,1,1
420,Klaudia Bertoková,ĽS-HZDS,SNS,64,98,1,0,1,1,0,1
421,Tomáš Zemko,ĽS-HZDS,Strana moderného Slovenska,69,15,1,0,0,1,1,1
422,Ján Šimko,ĽS-HZDS,Strana moderného Slovenska,83,28,1,0,0,1,1,1
423,Peter Regina,ĽS-HZDS,Strana moderného Slovenska,93,7,1,0,0,1,1,1
424,Erik Oslanec,ĽS-HZDS,Tip,110,98,1,0,0,1,1,1
425,Jaroslav Blina,ĽS-HZDS,SNS,111,150,1,0,1,1,0,1
426,Peter Pitoňák,ĽS-HZDS,SNS,129,138,1,0,1,1,0,1
427,Ingrid Kosmeľová,ĽS-HZDS,Strana moderného Slovenska,144,34,1,0,0,1,1,1
428,Alojz Hančin,1HLAS,Priama demokracia,13,65,1,0,1,1,0,1
429,Ingrid Vrkočová,SF,SNS,7,82,1,0,1,1,0,1
430,Lucia Žitňanská,SDKÚ-DS,Most-Híd,3,2,0,0,1,1,1,0
431,Martin Fedor,SDKÚ-DS,#Sieť,7,14,0,0,0,1,0,0
432,Eugen Jurzyca,SDKÚ-DS,SaS,8,5,0,0,1,1,1,0
433,Pavol Frešo,SDKÚ-DS,SDKÚ-DS,9,1,0,1,0,0,1,0
434,Viliam Novotný,SDKÚ-DS,Šanca,12,2,0,0,0,0,1,0
435,Ľudovít Kaník,SDKÚ-DS,Demokrati Slovenska – Ľudo Kaník,18,1,0,0,0,0,1,0
436,Miroslav Beblavý,SDKÚ-DS,#Sieť,20,4,0,0,0,1,1,0
437,Milan Roman,SDKÚ-DS,SDKÚ-DS,23,2,0,1,0,0,1,0
438,Jarmila Tkáčová,SDKÚ-DS,SNS,28,37,0,0,1,1,0,0
439,Jozef Mertan,SDKÚ-DS,Šanca,32,6,0,0,0,0,1,0
440,Tibor Maťaš,SDKÚ-DS,SDKÚ-DS,36,16,0,1,0,0,1,0
441,Ján Mrva,SDKÚ-DS,#Sieť,41,31,0,0,0,1,1,0
442,Ivana Hromádková,SDKÚ-DS,SDKÚ-DS,47,64,0,1,0,0,0,0
443,Jozef Repaský,SDKÚ-DS,Šanca,48,12,0,0,0,0,1,0
444,Katarína Čižmárová,SDKÚ-DS,SDKÚ-DS,50,9,0,1,0,0,1,0
445,Iveta Kijevská,SDKÚ-DS,Šanca,51,14,0,0,0,0,1,0
446,Milan Trstenský,SDKÚ-DS,SDKÚ-DS,52,144,0,1,0,0,0,0
447,Tomáš Galbavý,SDKÚ-DS,Most-Híd,53,23,0,0,1,1,1,0
448,Jaroslav Regec,SDKÚ-DS,SNS,60,16,0,0,1,1,1,0
449,Michal Šipoš,SDKÚ-DS,OĽaNO,67,13,0,0,1,1,1,0
450,Štefan Schnitzer,SDKÚ-DS,Šanca,71,23,0,0,0,0,1,0
451,Pavol Balžanka,SDKÚ-DS,SKOK,81,10,0,0,0,1,1,0
452,Emil Petrvalský,SDKÚ-DS,Šanca,89,8,0,0,0,0,1,0
453,Marian Petrok,SDKÚ-DS,Demokrati Slovenska – Ľudo Kaník,111,22,0,0,0,0,1,0
454,Alexander Slafkovský,SDKÚ-DS,Most-Híd,112,41,0,0,1,1,1,0
455,Janka Žilová,SDKÚ-DS,SDKÚ-DS,121,60,0,1,0,0,1,0
456,Celestín Černák,SDKÚ-DS,SDKÚ-DS,124,88,0,1,0,0,1,0
457,Peter Ilčík,SDKÚ-DS,#Sieť,130,102,0,0,0,1,1,0
458,Martin Barčík,SDKÚ-DS,#Sieť,131,149,0,0,0,1,0,0
459,Anton Bajzík,SDKÚ-DS,SDKÚ-DS,133,22,0,1,0,0,1,0
460,Patrik Anina,SDKÚ-DS,Šanca,141,43,0,0,0,0,1,0
461,Tomáš Meravý,SDKÚ-DS,Most-Híd,143,98,0,0,1,1,1,0
462,Anton Kupšo,SDKÚ-DS,SDKÚ-DS,146,11,0,1,0,0,1,0
463,Ján Berceli,SDKÚ-DS,Šanca,149,13,0,0,0,0,1,0
464,Peter Marček,SOSKA,Sme rodina – Boris Kollár,1,4,1,0,1,1,0,1
465,Anton Minárik,SOSKA,Tip,43,16,1,0,1,1,1,1
466,Mária Javoreková,SOSKA,Spoločne za Slovensko,60,9,1,0,0,1,1,1
467,Martin Schwantzer,SOSKA,Tip,82,3,1,0,1,1,1,1
468,Andrej Dobrocký,SOSKA,SDKÚ-DS,105,93,1,0,1,1,1,1
469,József Berényi,SMK,SMK,1,1,1,1,0,0,1,0
470,Gyula Bárdos,SMK,SMK,2,2,1,1,0,0,1,0
471,Iván Farkas,SMK,SMK,3,3,1,1,0,0,1,0
472,Árpád Horváth,SMK,SMK,4,71,1,1,0,0,0,0
473,Iván Fenes,SMK,SMK,5,146,1,1,0,0,0,0
474,Péter Őry,SMK,SMK,7,17,1,1,0,0,0,0
475,Gábor Mihók,SMK,SMK,8,27,1,1,0,0,0,0
476,Péter Csúsz,SMK,SMK,9,24,1,1,0,0,0,0
477,Krisztián Forró,SMK,SMK,13,6,1,1,0,0,1,0
478,László Miklós,SMK,SMK,14,148,1,1,0,0,0,0
479,Beáta Kiss,SMK,SMK,15,11,1,1,0,0,1,0
480,Mária Szuperák,SMK,SMK,19,98,1,1,0,0,0,0
481,Zoltán Hájos,SMK,SMK,20,120,1,1,0,0,0,0
482,Lajos Ladányi,SMK,SMK,22,33,1,1,0,0,0,0
483,László Köteles,SMK,SMK,24,7,1,1,0,0,1,0
484,Norbert Becse,SMK,SMK,32,46,1,1,0,0,0,0
485,Gergely Agócs,SMK,SMK,34,38,1,1,0,0,0,0
486,Ladislav Rigó,SMK,SMK,35,51,1,1,0,0,0,0
487,Csaba Furik,SMK,SMK,37,41,1,1,0,0,0,0
488,Michal Brogyányi,SMK,SMK,41,65,1,1,0,0,0,0
489,Attila Barkó,SMK,SMK,44,58,1,1,0,0,0,0
490,Zoltán Molnár,SMK,SKOK,45,69,1,0,0,0,0,0
491,Tünde Neszméri,SMK,SMK,46,63,1,1,0,0,0,0
492,Imre Vadkerti,SMK,SMK,48,145,1,1,0,0,0,0
493,László Szabó,SMK,SMK,55,15,1,1,0,0,1,0
494,János Bób,SMK,SMK,57,93,1,1,0,0,0,0
495,Zuzana Szamosová,SMK,SMK,59,95,1,1,0,0,0,0
496,Eugen Wirth,SMK,SMK,60,127,1,1,0,0,0,0
497,József Kopasz,SMK,SMK,61,78,1,1,0,0,0,0
498,Zoltán Marcinkó,SMK,SMK,62,81,1,1,0,0,0,0
499,František Botka,SMK,SMK,63,79,1,1,0,0,0,0
500,István Zachariaš,SMK,SMK,66,84,1,1,0,0,0,0
501,Pavel Élesztős,SMK,SMK,71,129,1,1,0,0,0,0
502,Tihamér Gyarmati,SMK,SMK,72,21,1,1,0,0,1,0
503,László Fekete,SMK,SMK,73,49,1,1,0,0,1,0
504,Mikuláš Csirmaz,SMK,SMK,75,113,1,1,0,0,0,0
505,Lóránt Gömöry,SMK,SMK,83,83,1,1,0,0,1,0
506,Éva Bognár,SMK,SMK,87,119,1,1,0,0,0,0
507,Rozália Szalay,SMK,SMK,88,92,1,1,0,0,0,0
508,Péter Nagy,SMK,SMK,89,112,1,1,0,0,0,0
509,Tibor Csenger,SMK,SMK,92,114,1,1,0,0,0,0
510,Zsuzsanna Szvorák,SMK,SMK,94,57,1,1,0,0,1,0
511,Dénes Pósa,SMK,SMK,104,75,1,1,0,0,1,0
512,Štefan Horváth,SMK,SMK,107,117,1,1,0,0,0,0
513,Ladislav Polák,SMK,SMK,108,35,1,1,0,0,1,0
514,Olga Szabó,SMK,SMK,109,23,1,1,0,0,1,0
515,Béla Hajtman,SMK,SMK,110,73,1,1,0,0,1,0
516,Július Agócs,SMK,SMK,112,137,1,1,0,0,0,0
517,Ildikó Basternáková,SMK,SMK,115,22,1,1,0,0,1,0
518,Zoltán Bán,SMK,SMK,118,125,1,1,0,0,0,0
519,Alexander Néveri,SMK,SMK,120,88,1,1,0,0,1,0
520,Tibor Dolník,SMK,SMK,121,47,1,1,0,0,1,0
521,Tibor Dobai,SMK,SMK,122,124,1,1,0,0,0,0
522,Tibor Pogány,SMK,SMK,125,130,1,1,0,0,0,0
523,Csaba Orosz,SMK,SMK,126,34,1,1,0,0,1,0
524,Ernest Tóth,SMK,SMK,127,90,1,1,0,0,1,0
525,Ákos Horony,SMK,SMK,130,44,1,1,0,0,1,0
526,István Domin,SMK,SMK,134,36,1,1,0,0,1,0
527,Miklós Viola,SMK,SMK,136,72,1,1,0,0,1,0
528,Jozef Filipko,SMK,SMK,142,31,1,1,0,0,1,0
529,Tibor Varga,SMK,SMK,148,30,1,1,0,0,1,0
530,Zoltán Cziprusz,SMK,SMK,149,10,1,1,0,0,1,0
531,István Samu,SMK,SMK,150,5,1,1,0,0,1,0
532,Viliam Mokráň,SSS-NM,Priama demokracia,22,23,1,0,0,1,0,1
533,Mikuláš Krivánsky,SŽS,Maďarská kresťansko-demokratická koalícia,6,50,1,0,0,1,0,1
534,František Timko,SŽS,Maďarská kresťansko-demokratická koalícia,11,17,1,0,0,1,0,1
535,Michal Muránsky,SaS,SKOK,44,137,0,0,0,0,0,0
536,Antónia Mikulíková,SaS,SaS,109,42,0,1,1,0,1,0
537,Bertalan Bóna,Most-Híd,Most-Híd,23,25,0,1,0,0,0,0
538,Martin Miškov,1HLAS,SKOK,3,88,1,0,1,1,0,1
539,Gabriella Németh,SMK,SMK,12,13,1,1,0,0,0,0
540,László Bacsó,SMK,SMK,114,43,1,1,0,0,1,0
541,Attila Karaffa,SMK,SMK,129,16,1,1,0,0,1,0
